poor_300,poor_420,poor_830,year,level,area,State,sector,welfare_agg21_sp,india_welfare,india_welfare_filled,welfare_pct_india,round,m_poor_1_33,m_poor_1_20,m_poor_1_50
0.011018188,0.063195728,0.37054554,2023,State,urban/rural,Andaman and Nicobar Islands,0,5485.150703,,3516.8965,155.96565,5,0.05071228,0.16905554,0.007259742
0.003825937,0.011618746,0.24528602,2023,State,urban/rural,Andaman and Nicobar Islands,1,6321.640362,,3516.8965,179.75053,5,0.012839258,0.085952871,0
0.008091665,0.042209085,0.31957752,2023,State,All,Andaman and Nicobar Islands,99,5775.795791,,3516.8965,164.2299,5,0.036707666,0.13832599,0.004575248
0.010842919,0.052605674,0.69374466,2023,State,urban/rural,Andhra Pradesh,0,4212.281252,,3516.8965,119.77268,5,0.09402813,0.28607681,0.013321431
0.003879331,0.035007801,0.56658918,2023,State,urban/rural,Andhra Pradesh,1,4608.528986,,3516.8965,131.03966,5,0.024677888,0.094406933,0.001193086
0.00866147,0.047092877,0.65391129,2023,State,All,Andhra Pradesh,99,4332.056565,,3516.8965,123.17839,5,0.073215201,0.22855414,0.009681554
0.027343733,0.12766744,0.76018745,2023,State,urban/rural,Arunachal Pradesh,0,3744.487953,,3516.8965,106.47137,5,0.14741497,0.3417283,0.030559966
0.003078757,0.035558,0.4666107,2023,State,urban/rural,Arunachal Pradesh,1,5134.747442,,3516.8965,146.00223,5,0.044823367,0.17429151,0.009767555
0.023218639,0.11200865,0.71027881,2023,State,All,Arunachal Pradesh,99,3905.756394,,3516.8965,111.05691,5,0.1320613,0.31667003,0.027448211
0.04440695,0.27539548,0.94450396,2023,State,urban/rural,Assam,0,2942.772542,,3516.8965,83.67527,5,0.23651862,0.46463537,0.06111826
0.022240831,0.075103194,0.68775678,2023,State,urban/rural,Assam,1,4171.840023,,3516.8965,118.62277,5,0.078385226,0.22753364,0.013248416
0.041973755,0.25340924,0.91632062,2023,State,All,Assam,99,3034.050137,,3516.8965,86.270668,5,0.21410458,0.43102825,0.054333124
0.043747075,0.22750472,0.92948699,2023,State,urban/rural,Bihar,0,3124.438738,,3516.8965,88.84079,5,0.38065317,0.58998036,0.14688942
0.013677767,0.11103174,0.78371525,2023,State,urban/rural,Bihar,1,3623.752292,,3516.8965,103.03835,5,0.16415334,0.31281391,0.051644884
0.040867403,0.21635035,0.91552675,2023,State,All,Bihar,99,3159.423081,,3516.8965,89.835541,5,0.34660864,0.54639602,0.13191225
0,0,0.194506,2023,State,urban/rural,Chandigarh,0,6285.430072,,3516.8965,178.72093,5,0.038834952,0.2038835,0
0,0,0.10785437,2023,State,urban/rural,Chandigarh,1,8190.135352,,3516.8965,232.87962,5,0.039434381,0.10752901,0.011991247
0,0,0.1119533,2023,State,All,Chandigarh,99,8048.982695,,3516.8965,228.86607,5,0.039426312,0.10882615,0.01182982
0.095651746,0.38355139,0.95824182,2023,State,urban/rural,Chhattisgarh,0,2728.963615,,3516.8965,77.595787,5,0.21517663,0.48448575,0.04576258
0.027577957,0.15007442,0.76829553,2023,State,urban/rural,Chhattisgarh,1,3628.037535,,3516.8965,103.1602,5,0.050845772,0.18760894,0.007517346
0.081770487,0.33594197,0.91950893,2023,State,All,Chhattisgarh,99,2869.348601,,3516.8965,81.587517,5,0.17884792,0.41885504,0.037307687
0.03245632,0.36002097,0.94848758,2023,State,urban/rural,Dadra and Nagar Haveli and Daman and Diu,0,2766.456424,,3516.8965,78.661865,5,0.22195493,0.47380579,0.033448994
0,0.051976375,0.7266072,2023,State,urban/rural,Dadra and Nagar Haveli and Daman and Diu,1,3992.712487,,3516.8965,113.52943,5,0.051075306,0.17775886,0.013339214
0.011036836,0.15672755,0.8020581,2023,State,All,Dadra and Nagar Haveli and Daman and Diu,99,3509.990881,,3516.8965,99.803642,5,0.14268456,0.33647081,0.024120146
0,0.024838936,0.5769015,2023,State,urban/rural,Delhi,0,4725.615603,,3516.8965,134.36891,5,0.02368954,0.072663538,0.008120588
0.003888334,0.027951844,0.5313198,2023,State,urban/rural,Delhi,1,4754.909883,,3516.8965,135.20187,5,0.033789698,0.10625662,0.0048089
0.003789265,0.027872531,0.53248113,2023,State,All,Delhi,99,4754.909883,,3516.8965,135.20187,5,0.033542812,0.10543548,0.00488985
0.000318306,0.036312647,0.3334066,2023,State,urban/rural,Goa,0,5666.744935,,3516.8965,161.12914,5,0.028414149,0.10485242,0.003376751
0.001493051,0.01343594,0.29912105,2023,State,urban/rural,Goa,1,5825.936848,,3516.8965,165.65562,5,0.004166212,0.059586637,0
0.001003884,0.022961875,0.31339768,2023,State,All,Goa,99,5736.117832,,3516.8965,163.1017,5,0.013937999,0.077828497,0.001360812
0.026497511,0.23765494,0.91053653,2023,State,urban/rural,Gujarat,0,3084.090188,,3516.8965,87.69352,5,0.21433543,0.46807891,0.046168625
0.007401744,0.062289156,0.66641241,2023,State,urban/rural,Gujarat,1,4165.80164,,3516.8965,118.45107,5,0.043155078,0.11100871,0.007206296
0.018316381,0.16252361,0.8059473,2023,State,All,Gujarat,99,3470.850636,,3516.8965,98.690727,5,0.14402173,0.32140946,0.030164538
0.002330782,0.040784672,0.69804877,2023,State,urban/rural,Haryana,0,4232.887685,,3516.8965,120.35861,5,0.086267814,0.30422625,0.019693904
0.002206185,0.026594378,0.51534331,2023,State,urban/rural,Haryana,1,4824.434318,,3516.8965,137.17874,5,0.041405171,0.13928151,0.008073798
0.002284517,0.035515532,0.63020658,2023,State,All,Haryana,99,4350.123686,,3516.8965,123.69212,5,0.071746014,0.25083449,0.015932536
0,0.023137687,0.54862994,2023,State,urban/rural,Himachal Pradesh,0,4708.912543,,3516.8965,133.89398,5,0.057492629,0.24980482,0.005818551
0,0.016806211,0.4018189,2023,State,urban/rural,Himachal Pradesh,1,5495.431597,,3516.8965,156.25798,5,0.02341295,0.07507129,0.009907729
0,0.022499118,0.53382313,2023,State,All,Himachal Pradesh,99,4759.177667,,3516.8965,135.32323,5,0.053102639,0.22729644,0.006345301
0.030654749,0.19317964,0.86834031,2023,National,urban/rural,India,0,3297.215069,,,93.75354256,5,0.21237667,0.435698,0.056454737
0.014111704,0.085746177,0.63850582,2023,National,urban/rural,India,1,4241.689025,,3516.8965,120.60886,5,0.055155069,0.16018414,0.01101905
0.025724066,0.1611589,0.79983777,2023,National,All,India,99,3516.896513,3516.8965,3516.8965,100,5,0.16392806,0.35079706,0.042453505
0.010684142,0.14141698,0.78875011,2023,State,urban/rural,Jammu and Kashmir,0,3609.299766,,3516.8965,102.62741,5,0.078970119,0.2137951,0.013209112
0.0010378,0.077322766,0.63129616,2023,State,urban/rural,Jammu and Kashmir,1,4332.143092,,3516.8965,123.18085,5,0.015621888,0.060676478,0.001160011
0.008642592,0.1278521,0.75542653,2023,State,All,Jammu and Kashmir,99,3745.735058,,3516.8965,106.50684,5,0.062550865,0.17410822,0.010086101
