poor_300,poor_420,poor_830,year,level,area,State,sector,welfare_agg21_sp,india_welfare,india_welfare_filled,welfare_pct_india,round,m_poor_1_33,m_poor_1_20,m_poor_1_50
0.004321784,0.040939081,0.3028639,2023,State,urban/rural,Andaman and Nicobar Islands,0,5485.150703,,3516.8965,155.96565,5,0.05071228,0.16905554,0.007259742
0.002675123,0.008123912,0.20278811,2023,State,urban/rural,Andaman and Nicobar Islands,1,6321.640362,,3516.8965,179.75053,5,0.012839258,0.085952871,0
0.00365958,0.027742477,0.26261845,2023,State,All,Andaman and Nicobar Islands,99,5775.795791,,3516.8965,164.2299,5,0.036707666,0.13832599,0.004575248
0.018144647,0.055155125,0.63279766,2023,State,urban/rural,Andhra Pradesh,0,4212.281252,,3516.8965,119.77268,5,0.09402813,0.28607681,0.013321431
0.003832551,0.030676335,0.48690775,2023,State,urban/rural,Andhra Pradesh,1,4608.528986,,3516.8965,131.03966,5,0.024677888,0.094406933,0.001193086
0.013520334,0.047245897,0.58565986,2023,State,All,Andhra Pradesh,99,4332.056565,,3516.8965,123.17839,5,0.073215201,0.22855414,0.009681554
0.0173195,0.090907261,0.66301513,2023,State,urban/rural,Arunachal Pradesh,0,3744.487953,,3516.8965,106.47137,5,0.14741497,0.3417283,0.030559966
0.001499878,0.018452274,0.34717774,2023,State,urban/rural,Arunachal Pradesh,1,5134.747442,,3516.8965,146.00223,5,0.044823367,0.17429151,0.009767555
0.013798821,0.074782297,0.59272504,2023,State,All,Arunachal Pradesh,99,3905.756394,,3516.8965,111.05691,5,0.1320613,0.31667003,0.027448211
0.032406896,0.21652122,0.91555667,2023,State,urban/rural,Assam,0,2942.772542,,3516.8965,83.67527,5,0.23651862,0.46463537,0.06111826
0.01711422,0.058066957,0.59222889,2023,State,urban/rural,Assam,1,4171.840023,,3516.8965,118.62277,5,0.078385226,0.22753364,0.013248416
0.030331403,0.19501609,0.87167519,2023,State,All,Assam,99,3034.050137,,3516.8965,86.270668,5,0.21410458,0.43102825,0.054333124
0.028104385,0.17249581,0.89446771,2023,State,urban/rural,Bihar,0,3124.438738,,3516.8965,88.84079,5,0.38065317,0.58998036,0.14688942
0.007510384,0.077409707,0.70995456,2023,State,urban/rural,Bihar,1,3623.752292,,3516.8965,103.03835,5,0.16415334,0.31281391,0.051644884
0.026104538,0.16326217,0.87654996,2023,State,All,Bihar,99,3159.423081,,3516.8965,89.835541,5,0.34660864,0.54639602,0.13191225
0,0,0.13930278,2023,State,urban/rural,Chandigarh,0,6285.430072,,3516.8965,178.72093,5,0.038834952,0.2038835,0
0,0,0.056389175,2023,State,urban/rural,Chandigarh,1,8190.135352,,3516.8965,232.87962,5,0.039434381,0.10752901,0.011991247
0,0,0.060081378,2023,State,All,Chandigarh,99,8048.982695,,3516.8965,228.86607,5,0.039426312,0.10882615,0.01182982
0.073743388,0.30235204,0.93374085,2023,State,urban/rural,Chhattisgarh,0,2728.963615,,3516.8965,77.595787,5,0.21517663,0.48448575,0.04576258
0.051957954,0.13941912,0.7133761,2023,State,urban/rural,Chhattisgarh,1,3628.037535,,3516.8965,103.1602,5,0.050845772,0.18760894,0.007517346
0.06884177,0.26569289,0.8841598,2023,State,All,Chhattisgarh,99,2869.348601,,3516.8965,81.587517,5,0.17884792,0.41885504,0.037307687
0.018773211,0.23650226,0.86318839,2023,State,urban/rural,Dadra and Nagar Haveli and Daman and Diu,0,2766.456424,,3516.8965,78.661865,5,0.22195493,0.47380579,0.033448994
0,0.030823225,0.65302831,2023,State,urban/rural,Dadra and Nagar Haveli and Daman and Diu,1,3992.712487,,3516.8965,113.52943,5,0.051075306,0.17775886,0.013339214
0.005485348,0.090920627,0.71443504,2023,State,All,Dadra and Nagar Haveli and Daman and Diu,99,3509.990881,,3516.8965,99.803642,5,0.14268456,0.33647081,0.024120146
0,0.018593935,0.49335361,2023,State,urban/rural,Delhi,0,4725.615603,,3516.8965,134.36891,5,0.02368954,0.072663538,0.008120588
0.002452332,0.016426431,0.43298671,2023,State,urban/rural,Delhi,1,4754.909883,,3516.8965,135.20187,5,0.033789698,0.10625662,0.0048089
0.00239347,0.016478457,0.43443567,2023,State,All,Delhi,99,4754.909883,,3516.8965,135.20187,5,0.033542812,0.10543548,0.00488985
0.001332009,0.024751112,0.2964974,2023,State,urban/rural,Goa,0,5666.744935,,3516.8965,161.12914,5,0.028414149,0.10485242,0.003376751
0.00175377,0.012463949,0.22925472,2023,State,urban/rural,Goa,1,5825.936848,,3516.8965,165.65562,5,0.004166212,0.059586637,0
0.001595471,0.017075662,0.25449276,2023,State,All,Goa,99,5736.117832,,3516.8965,163.1017,5,0.013937999,0.077828497,0.001360812
0.019442495,0.17980875,0.85543805,2023,State,urban/rural,Gujarat,0,3084.090188,,3516.8965,87.69352,5,0.21433543,0.46807891,0.046168625
0.01100568,0.052716073,0.59537071,2023,State,urban/rural,Gujarat,1,4165.80164,,3516.8965,118.45107,5,0.043155078,0.11100871,0.007206296
0.015384934,0.1186854,0.73036253,2023,State,All,Gujarat,99,3470.850636,,3516.8965,98.690727,5,0.14402173,0.32140946,0.030164538
0.001660121,0.03275216,0.63125747,2023,State,urban/rural,Haryana,0,4232.887685,,3516.8965,120.35861,5,0.086267814,0.30422625,0.019693904
0.001422123,0.019675082,0.42216909,2023,State,urban/rural,Haryana,1,4824.434318,,3516.8965,137.17874,5,0.041405171,0.13928151,0.008073798
0.001561786,0.027349019,0.5448671,2023,State,All,Haryana,99,4350.123686,,3516.8965,123.69212,5,0.071746014,0.25083449,0.015932536
0,0.012379075,0.44572568,2023,State,urban/rural,Himachal Pradesh,0,4708.912543,,3516.8965,133.89398,5,0.057492629,0.24980482,0.005818551
0,0.011322274,0.26018715,2023,State,urban/rural,Himachal Pradesh,1,5495.431597,,3516.8965,156.25798,5,0.02341295,0.07507129,0.009907729
0,0.012236107,0.42062533,2023,State,All,Himachal Pradesh,99,4759.177667,,3516.8965,135.32323,5,0.053102639,0.22729644,0.006345301
0.023729736,0.14880876,0.81574827,2023,National,urban/rural,India,0,3297.215069,,,,5,0.21237667,0.435698,0.056454737
0.010898667,0.060345147,0.5421074,2023,National,urban/rural,India,1,4241.689025,,,,5,0.055155069,0.16018414,0.01101905
0.01942279,0.11911459,0.7238965,2023,National,All,India,99,3516.896513,3516.8965,3516.8965,100,5,0.16392806,0.35079706,0.042453505
0.00774696,0.11350939,0.75175434,2023,State,urban/rural,Jammu and Kashmir,0,3609.299766,,3516.8965,102.62741,5,0.078970119,0.2137951,0.013209112
0.000564687,0.050336536,0.54528546,2023,State,urban/rural,Jammu and Kashmir,1,4332.143092,,3516.8965,123.18085,5,0.015621888,0.060676478,0.001160011
0.006026719,0.098378733,0.70230258,2023,State,All,Jammu and Kashmir,99,3745.735058,,3516.8965,106.50684,5,0.062550865,0.17410822,0.010086101
0.10587313,0.37774616,0.94315106,2023,State,urban/rural,Jharkhand,0,2584.063794,,3516.8965,73.475685,5,0.37289152,0.62111831,0.11367442
0.049220495,0.18366955,0.67533863,2023,State,urban/rural,Jharkhand,1,3392.947222,,3516.8965,96.475609,5,0.08632721,0.23683533,0.018519159
0.093379855,0.33494759,0.88409191,2023,State,All,Jharkhand,99,2690.950723,,3516.8965,76.514923,5,0.30603045,0.5314576,0.091472834
0.00725942,0.076176755,0.71842098,2023,State,urban/rural,Karnataka,0,3687.911149,,3516.8965,104.86266,5,0.11833716,0.34039354,0.018633734
0.013836002,0.044797584,0.43875751,2023,State,urban/rural,Karnataka,1,4663.404077,,3516.8965,132.59998,5,0.032152899,0.14483665,0.00360988
0.010055553,0.062835425,0.59951782,2023,State,All,Karnataka,99,3985.206419,,3516.8965,113.316,5,0.08497858,0.26470107,0.012818584
0.003550329,0.029172203,0.53611612,2023,State,urban/rural,Kerala,0,4379.908546,,3516.8965,124.53902,5,0.012588571,0.11400884,0.000577356
0.003120811,0.021621449,0.44690463,2023,State,urban/rural,Kerala,1,4715.467592,,3516.8965,134.08037,5,0.004135723,0.07394027,0
0.003334759,0.025382565,0.49134192,2023,State,All,Kerala,99,4534.44889,,3516.8965,128.93324,5,0.008574503,0.094981171,0.000303183
0,0.085847668,0.73211426,2023,State,urban/rural,Ladakh,0,3672.382539,,3516.8965,104.42111,5,0.076473728,0.21826017,0.008998775
0.001866181,0.061075587,0.47567803,2023,State,urban/rural,Ladakh,1,4491.171015,,3516.8965,127.70267,5,0.01650467,0.12042805,0.003765208
0.000341183,0.081318736,0.68523151,2023,State,All,Ladakh,99,3792.347685,,3516.8965,107.83222,5,0.065117896,0.19973452,0.008007739
0.007753326,0.047564115,0.56590325,2023,State,urban/rural,Lakshadweep,0,4242.992823,,3516.8965,120.64594,5,0.012339019,0.28639063,0
0.003304876,0.022504834,0.47448406,2023,State,urban/rural,Lakshadweep,1,4614.062348,,3516.8965,131.19699,5,0.007854932,0.11465459,0
0.004390585,0.028620917,0.49679625,2023,State,All,Lakshadweep,99,4497.745979,,3516.8965,127.88963,5,0.00882642,0.15186161,0
0.018714441,0.17959478,0.88302529,2023,State,urban/rural,Madhya Pradesh,0,3117.144067,,3516.8965,88.633377,5,0.29620168,0.55072546,0.068865046
0.013150139,0.089502007,0.66896683,2023,State,urban/rural,Madhya Pradesh,1,3763.115949,,3516.8965,107.00105,5,0.076088704,0.20383355,0.013621197
0.01713036,0.15394658,0.82208574,2023,State,All,Madhya Pradesh,99,3248.548173,,3516.8965,92.369743,5,0.23962457,0.46156156,0.054665353
0.027304962,0.18425661,0.87393248,2023,State,urban/rural,Maharashtra,0,3139.907904,,3516.8965,89.280647,5,0.13355947,0.35237268,0.022188794
0.017316157,0.091357999,0.60883051,2023,State,urban/rural,Maharashtra,1,3945.395924,,3516.8965,112.18402,5,0.033417873,0.13875385,0.003379995
0.022713564,0.14155537,0.75207722,2023,State,All,Maharashtra,99,3412.803206,,3516.8965,97.040192,5,0.089880563,0.25919822,0.013984932
0.034720853,0.21009074,0.92723423,2023,State,urban/rural,Manipur,0,2971.607785,,3516.8965,84.495171,5,0.12873229,0.32885969,0.019285617
0.010764297,0.086180083,0.77849549,2023,State,urban/rural,Manipur,1,3632.081367,,3516.8965,103.27518,5,0.044142134,0.17527275,0.004728457
0.02827836,0.1767682,0.88723481,2023,State,All,Manipur,99,3122.280549,,3516.8965,88.779427,5,0.09671443,0.27072614,0.013775649
0.043495033,0.19548583,0.88473296,2023,State,urban/rural,Meghalaya,0,3045.061447,,3516.8965,86.583763,5,0.31466216,0.53535467,0.12106353
0.013722678,0.040927507,0.47544378,2023,State,urban/rural,Meghalaya,1,4641.974841,,3516.8965,131.99066,5,0.081994355,0.19546889,0.026902726
0.038598366,0.17006558,0.81741703,2023,State,All,Meghalaya,99,3154.83844,,3516.8965,89.705185,5,0.27019063,0.47038975,0.10306587
0.005489172,0.060652964,0.67568386,2023,State,urban/rural,Mizoram,0,3810.201786,,3516.8965,108.33989,5,0.11465691,0.2615371,0.037125126
0,0.006266156,0.44914463,2023,State,urban/rural,Mizoram,1,4844.145621,,3516.8965,137.73921,5,0.007993477,0.050763432,0.000680698
0.0028731,0.034732878,0.56771803,2023,State,All,Mizoram,99,4339.381539,,3516.8965,123.38667,5,0.057503603,0.14859857,0.017597163
0.022878207,0.12371922,0.82039356,2023,State,urban/rural,Nagaland,0,3376.996906,,3516.8965,96.022072,5,0.22169407,0.39372507,0.038815737
0,0.02478059,0.44910899,2023,State,urban/rural,Nagaland,1,4767.914694,,3516.8965,135.57166,5,0.063680984,0.18255338,0.008263414
0.015948333,0.093750425,0.70793039,2023,State,All,Nagaland,99,3670.939425,,3516.8965,104.38008,5,0.17056227,0.32539153,0.028929243
0.07667961,0.28594795,0.90019619,2023,State,urban/rural,Odisha,0,2881.624412,,3516.8965,81.936569,5,0.23550354,0.44558415,0.058836449
0.018521285,0.10891704,0.59979755,2023,State,urban/rural,Odisha,1,3834.836427,,3516.8965,109.04035,5,0.069765635,0.18479642,0.015707683
0.06560304,0.25223145,0.84298366,2023,State,All,Odisha,99,2991.653652,,3516.8965,85.065163,5,0.20799972,0.40230703,0.051679328
0.002773047,0.006303784,0.35776594,2023,State,urban/rural,Puducherry,0,5088.667952,,3516.8965,144.692,5,0.015759077,0.10008521,0.001149195
0.058703646,0.072250642,0.33508015,2023,State,urban/rural,Puducherry,1,5366.340402,,3516.8965,152.58739,5,0.013531095,0.073897228,9.55E-05
0.041573372,0.052052613,0.34202829,2023,State,All,Puducherry,99,5249.223111,,3516.8965,149.25725,5,0.014223838,0.082039811,0.000423116
0.001110214,0.019062469,0.59122193,2023,State,urban/rural,Punjab,0,4410.301395,,3516.8965,125.40322,5,0.049012713,0.20349662,0.00723106
0.000523502,0.013965764,0.39790925,2023,State,urban/rural,Punjab,1,5031.909052,,3516.8965,143.07811,5,0.044360436,0.11416804,0.006945962
0.000864374,0.016926883,0.51022136,2023,State,All,Punjab,99,4628.77841,,3516.8965,131.61543,5,0.047321457,0.17102277,0.007127417
0.028435567,0.15347461,0.77025926,2023,State,urban/rural,Rajasthan,0,3484.589532,,3516.8965,99.081375,5,0.20367511,0.46079925,0.045247972
0.008540014,0.066126637,0.52384758,2023,State,urban/rural,Rajasthan,1,4192.409789,,3516.8965,119.20766,5,0.042212449,0.17437097,0.00789541
0.022869842,0.12903927,0.70132631,2023,State,All,Rajasthan,99,3621.248073,,3516.8965,102.96715,5,0.16569094,0.39341688,0.036460765
0.003307754,0.034166869,0.33033106,2023,State,urban/rural,Sikkim,0,5449.679944,,3516.8965,154.95708,5,0.054662313,0.1795864,0.00736835
0,0.001609277,0.15897684,2023,State,urban/rural,Sikkim,1,6405.278119,,3516.8965,182.12871,5,0.004252714,0.049531545,0.000171876
0.002240616,0.023663236,0.27504927,2023,State,All,Sikkim,99,5624.704513,,3516.8965,159.93375,5,0.036746111,0.13336328,0.004810633
0.003903094,0.034535535,0.6513899,2023,State,urban/rural,Tamil Nadu,0,4146.806262,,3516.8965,117.91096,5,0.053213075,0.2319472,0.003506249
