statenumber,state,lf_cws,emp_cws,unpaid_emp,unemp_cws,neet,lfpr_female,unemp_female,type,sector,level,area,year,dem,yr
35,Andaman and Nicobar Islands,0.673965335,0.60092181,0.240437016,0.108378798,0.366824478,0.50933063,0.153264791,State+Urban+All,0,state,urban/rural,2023,All,2023
35,Andaman and Nicobar Islands,0.627781034,0.55460459,0.154636651,0.116563715,0.328423113,0.422013938,0.183757976,State+AllSectors+All,99,state,All,2023,All,2023
35,Andaman and Nicobar Islands,0.569713116,0.496369481,0.024036385,0.128737837,0.288510978,0.313720435,0.24515748,State+Urban+All,1,state,urban/rural,2023,All,2023
35,Andaman and Nicobar Islands,0.646793246,0.545375109,0.135511607,0.156801492,0.309264958,0.467619777,0.245187759,State+AllSectors+All,99,state,All,2022,All,2022
35,Andaman and Nicobar Islands,0.63334471,0.507968307,0.025813099,0.197959125,0.307866693,0.446902335,0.349144459,State+Urban+All,1,state,urban/rural,2022,All,2022
35,Andaman and Nicobar Islands,0.657265365,0.574503064,0.211039126,0.125919163,0.310409665,0.48424527,0.168196976,State+Urban+All,0,state,urban/rural,2022,All,2022
28,Andhra Pradesh,0.604427278,0.562731266,0.144284591,0.068984352,0.320355952,0.441514105,0.084054202,State+Urban+All,0,state,urban/rural,2022,All,2022
28,Andhra Pradesh,0.500762522,0.460877568,0.072486185,0.07964848,0.299515545,0.286530137,0.083377823,State+Urban+All,1,state,urban/rural,2023,All,2023
28,Andhra Pradesh,0.59960866,0.5516451,0.150324896,0.079991445,0.316325247,0.439673722,0.08647006,State+Urban+All,0,state,urban/rural,2023,All,2023
28,Andhra Pradesh,0.569560707,0.524052918,0.129515395,0.07989978,0.310960799,0.392923027,0.085781686,State+AllSectors+All,99,state,All,2023,All,2023
28,Andhra Pradesh,0.577102304,0.533614218,0.123696201,0.075355887,0.315909982,0.40133819,0.091416009,State+AllSectors+All,99,state,All,2022,All,2022
28,Andhra Pradesh,0.514238954,0.466628194,0.066576004,0.092584923,0.306128681,0.309578687,0.115395673,State+Urban+All,1,state,urban/rural,2022,All,2022
12,Arunachal Pradesh,0.679030001,0.645638764,0.223139122,0.049174894,0.189857334,0.582291245,0.045987282,State+AllSectors+All,99,state,All,2022,All,2022
12,Arunachal Pradesh,0.599802256,0.522999227,0.075570248,0.128047273,0.263769209,0.45626843,0.182771817,State+Urban+All,1,state,urban/rural,2023,All,2023
12,Arunachal Pradesh,0.548168361,0.488510638,0.105199903,0.108831055,0.253746748,0.370957792,0.167191863,State+Urban+All,1,state,urban/rural,2022,All,2022
12,Arunachal Pradesh,0.722114205,0.677002251,0.207589298,0.062472019,0.170142278,0.654197812,0.063047394,State+AllSectors+All,99,state,All,2023,All,2023
12,Arunachal Pradesh,0.703582764,0.675119758,0.239150882,0.040454388,0.176261365,0.622753263,0.032164153,State+Urban+All,0,state,urban/rural,2022,All,2022
12,Arunachal Pradesh,0.746586323,0.707815111,0.227106631,0.051931296,0.149760023,0.695746005,0.046565998,State+Urban+All,0,state,urban/rural,2023,All,2023
18,Assam,0.542045176,0.500617921,0.055465769,0.076427639,0.304931611,0.288537234,0.126593933,State+Urban+All,1,state,urban/rural,2023,All,2023
18,Assam,0.637745678,0.604532659,0.107849523,0.052078713,0.285871238,0.445786595,0.069329403,State+AllSectors+All,99,state,All,2023,All,2023
18,Assam,0.650843263,0.618754506,0.113649972,0.049303375,0.283624858,0.467557341,0.064436831,State+Urban+All,0,state,urban/rural,2023,All,2023
18,Assam,0.514064312,0.479549736,0.065539971,0.067140646,0.268663645,0.274250656,0.144592732,State+Urban+All,1,state,urban/rural,2022,All,2022
18,Assam,0.571340621,0.548104107,0.108445138,0.040670153,0.312819719,0.322012842,0.058577336,State+AllSectors+All,99,state,All,2022,All,2022
18,Assam,0.578381002,0.556530774,0.1129895,0.037778243,0.31765306,0.327950865,0.049634524,State+Urban+All,0,state,urban/rural,2022,All,2022
10,Bihar,0.51236701,0.494893819,0.182423368,0.034102909,0.307866335,0.269531488,0.016875228,State+AllSectors+All,99,state,All,2023,All,2023
10,Bihar,0.484078646,0.462530583,0.130389661,0.044513531,0.345105559,0.210554153,0.021895733,State+Urban+All,0,state,urban/rural,2022,All,2022
10,Bihar,0.413324982,0.380633086,0.083890513,0.079094909,0.301093161,0.115149669,0.105153188,State+Urban+All,1,state,urban/rural,2022,All,2022
10,Bihar,0.477854639,0.455326289,0.126970261,0.047144763,0.341118634,0.202487752,0.02589885,State+AllSectors+All,99,state,All,2022,All,2022
10,Bihar,0.428198427,0.39653039,0.084881775,0.073956467,0.277436018,0.154124454,0.081113301,State+Urban+All,1,state,urban/rural,2023,All,2023
10,Bihar,0.521696508,0.505796731,0.190899521,0.030477114,0.311254084,0.281663299,0.013180119,State+Urban+All,0,state,urban/rural,2023,All,2023
4,Chandigarh,0.545748353,0.492129654,0.01838286,0.09824805,0.202268034,0.312313855,0.19604066,State+AllSectors+All,99,state,All,2023,All,2023
4,Chandigarh,0.583207905,0.548684418,0.000688025,0.059195828,0.27212137,0.292676926,0.212822378,State+Urban+All,0,state,urban/rural,2022,All,2022
4,Chandigarh,0.458412349,0.430433542,0.02342676,0.061034139,0.181224465,0.192234382,0.072970927,State+Urban+All,1,state,urban/rural,2022,All,2022
