,X,sector,sector_type,year,edu_cat,youth,sex1,dem,statename,unemp_cws,lf_cws,emp_cws,unpaid_emp,salaried,casual,self_emp,neet,agri_cws,services_cws,ind_cws,X46,JQdim365,JQdim215,POV_365,POV_215
99,869,0,Rural,2023,NA,NA,Male,Gender,Andaman and Nicobar Islands,0.082266487,0.83005023,0.761764884,0.055220217,0.311450899,0.203626573,0.484922498,0.222043738,0.424752444,0.329447091,0.245800465,849,1.6182,1.6911,0.1298,0.0892
100,733,99,All,2023,NA,NA,Male,Gender,Andaman and Nicobar Islands,0.083595105,0.825192869,0.756210804,0.035025161,0.471174389,0.167622685,0.361202925,0.202051073,0.252630234,0.505863965,0.241505802,715,1.8631,1.9113,0.0879,0.058
101,871,1,Urban,2023,NA,NA,Male,Gender,Andaman and Nicobar Islands,0.085310496,0.819005013,0.749135256,0.009298007,0.67808181,0.120982878,0.200935334,0.179892883,0.029661387,0.73439616,0.235942453,851,2.1804,2.1965,0.0336,0.0175
214,1867,0,Rural,2022,NA,NA,Male,Gender,Andaman and Nicobar Islands,0.102875821,0.816219211,0.732249975,0.061101034,0.341404229,0.131859526,0.526736259,0.218393609,0.373981893,0.348708808,0.277309299,1820,1.7295,1.7489,0.1034,0.0921
217,1729,99,All,2022,NA,NA,Male,Gender,Andaman and Nicobar Islands,0.109039806,0.815680027,0.726738393,0.037244927,0.436551303,0.144376084,0.419072628,0.200356424,0.215532884,0.502275348,0.282191753,1684,1.8268,1.8422,0.0701,0.0594
218,1869,1,Urban,2022,NA,NA,Male,Gender,Andaman and Nicobar Islands,0.117196999,0.814967513,0.719455779,0.005723051,0.564508021,0.161208734,0.27428323,0.176366597,0.002445719,0.708796442,0.288757831,1822,1.9576,1.9676,0.0254,0.0154
305,2866,0,Rural,2021,NA,NA,Male,Gender,Andaman and Nicobar Islands,0.092582017,0.833652139,0.756470978,0.026022693,0.19196412,0.362387538,0.445648342,0.245210528,0.416059643,0.273534596,0.310405761,2792,1.6612,1.7103,0.1091,0.0629
311,2728,99,All,2021,NA,NA,Male,Gender,Andaman and Nicobar Islands,0.10088636,0.816475689,0.734104455,0.015838891,0.305683404,0.336124837,0.358191758,0.196999148,0.24665381,0.47075069,0.282595485,2656,1.8163,1.8636,0.0814,0.0423
318,2868,1,Urban,2021,NA,NA,Male,Gender,Andaman and Nicobar Islands,0.109591611,0.799213767,0.711626649,0.005604445,0.427170008,0.308068335,0.264761657,0.151366755,0.065677099,0.681437194,0.252885729,2794,1.982,2.0273,0.0518,0.0203
409,3867,1,Urban,2020,NA,NA,Male,Gender,Andaman and Nicobar Islands,0.096932091,0.827107608,0.746934354,0.01314548,0.578528643,0.175897151,0.245574206,0.19386366,0.034557804,0.688252509,0.277189702,3766,2.2892,2.3045,0.0624,0.0554
