,real_wage_23,year,level,area,dem,quint_label,SourceSheet,Year,sector,sec_quint,statename,state_quint,state_sec_quint,Group,sex_cat,youth_cat,cws_type,emp_type,quintile_overall,nat_quint
55,16224.38,2017,State,All,All,Total,state_quint,2017,99,NA,Andaman and Nicobar Island,NA,NA,Total,NA,NA,NA,NA,NA,NA
255,9149.18,2017,State,All,All,1,state_quint,2017,99,NA,Andaman and Nicobar Island,1,NA,Total,NA,NA,NA,NA,1,NA
256,13016.1,2017,State,All,All,2,state_quint,2017,99,NA,Andaman and Nicobar Island,2,NA,Total,NA,NA,NA,NA,2,NA
257,16236.03,2017,State,All,All,3,state_quint,2017,99,NA,Andaman and Nicobar Island,3,NA,Total,NA,NA,NA,NA,3,NA
258,32789.35,2017,State,All,All,4,state_quint,2017,99,NA,Andaman and Nicobar Island,4,NA,Total,NA,NA,NA,NA,4,NA
259,68936.59,2017,State,All,All,5,state_quint,2017,99,NA,Andaman and Nicobar Island,5,NA,Total,NA,NA,NA,NA,5,NA
260,NA,2017,State,All,All,Total,state_quint,2017,99,NA,Andaman and Nicobar Island,NA,NA,Total,NA,NA,NA,NA,NA,NA
333,13886.69,2017,State,urban/rural,All,Total,state_sec_quint,2017,0,NA,Andaman and Nicobar Island,NA,NA,Total,NA,NA,NA,NA,NA,NA
334,22142.21,2017,State,urban/rural,All,Total,state_sec_quint,2017,1,NA,Andaman and Nicobar Island,NA,NA,Total,NA,NA,NA,NA,NA,NA
733,8118.01,2017,State,urban/rural,All,1,state_sec_quint,2017,0,NA,Andaman and Nicobar Island,NA,1,Total,NA,NA,NA,NA,1,NA
734,11795.96,2017,State,urban/rural,All,2,state_sec_quint,2017,0,NA,Andaman and Nicobar Island,NA,2,Total,NA,NA,NA,NA,2,NA
735,13886.69,2017,State,urban/rural,All,3,state_sec_quint,2017,0,NA,Andaman and Nicobar Island,NA,3,Total,NA,NA,NA,NA,3,NA
736,19659.93,2017,State,urban/rural,All,4,state_sec_quint,2017,0,NA,Andaman and Nicobar Island,NA,4,Total,NA,NA,NA,NA,4,NA
737,56102.9,2017,State,urban/rural,All,5,state_sec_quint,2017,0,NA,Andaman and Nicobar Island,NA,5,Total,NA,NA,NA,NA,5,NA
738,NA,2017,State,urban/rural,All,Total,state_sec_quint,2017,0,NA,Andaman and Nicobar Island,NA,NA,Total,NA,NA,NA,NA,NA,NA
739,9687.21,2017,State,urban/rural,All,1,state_sec_quint,2017,1,NA,Andaman and Nicobar Island,NA,1,Total,NA,NA,NA,NA,1,NA
740,14673.72,2017,State,urban/rural,All,2,state_sec_quint,2017,1,NA,Andaman and Nicobar Island,NA,2,Total,NA,NA,NA,NA,2,NA
741,22175.38,2017,State,urban/rural,All,3,state_sec_quint,2017,1,NA,Andaman and Nicobar Island,NA,3,Total,NA,NA,NA,NA,3,NA
742,54289.89,2017,State,urban/rural,All,4,state_sec_quint,2017,1,NA,Andaman and Nicobar Island,NA,4,Total,NA,NA,NA,NA,4,NA
743,76861.18,2017,State,urban/rural,All,5,state_sec_quint,2017,1,NA,Andaman and Nicobar Island,NA,5,Total,NA,NA,NA,NA,5,NA
744,NA,2017,State,urban/rural,All,Total,state_sec_quint,2017,1,NA,Andaman and Nicobar Island,NA,NA,Total,NA,NA,NA,NA,NA,NA
811,19739.59,2018,State,All,All,Total,state_quint,2018,99,NA,Andaman and Nicobar Island,NA,NA,Total,NA,NA,NA,NA,NA,NA
1011,10368.33,2018,State,All,All,1,state_quint,2018,99,NA,Andaman and Nicobar Island,1,NA,Total,NA,NA,NA,NA,1,NA
1012,14269.26,2018,State,All,All,2,state_quint,2018,99,NA,Andaman and Nicobar Island,2,NA,Total,NA,NA,NA,NA,2,NA
1013,19748.34,2018,State,All,All,3,state_quint,2018,99,NA,Andaman and Nicobar Island,3,NA,Total,NA,NA,NA,NA,3,NA
1014,45027.73,2018,State,All,All,4,state_quint,2018,99,NA,Andaman and Nicobar Island,4,NA,Total,NA,NA,NA,NA,4,NA
1015,69895.7,2018,State,All,All,5,state_quint,2018,99,NA,Andaman and Nicobar Island,5,NA,Total,NA,NA,NA,NA,5,NA
