statename,sector,Year,quint_label,group,dem,real_wage_23,sex_cat,youth_cat,cws_type,emp_type,sex_label,youth_lab,cws_label,emp_label
Andaman and Nicobar Island,All,2017,Total,Total,All Households,13668.84,NA,NA,NA,NA,NA,NA,NA,NA
Andaman and Nicobar Island,All,2017,1,Total,All Households,7973.49,NA,NA,NA,NA,NA,NA,NA,NA
Andaman and Nicobar Island,All,2017,2,Total,All Households,10932.02,NA,NA,NA,NA,NA,NA,NA,NA
Andaman and Nicobar Island,All,2017,3,Total,All Households,13668.84,NA,NA,NA,NA,NA,NA,NA,NA
Andaman and Nicobar Island,All,2017,4,Total,All Households,30366.73,NA,NA,NA,NA,NA,NA,NA,NA
Andaman and Nicobar Island,All,2017,5,Total,All Households,60733.46,NA,NA,NA,NA,NA,NA,NA,NA
Andaman and Nicobar Island,All,2018,Total,Total,All Households,17384.62,NA,NA,NA,NA,NA,NA,NA,NA
Andaman and Nicobar Island,All,2018,1,Total,All Households,8878.52,NA,NA,NA,NA,NA,NA,NA,NA
Andaman and Nicobar Island,All,2018,2,Total,All Households,12429.92,NA,NA,NA,NA,NA,NA,NA,NA
Andaman and Nicobar Island,All,2018,3,Total,All Households,17384.62,NA,NA,NA,NA,NA,NA,NA,NA
Andaman and Nicobar Island,All,2018,4,Total,All Households,39361.42,NA,NA,NA,NA,NA,NA,NA,NA
Andaman and Nicobar Island,All,2018,5,Total,All Households,60266.66,NA,NA,NA,NA,NA,NA,NA,NA
Andaman and Nicobar Island,All,2019,Total,Total,All Households,14646.04,NA,NA,NA,NA,NA,NA,NA,NA
Andaman and Nicobar Island,All,2019,1,Total,All Households,7811.22,NA,NA,NA,NA,NA,NA,NA,NA
Andaman and Nicobar Island,All,2019,2,Total,All Households,11298.37,NA,NA,NA,NA,NA,NA,NA,NA
Andaman and Nicobar Island,All,2019,3,Total,All Households,14646.04,NA,NA,NA,NA,NA,NA,NA,NA
Andaman and Nicobar Island,All,2019,4,Total,All Households,23433.66,NA,NA,NA,NA,NA,NA,NA,NA
Andaman and Nicobar Island,All,2019,5,Total,All Households,58584.16,NA,NA,NA,NA,NA,NA,NA,NA
Andaman and Nicobar Island,All,2020,Total,Total,All Households,15036.34,NA,NA,NA,NA,NA,NA,NA,NA
Andaman and Nicobar Island,All,2020,1,Total,All Households,7301.53,NA,NA,NA,NA,NA,NA,NA,NA
Andaman and Nicobar Island,All,2020,2,Total,All Households,12082.78,NA,NA,NA,NA,NA,NA,NA,NA
Andaman and Nicobar Island,All,2020,3,Total,All Households,15211.51,NA,NA,NA,NA,NA,NA,NA,NA
Andaman and Nicobar Island,All,2020,4,Total,All Households,30423.02,NA,NA,NA,NA,NA,NA,NA,NA
Andaman and Nicobar Island,All,2020,5,Total,All Households,57803.75,NA,NA,NA,NA,NA,NA,NA,NA
Andaman and Nicobar Island,All,2021,Total,Total,All Households,14196.27,NA,NA,NA,NA,NA,NA,NA,NA
Andaman and Nicobar Island,All,2021,1,Total,All Households,6117.13,NA,NA,NA,NA,NA,NA,NA,NA
Andaman and Nicobar Island,All,2021,2,Total,All Households,10460.41,NA,NA,NA,NA,NA,NA,NA,NA
Andaman and Nicobar Island,All,2021,3,Total,All Households,14273.31,NA,NA,NA,NA,NA,NA,NA,NA
Andaman and Nicobar Island,All,2021,4,Total,All Households,20934.19,NA,NA,NA,NA,NA,NA,NA,NA
Andaman and Nicobar Island,All,2021,5,Total,All Households,54045.44,NA,NA,NA,NA,NA,NA,NA,NA
Andaman and Nicobar Island,All,2022,Total,Total,All Households,15015.54,NA,NA,NA,NA,NA,NA,NA,NA
Andaman and Nicobar Island,All,2022,1,Total,All Households,7764.4,NA,NA,NA,NA,NA,NA,NA,NA
Andaman and Nicobar Island,All,2022,2,Total,All Households,12262.69,NA,NA,NA,NA,NA,NA,NA,NA
Andaman and Nicobar Island,All,2022,3,Total,All Households,15072.06,NA,NA,NA,NA,NA,NA,NA,NA
Andaman and Nicobar Island,All,2022,4,Total,All Households,22836.46,NA,NA,NA,NA,NA,NA,NA,NA
Andaman and Nicobar Island,All,2022,5,Total,All Households,58461.34,NA,NA,NA,NA,NA,NA,NA,NA
Andaman and Nicobar Island,All,2023,Total,Total,All Households,14941.34,NA,NA,NA,NA,NA,NA,NA,NA
Andaman and Nicobar Island,All,2023,1,Total,All Households,7533.45,NA,NA,NA,NA,NA,NA,NA,NA
Andaman and Nicobar Island,All,2023,2,Total,All Households,12304.63,NA,NA,NA,NA,NA,NA,NA,NA
Andaman and Nicobar Island,All,2023,3,Total,All Households,15820.25,NA,NA,NA,NA,NA,NA,NA,NA
Andaman and Nicobar Island,All,2023,4,Total,All Households,24609.27,NA,NA,NA,NA,NA,NA,NA,NA
Andaman and Nicobar Island,All,2023,5,Total,All Households,57128.66,NA,NA,NA,NA,NA,NA,NA,NA
Andaman and Nicobar Island,All,2017,Total,Gender,Sex,16236.03,1,NA,NA,NA,Male,NA,NA,NA
Andaman and Nicobar Island,All,2017,Total,Gender,Sex,14297.97,2,NA,NA,NA,Female,NA,NA,NA
Andaman and Nicobar Island,All,2017,1,Gender,Sex,10412.88,1,NA,NA,NA,Male,NA,NA,NA
Andaman and Nicobar Island,All,2017,1,Gender,Sex,5728.35,2,NA,NA,NA,Female,NA,NA,NA
Andaman and Nicobar Island,All,2017,2,Gender,Sex,13205.65,1,NA,NA,NA,Male,NA,NA,NA
Andaman and Nicobar Island,All,2017,2,Gender,Sex,8322,2,NA,NA,NA,Female,NA,NA,NA
Andaman and Nicobar Island,All,2017,3,Gender,Sex,16434.56,1,NA,NA,NA,Male,NA,NA,NA
Andaman and Nicobar Island,All,2017,3,Gender,Sex,14297.97,2,NA,NA,NA,Female,NA,NA,NA
Andaman and Nicobar Island,All,2017,4,Gender,Sex,27040.63,1,NA,NA,NA,Male,NA,NA,NA
Andaman and Nicobar Island,All,2017,4,Gender,Sex,52426.48,2,NA,NA,NA,Female,NA,NA,NA
Andaman and Nicobar Island,All,2017,5,Gender,Sex,66290.58,1,NA,NA,NA,Male,NA,NA,NA
Andaman and Nicobar Island,All,2017,5,Gender,Sex,91175.71,2,NA,NA,NA,Female,NA,NA,NA
Andaman and Nicobar Island,All,2018,Total,Gender,Sex,20347,1,NA,NA,NA,Male,NA,NA,NA
Andaman and Nicobar Island,All,2018,Total,Gender,Sex,14332.56,2,NA,NA,NA,Female,NA,NA,NA
Andaman and Nicobar Island,All,2018,1,Gender,Sex,11100.11,1,NA,NA,NA,Male,NA,NA,NA
Andaman and Nicobar Island,All,2018,1,Gender,Sex,5275.15,2,NA,NA,NA,Female,NA,NA,NA
Andaman and Nicobar Island,All,2018,2,Gender,Sex,14811.25,1,NA,NA,NA,Male,NA,NA,NA
Andaman and Nicobar Island,All,2018,2,Gender,Sex,10550.29,2,NA,NA,NA,Female,NA,NA,NA
Andaman and Nicobar Island,All,2018,3,Gender,Sex,20347,1,NA,NA,NA,Male,NA,NA,NA
Andaman and Nicobar Island,All,2018,3,Gender,Sex,14486.01,2,NA,NA,NA,Female,NA,NA,NA
Andaman and Nicobar Island,All,2018,4,Gender,Sex,46157.54,1,NA,NA,NA,Male,NA,NA,NA
Andaman and Nicobar Island,All,2018,4,Gender,Sex,38017.21,2,NA,NA,NA,Female,NA,NA,NA
Andaman and Nicobar Island,All,2018,5,Gender,Sex,70075.32,1,NA,NA,NA,Male,NA,NA,NA
Andaman and Nicobar Island,All,2018,5,Gender,Sex,67380.12,2,NA,NA,NA,Female,NA,NA,NA
Andaman and Nicobar Island,All,2019,Total,Gender,Sex,17677.03,1,NA,NA,NA,Male,NA,NA,NA
Andaman and Nicobar Island,All,2019,Total,Gender,Sex,13462.37,2,NA,NA,NA,Female,NA,NA,NA
Andaman and Nicobar Island,All,2019,1,Gender,Sex,10102.79,1,NA,NA,NA,Male,NA,NA,NA
Andaman and Nicobar Island,All,2019,1,Gender,Sex,4094.7,2,NA,NA,NA,Female,NA,NA,NA
Andaman and Nicobar Island,All,2019,2,Gender,Sex,13462.37,1,NA,NA,NA,Male,NA,NA,NA
Andaman and Nicobar Island,All,2019,2,Gender,Sex,9710.94,2,NA,NA,NA,Female,NA,NA,NA
Andaman and Nicobar Island,All,2019,3,Gender,Sex,18001.12,1,NA,NA,NA,Male,NA,NA,NA
Andaman and Nicobar Island,All,2019,3,Gender,Sex,13470.39,2,NA,NA,NA,Female,NA,NA,NA
Andaman and Nicobar Island,All,2019,4,Gender,Sex,27021.25,1,NA,NA,NA,Male,NA,NA,NA
Andaman and Nicobar Island,All,2019,4,Gender,Sex,23144.3,2,NA,NA,NA,Female,NA,NA,NA
Andaman and Nicobar Island,All,2019,5,Gender,Sex,70194.86,1,NA,NA,NA,Male,NA,NA,NA
Andaman and Nicobar Island,All,2019,5,Gender,Sex,70194.86,2,NA,NA,NA,Female,NA,NA,NA
Andaman and Nicobar Island,All,2020,Total,Gender,Sex,18041.47,1,NA,NA,NA,Male,NA,NA,NA
Andaman and Nicobar Island,All,2020,Total,Gender,Sex,14720.93,2,NA,NA,NA,Female,NA,NA,NA
Andaman and Nicobar Island,All,2020,1,Gender,Sex,9810.64,1,NA,NA,NA,Male,NA,NA,NA
Andaman and Nicobar Island,All,2020,1,Gender,Sex,5397.28,2,NA,NA,NA,Female,NA,NA,NA
Andaman and Nicobar Island,All,2020,2,Gender,Sex,14187.28,1,NA,NA,NA,Male,NA,NA,NA
Andaman and Nicobar Island,All,2020,2,Gender,Sex,11010.8,2,NA,NA,NA,Female,NA,NA,NA
Andaman and Nicobar Island,All,2020,3,Gender,Sex,18041.47,1,NA,NA,NA,Male,NA,NA,NA
Andaman and Nicobar Island,All,2020,3,Gender,Sex,14720.93,2,NA,NA,NA,Female,NA,NA,NA
Andaman and Nicobar Island,All,2020,4,Gender,Sex,32702.12,1,NA,NA,NA,Male,NA,NA,NA
Andaman and Nicobar Island,All,2020,4,Gender,Sex,41379.57,2,NA,NA,NA,Female,NA,NA,NA
Andaman and Nicobar Island,All,2020,5,Gender,Sex,65413.16,1,NA,NA,NA,Male,NA,NA,NA
Andaman and Nicobar Island,All,2020,5,Gender,Sex,74482.53,2,NA,NA,NA,Female,NA,NA,NA
Andaman and Nicobar Island,All,2022,Total,Gender,Sex,19155.94,1,NA,NA,NA,Male,NA,NA,NA
Andaman and Nicobar Island,All,2022,Total,Gender,Sex,12965.37,2,NA,NA,NA,Female,NA,NA,NA
Andaman and Nicobar Island,All,2022,1,Gender,Sex,11676.19,1,NA,NA,NA,Male,NA,NA,NA
Andaman and Nicobar Island,All,2022,1,Gender,Sex,6050.5,2,NA,NA,NA,Female,NA,NA,NA
Andaman and Nicobar Island,All,2022,2,Gender,Sex,15644.8,1,NA,NA,NA,Male,NA,NA,NA
Andaman and Nicobar Island,All,2022,2,Gender,Sex,9035.15,2,NA,NA,NA,Female,NA,NA,NA
Andaman and Nicobar Island,All,2022,3,Gender,Sex,19155.94,1,NA,NA,NA,Male,NA,NA,NA
Andaman and Nicobar Island,All,2022,3,Gender,Sex,12965.37,2,NA,NA,NA,Female,NA,NA,NA
Andaman and Nicobar Island,All,2022,4,Gender,Sex,31610.33,1,NA,NA,NA,Male,NA,NA,NA
Andaman and Nicobar Island,All,2022,4,Gender,Sex,19222.15,2,NA,NA,NA,Female,NA,NA,NA
Andaman and Nicobar Island,All,2022,5,Gender,Sex,74052.64,1,NA,NA,NA,Male,NA,NA,NA
Andaman and Nicobar Island,All,2022,5,Gender,Sex,53991.82,2,NA,NA,NA,Female,NA,NA,NA
Andaman and Nicobar Island,All,2023,Total,Gender,Sex,19403.78,1,NA,NA,NA,Male,NA,NA,NA
Andaman and Nicobar Island,All,2023,Total,Gender,Sex,12273.69,2,NA,NA,NA,Female,NA,NA,NA
Andaman and Nicobar Island,All,2023,1,Gender,Sex,10626.37,1,NA,NA,NA,Male,NA,NA,NA
Andaman and Nicobar Island,All,2023,1,Gender,Sex,6762.24,2,NA,NA,NA,Female,NA,NA,NA
Andaman and Nicobar Island,All,2023,2,Gender,Sex,15043.31,1,NA,NA,NA,Male,NA,NA,NA
Andaman and Nicobar Island,All,2023,2,Gender,Sex,9660.34,2,NA,NA,NA,Female,NA,NA,NA
Andaman and Nicobar Island,All,2023,3,Gender,Sex,19460.32,1,NA,NA,NA,Male,NA,NA,NA
Andaman and Nicobar Island,All,2023,3,Gender,Sex,12376.31,2,NA,NA,NA,Female,NA,NA,NA
Andaman and Nicobar Island,All,2023,4,Gender,Sex,34593.5,1,NA,NA,NA,Male,NA,NA,NA
Andaman and Nicobar Island,All,2023,4,Gender,Sex,17687.79,2,NA,NA,NA,Female,NA,NA,NA
Andaman and Nicobar Island,All,2023,5,Gender,Sex,66464.1,1,NA,NA,NA,Male,NA,NA,NA
Andaman and Nicobar Island,All,2023,5,Gender,Sex,59814.38,2,NA,NA,NA,Female,NA,NA,NA
Andaman and Nicobar Island,All,2017,Total,Youth,Youth,12168.28,NA,1,NA,NA,NA,Youth,NA,NA
Andaman and Nicobar Island,All,2017,Total,Youth,Youth,16816.29,NA,2,NA,NA,NA,NonYouth,NA,NA
Andaman and Nicobar Island,All,2017,1,Youth,Youth,9155.53,NA,1,NA,NA,NA,Youth,NA,NA
Andaman and Nicobar Island,All,2017,1,Youth,Youth,9149.18,NA,2,NA,NA,NA,NonYouth,NA,NA
Andaman and Nicobar Island,All,2017,2,Youth,Youth,10816.25,NA,1,NA,NA,NA,Youth,NA,NA
Andaman and Nicobar Island,All,2017,2,Youth,Youth,13500.94,NA,2,NA,NA,NA,NonYouth,NA,NA
Andaman and Nicobar Island,All,2017,3,Youth,Youth,12168.28,NA,1,NA,NA,NA,Youth,NA,NA
Andaman and Nicobar Island,All,2017,3,Youth,Youth,16910.17,NA,2,NA,NA,NA,NonYouth,NA,NA
Andaman and Nicobar Island,All,2017,4,Youth,Youth,13911.71,NA,1,NA,NA,NA,Youth,NA,NA
Andaman and Nicobar Island,All,2017,4,Youth,Youth,44018.83,NA,2,NA,NA,NA,NonYouth,NA,NA
Andaman and Nicobar Island,All,2017,5,Youth,Youth,24966,NA,1,NA,NA,NA,Youth,NA,NA
Andaman and Nicobar Island,All,2017,5,Youth,Youth,71962.17,NA,2,NA,NA,NA,NonYouth,NA,NA
Andaman and Nicobar Island,All,2018,Total,Youth,Youth,13576.98,NA,1,NA,NA,NA,Youth,NA,NA
Andaman and Nicobar Island,All,2018,Total,Youth,Youth,20499.64,NA,2,NA,NA,NA,NonYouth,NA,NA
Andaman and Nicobar Island,All,2018,1,Youth,Youth,10292.05,NA,1,NA,NA,NA,Youth,NA,NA
Andaman and Nicobar Island,All,2018,1,Youth,Youth,10368.33,NA,2,NA,NA,NA,NonYouth,NA,NA
Andaman and Nicobar Island,All,2018,2,Youth,Youth,12865.06,NA,1,NA,NA,NA,Youth,NA,NA
Andaman and Nicobar Island,All,2018,2,Youth,Youth,14332.56,NA,2,NA,NA,NA,NonYouth,NA,NA
Andaman and Nicobar Island,All,2018,3,Youth,Youth,13861.05,NA,1,NA,NA,NA,Youth,NA,NA
Andaman and Nicobar Island,All,2018,3,Youth,Youth,20500.14,NA,2,NA,NA,NA,NonYouth,NA,NA
Andaman and Nicobar Island,All,2018,4,Youth,Youth,16171.23,NA,1,NA,NA,NA,Youth,NA,NA
Andaman and Nicobar Island,All,2018,4,Youth,Youth,47564.21,NA,2,NA,NA,NA,NonYouth,NA,NA
Andaman and Nicobar Island,All,2018,5,Youth,Youth,27213.53,NA,1,NA,NA,NA,Youth,NA,NA
Andaman and Nicobar Island,All,2018,5,Youth,Youth,71587.37,NA,2,NA,NA,NA,NonYouth,NA,NA
Andaman and Nicobar Island,All,2019,Total,Youth,Youth,13225.31,NA,1,NA,NA,NA,Youth,NA,NA
Andaman and Nicobar Island,All,2019,Total,Youth,Youth,18001.12,NA,2,NA,NA,NA,NonYouth,NA,NA
,,,,,,,,,,,,,,
Andaman and Nicobar Island,All,2019,1,Youth,Youth,4094.7,NA,1,NA,NA,NA,Youth,NA,NA
Andaman and Nicobar Island,All,2019,1,Youth,Youth,9359.31,NA,2,NA,NA,NA,NonYouth,NA,NA
Andaman and Nicobar Island,All,2019,2,Youth,Youth,11381.23,NA,1,NA,NA,NA,Youth,NA,NA
Andaman and Nicobar Island,All,2019,2,Youth,Youth,13462.37,NA,2,NA,NA,NA,NonYouth,NA,NA
Andaman and Nicobar Island,All,2019,3,Youth,Youth,13462.37,NA,1,NA,NA,NA,Youth,NA,NA
Andaman and Nicobar Island,All,2019,3,Youth,Youth,18209.97,NA,2,NA,NA,NA,NonYouth,NA,NA
Andaman and Nicobar Island,All,2019,4,Youth,Youth,16008.77,NA,1,NA,NA,NA,Youth,NA,NA
Andaman and Nicobar Island,All,2019,4,Youth,Youth,28773.45,NA,2,NA,NA,NA,NonYouth,NA,NA
Andaman and Nicobar Island,All,2019,5,Youth,Youth,26059.97,NA,1,NA,NA,NA,Youth,NA,NA
Andaman and Nicobar Island,All,2019,5,Youth,Youth,70194.86,NA,2,NA,NA,NA,NonYouth,NA,NA
,,,,,,,,,,,,,,
Andaman and Nicobar Island,All,2020,Total,Youth,Youth,16159.46,NA,1,NA,NA,NA,Youth,NA,NA
Andaman and Nicobar Island,All,2020,Total,Youth,Youth,18057.17,NA,2,NA,NA,NA,NonYouth,NA,NA
Andaman and Nicobar Island,All,2020,1,Youth,Youth,7216.59,NA,1,NA,NA,NA,Youth,NA,NA
Andaman and Nicobar Island,All,2020,1,Youth,Youth,8635.66,NA,2,NA,NA,NA,NonYouth,NA,NA
Andaman and Nicobar Island,All,2020,2,Youth,Youth,14195.55,NA,1,NA,NA,NA,Youth,NA,NA
Andaman and Nicobar Island,All,2020,2,Youth,Youth,13850.96,NA,2,NA,NA,NA,NonYouth,NA,NA
Andaman and Nicobar Island,All,2020,3,Youth,Youth,16532.74,NA,1,NA,NA,NA,Youth,NA,NA
Andaman and Nicobar Island,All,2020,3,Youth,Youth,18057.17,NA,2,NA,NA,NA,NonYouth,NA,NA
Andaman and Nicobar Island,All,2020,4,Youth,Youth,17696.03,NA,1,NA,NA,NA,Youth,NA,NA
Andaman and Nicobar Island,All,2020,4,Youth,Youth,39270.54,NA,2,NA,NA,NA,NonYouth,NA,NA
Andaman and Nicobar Island,All,2020,5,Youth,Youth,21199.64,NA,1,NA,NA,NA,Youth,NA,NA
Andaman and Nicobar Island,All,2020,5,Youth,Youth,69254.82,NA,2,NA,NA,NA,NonYouth,NA,NA
