,sector,sector_type,year,state,sex1_female,sex1_male,youth,working_age,working_age_female,working_age_male,age_cohort_1,age_cohort_2,age_cohort_3,age_cohort_4,age_cohort_female_1,age_cohort_female_2,age_cohort_female_3,age_cohort_female_4,age_cohort_male_1,age_cohort_male_2,age_cohort_male_3,age_cohort_male_4
37,99,All,2023,Andaman and Nicobar Island,0.484336168,0.515663832,0.229787916,0.811347604,0.820229471,0.803005278,0.283217609,0.333790988,0.305370927,0.077620469,0.265501678,0.356697351,0.305549592,0.072251394,0.300214171,0.311814785,0.305199534,0.082771525
104,0,Rural,2023,Andaman and Nicobar Island,0.479073197,0.520926803,0.210671365,0.812957942,0.825850487,0.801101267,0.259141773,0.329609305,0.322980046,0.088268861,0.235345677,0.365294218,0.320823133,0.078536965,0.281702071,0.295777619,0.325024933,0.097495355
105,1,Urban,2023,Andaman and Nicobar Island,0.490923882,0.509076118,0.253716141,0.809331894,0.813363433,0.805444121,0.313488394,0.339048654,0.283230841,0.064232141,0.302902311,0.346035153,0.286606759,0.064455785,0.323797345,0.332245022,0.279943287,0.064014345
144,99,All,2022,Andaman and Nicobar Island,0.484040529,0.515959471,0.252837867,0.812953353,0.814938962,0.811090589,0.311011523,0.321984202,0.305769593,0.061234646,0.327843964,0.32790941,0.295209765,0.049036872,0.295145512,0.316399187,0.315723181,0.072732121
212,0,Rural,2022,Andaman and Nicobar Island,0.484221637,0.515778363,0.244978696,0.805385768,0.796391785,0.813829482,0.304175586,0.292511076,0.339039117,0.064274229,0.313098282,0.304472029,0.340698034,0.04173167,0.295978338,0.281522512,0.337515056,0.084984109
213,1,Urban,2022,Andaman and Nicobar Island,0.483802915,0.516197085,0.263150066,0.82288295,0.839296222,0.807499707,0.319790393,0.359834254,0.263044208,0.057331145,0.346218884,0.357115299,0.238525733,0.058140054,0.294045061,0.362482905,0.286928892,0.056543149
252,99,All,2021,Andaman and Nicobar Island,0.492308378,0.507691622,0.231470659,0.784074843,0.783593178,0.784541905,0.295215011,0.33988297,0.302108109,0.062793911,0.290266782,0.359415442,0.287324667,0.062993102,0.300007492,0.32096526,0.316426277,0.062600985
320,0,Rural,2021,Andaman and Nicobar Island,0.494171351,0.505828649,0.212677747,0.770546436,0.776725948,0.764509261,0.276008993,0.336531967,0.314119279,0.073339745,0.260864466,0.378270805,0.278473794,0.082390919,0.291040957,0.295103401,0.349499792,0.064355865
321,1,Urban,2021,Andaman and Nicobar Island,0.490320116,0.509679884,0.251527637,0.798513174,0.790979803,0.805760443,0.314994961,0.343334138,0.289737999,0.05193292,0.321323365,0.339499235,0.296673477,0.042503919,0.309018612,0.346955687,0.283188313,0.060837377
360,99,All,2020,Andaman and Nicobar Island,0.482602566,0.517397434,0.260791183,0.829852521,0.834671497,0.825357676,0.314262062,0.315517575,0.304371774,0.065848589,0.290268242,0.325971246,0.336674422,0.047086097,0.33689487,0.30565688,0.273901463,0.083546795
428,0,Rural,2020,Andaman and Nicobar Island,0.493565708,0.506434292,0.255165577,0.825613797,0.833251417,0.81817019,0.309061676,0.311938196,0.299993813,0.079006314,0.290493071,0.339702219,0.320964009,0.048840694,0.327491999,0.284380913,0.279179752,0.108947337
429,1,Urban,2020,Andaman and Nicobar Island,0.468153208,0.531846792,0.268205702,0.835439205,0.836644709,0.834378064,0.321035564,0.320179701,0.310074031,0.048710704,0.289957076,0.306968927,0.35841611,0.044657905,0.348466426,0.331839949,0.267405778,0.052287836
468,99,All,2019,Andaman and Nicobar Island,0.475887299,0.524112701,0.261736184,0.810753465,0.803063989,0.817735374,0.322830826,0.311535507,0.275464118,0.090169527,0.307665765,0.330357194,0.271193385,0.090783648,0.336353421,0.29475233,0.279272318,0.089621916
536,0,Rural,2019,Andaman and Nicobar Island,0.478989959,0.521010041,0.25753358,0.810559809,0.796218395,0.823744535,0.317723095,0.313483,0.251371443,0.117422439,0.285443395,0.346949726,0.248128235,0.119478658,0.346407771,0.28374356,0.254253447,0.115595222
537,1,Urban,2019,Andaman and Nicobar Island,0.471433789,0.528566211,0.267768532,0.811031342,0.813047409,0.809233248,0.330158025,0.308741778,0.31002605,0.051074132,0.339403659,0.306659818,0.304134905,0.049801599,0.32187289,0.310607433,0.315305173,0.05221447
576,99,All,2018,Andaman and Nicobar Island,0.491274804,0.508725196,0.252227724,0.779803991,0.777050793,0.782462835,0.323450148,0.334918708,0.27370733,0.067923836,0.353979021,0.304351985,0.273784161,0.067884818,0.294172406,0.364232719,0.273633629,0.067961253
644,0,Rural,2018,Andaman and Nicobar Island,0.512534738,0.487465262,0.242932782,0.773377299,0.765287995,0.781882644,0.314119369,0.32710585,0.287400544,0.071374245,0.350407183,0.278481275,0.305578917,0.065532647,0.276775092,0.377146035,0.26869297,0.077385902
645,1,Urban,2018,Andaman and Nicobar Island,0.460134089,0.539865911,0.265842617,0.789217591,0.796242595,0.783230066,0.336843252,0.346132964,0.25405255,0.062971242,0.359580189,0.344920963,0.223925471,0.071573354,0.317142308,0.347183138,0.280156821,0.055517752
684,99,All,2017,Andaman and Nicobar Island,0.489394039,0.510605961,0.25471735,0.768460572,0.759415686,0.77712971,0.33146444,0.351095021,0.245245695,0.072194837,0.328422129,0.360268205,0.238485545,0.072824121,0.334313899,0.342503309,0.251577318,0.071605444
752,0,Rural,2017,Andaman and Nicobar Island,0.494831175,0.505168825,0.243810102,0.774229944,0.758698642,0.789443374,0.314906567,0.346707672,0.259028435,0.079357311,0.307738513,0.367427468,0.245506465,0.079327561,0.321654499,0.32720232,0.271757871,0.079385318
753,1,Urban,2017,Andaman and Nicobar Island,0.481157452,0.518842548,0.271240473,0.759720743,0.760532796,0.758967698,0.357026517,0.357868224,0.223967865,0.061137389,0.360567868,0.349141568,0.227573887,0.062716693,0.353735626,0.365977734,0.220616862,0.059669774
30,99,All,2023,Andhra Pradesh,0.507883847,0.492116153,0.226640463,0.788483322,0.800339103,0.77624768,0.287438512,0.298974365,0.310259283,0.10332787,0.277144969,0.291509151,0.319225043,0.112120837,0.298391551,0.306917846,0.300719053,0.093971536
90,0,Rural,2023,Andhra Pradesh,0.504650295,0.495349705,0.21958977,0.780943513,0.796290874,0.765308082,0.28118521,0.293647736,0.316271275,0.108895794,0.267554641,0.284468263,0.326298505,0.121678606,0.295633882,0.303378165,0.305642188,0.095345758
91,1,Urban,2023,Andhra Pradesh,0.515527785,0.484472215,0.243308112,0.806307137,0.809707105,0.802689195,0.301756114,0.31117022,0.296494156,0.090579502,0.298970163,0.307532459,0.303127617,0.090369739,0.304746568,0.31507501,0.289373755,0.090804666
137,99,All,2022,Andhra Pradesh,0.507276714,0.492723286,0.246087566,0.795298338,0.803747296,0.786599815,0.309428006,0.286241919,0.313782603,0.090547495,0.294754952,0.286880076,0.321919322,0.096445642,0.324863732,0.285570592,0.305222958,0.084342755
198,0,Rural,2022,Andhra Pradesh,0.508539319,0.491460681,0.241373062,0.790862501,0.795524061,0.786038935,0.305202305,0.283645481,0.315161139,0.095991053,0.289440006,0.283357143,0.323843718,0.10335914,0.321709186,0.283947438,0.30606845,0.088274918
199,1,Urban,2022,Andhra Pradesh,0.504317403,0.495682597,0.25713706,0.805694699,0.82318157,0.78790319,0.319149494,0.292215228,0.310611129,0.078024141,0.306894004,0.294926286,0.317524105,0.080655605,0.332176775,0.289333463,0.30326283,0.075226963
245,99,All,2021,Andhra Pradesh,0.511143804,0.488856196,0.242656454,0.798752189,0.800067842,0.797376513,0.303794414,0.296772391,0.313517064,0.085916139,0.302244425,0.295573145,0.321181148,0.081001289,0.305420578,0.298030525,0.305476487,0.091072418
306,0,Rural,2021,Andhra Pradesh,0.509351611,0.490648389,0.240084633,0.805559635,0.805725813,0.805387139,0.298034579,0.289096266,0.323846072,0.089023076,0.294980347,0.291638702,0.33361569,0.079765245,0.301206589,0.28645578,0.313699782,0.098637857
307,1,Urban,2021,Andhra Pradesh,0.515254557,0.484745443,0.248555511,0.783137798,0.787238777,0.778778672,0.317384154,0.314883351,0.289146841,0.078585654,0.319102049,0.304703772,0.292324424,0.083869763,0.315538287,0.325821191,0.285732567,0.072907969
353,99,All,2020,Andhra Pradesh,0.500625789,0.499374211,0.244810984,0.792271495,0.801150799,0.783369958,0.308998853,0.304754406,0.291646391,0.09460035,0.297086805,0.307964295,0.309020609,0.085928284,0.321211815,0.301463425,0.273833275,0.103491478
414,0,Rural,2020,Andhra Pradesh,0.498948306,0.501051694,0.243377492,0.795857131,0.799008906,0.792718589,0.305805504,0.302777559,0.288666099,0.102750845,0.289460987,0.310037076,0.309801131,0.090700805,0.32221058,0.295491159,0.267452776,0.114845514
415,1,Urban,2020,Andhra Pradesh,0.504081368,0.495918632,0.247763917,0.784885287,0.805518031,0.763912916,0.31566897,0.308883578,0.29787153,0.077575929,0.312510073,0.303772092,0.307442009,0.076275803,0.319054723,0.314362139,0.28761372,0.078969426
461,99,All,2019,Andhra Pradesh,0.505235136,0.494764864,0.24425365,0.794670939,0.804190934,0.784949481,0.307364523,0.297594756,0.301739663,0.093301065,0.29700774,0.301980466,0.312419027,0.088592768,0.318199694,0.29300645,0.290566981,0.09822686
522,0,Rural,2019,Andhra Pradesh,0.501809955,0.498190045,0.238519341,0.795746207,0.807121098,0.784288645,0.299742997,0.295671999,0.305657923,0.098927081,0.283726871,0.301047266,0.323460758,0.091765098,0.316345155,0.290100068,0.28720367,0.106351115
523,1,Urban,2019,Andhra Pradesh,0.512549698,0.487450302,0.25649941,0.79237479,0.798064709,0.786391854,0.323709697,0.301718295,0.29333654,0.081235468,0.32509017,0.303953707,0.289071262,0.081884868,0.322236598,0.299332887,0.297888011,0.080542497
569,99,All,2018,Andhra Pradesh,0.505134583,0.494865417,0.258090645,0.781903386,0.793383598,0.770184994,0.330079973,0.299459994,0.271483779,0.098976254,0.325813025,0.297302336,0.279772669,0.097111963,0.334566683,0.301728755,0.26276803,0.100936547
630,0,Rural,2018,Andhra Pradesh,0.505362093,0.494637907,0.254875004,0.776824057,0.785819888,0.7676332,0.328098774,0.298627585,0.265153646,0.108120009,0.31988129,0.290618151,0.279352099,0.11014843,0.336693287,0.307004511,0.250303686,0.105998509
631,1,Urban,2018,Andhra Pradesh,0.504680097,0.495319903,0.264514387,0.792050123,0.808513582,0.775275528,0.333961695,0.301090896,0.283886075,0.081061348,0.337345481,0.310297757,0.280590355,0.071766399,0.330366135,0.291307837,0.287388027,0.090937965
677,99,All,2017,Andhra Pradesh,0.510061622,0.489938378,0.249497131,0.785066545,0.807733238,0.761468947,0.3178038,0.301704556,0.280369908,0.100121751,0.322428793,0.292853236,0.294349551,0.090368435,0.312696308,0.31147927,0.264931828,0.110892579
738,0,Rural,2017,Andhra Pradesh,0.510985911,0.489014089,0.244571522,0.790317416,0.804028213,0.775990605,0.309459865,0.296398103,0.286658823,0.107483216,0.305689037,0.293639928,0.3074992,0.093171827,0.313542455,0.299384356,0.264095217,0.12297795
739,1,Urban,2017,Andhra Pradesh,0.508212447,0.491787553,0.25935185,0.774561167,0.815186322,0.732579231,0.334837139,0.312537163,0.267531663,0.085094027,0.355641901,0.291292429,0.268259406,0.084806256,0.310913205,0.336967051,0.266694844,0.085424937
15,99,All,2023,Arunachal Pradesh,0.484622359,0.515377641,0.275665998,0.744230211,0.748484194,0.740230083,0.370404214,0.316442281,0.258426964,0.054726571,0.378196388,0.327795684,0.242591158,0.051416744,0.362995327,0.305647314,0.273483783,0.057873584
60,0,Rural,2023,Arunachal Pradesh,0.479833871,0.520166129,0.271714896,0.744331837,0.749911427,0.739184856,0.365045369,0.314869344,0.261959612,0.058125652,0.37067461,0.325291485,0.249822274,0.05421162,0.359777272,0.305115819,0.273318321,0.061788596
61,1,Urban,2023,Arunachal Pradesh,0.508535802,0.491464198,0.29539755,0.743722737,0.741758883,0.745754838,0.39718771,0.324303746,0.240770653,0.037737899,0.414029092,0.339725345,0.20814319,0.038102362,0.379854709,0.308431923,0.274350584,0.037362799
122,99,All,2022,Arunachal Pradesh,0.495391577,0.504608423,0.273948342,0.728397787,0.713740587,0.742787242,0.376097172,0.319427967,0.256351262,0.048123628,0.376922756,0.336235017,0.238304943,0.048537303,0.375318348,0.303573102,0.273375154,0.047733389
168,0,Rural,2022,Arunachal Pradesh,0.496453255,0.503546745,0.266704053,0.724171758,0.705801904,0.742282748,0.368288398,0.320793271,0.259521157,0.051397178,0.365056485,0.338924706,0.24478139,0.051237423,0.371318161,0.303795785,0.273339093,0.051546942
169,1,Urban,2022,Arunachal Pradesh,0.489517301,0.510482699,0.314031094,0.75178051,0.758287549,0.745540738,0.417716473,0.312151104,0.239456236,0.030676192,0.438900322,0.322186768,0.204478383,0.034434546,0.397055328,0.302363068,0.273571044,0.027010573
230,99,All,2021,Arunachal Pradesh,0.489926666,0.510073334,0.293053508,0.729144871,0.716288149,0.741493762,0.401913971,0.306951255,0.2389801,0.052154683,0.404134393,0.33791849,0.209131747,0.048815381,0.399853766,0.27821824,0.266674936,0.055253062
276,0,Rural,2021,Arunachal Pradesh,0.489895403,0.510104597,0.289215922,0.727982938,0.716100752,0.739394426,0.397283942,0.304518968,0.240211219,0.057985879,0.400709778,0.333586574,0.211462542,0.05424108,0.394097447,0.27748239,0.266951144,0.061469018
