,edu_cat,unemp_cws,lf_cws,emp_cws,unpaid_emp,salaried,casual,self_emp,neet,ind_cws_1,ind_cws_2,ind_cws_3,ind_cws_4,ind_cws_5,type,state,urban,level,area,year,dem,yr,youth,sex1,JQdim365,JQdim215,POV_365,POV_215,statename
1,below primary,0.018372722,0.559668362,0.549385726,0.110574454,0.081042103,0.27622959,0.642728329,0.527811229,0.191399679,0.060293052,0.038820934,0.005480158,0.704006195,AllStates+AllSectors+edu_cat,NA,99,allindia,All,2023,Education,2023,NA,NA,0.612130761,0.84239167,0.545280397,0.364029348,NA
2,primary and middle,0.030511076,0.606451511,0.587948024,0.094570898,0.170462772,0.231307283,0.598229945,0.270825028,0.1987679,0.137854323,0.118906401,0.01445234,0.530019045,AllStates+AllSectors+edu_cat,NA,99,allindia,All,2023,Education,2023,NA,NA,0.869734108,1.034864783,0.39035508,0.264012069,NA
3,secondary,0.045368753,0.462046474,0.441084027,0.074118905,0.274243057,0.131953537,0.593803406,0.151815683,0.154694781,0.114378929,0.171626344,0.020944225,0.538355708,AllStates+AllSectors+edu_cat,NA,99,allindia,All,2023,Education,2023,NA,NA,1.109853983,1.237270951,0.328850329,0.235949874,NA
4,tertiary,0.1382256,0.67034632,0.577687263,0.061311547,0.58484596,0.025327094,0.389826953,0.382014275,0.085277028,0.107178867,0.385231376,0.092659019,0.32965371,AllStates+AllSectors+edu_cat,NA,99,allindia,All,2023,Education,2023,NA,NA,2.070223093,2.142468214,0.185006291,0.137712285,NA
5,below primary,0.017344784,0.58570534,0.575546384,0.128086627,0.042764105,0.280283242,0.67695266,0.529141665,0.234214634,0.056539472,0.024857642,0.005625824,0.678762436,AllStates+Urban+edu_cat,NA,0,allindia,urban/rural,2023,Education,2023,NA,NA,0.585070014,0.804007053,0.558451653,0.382686585,NA
6,primary and middle,0.027222183,0.634061396,0.616800845,0.117550947,0.105329476,0.248784706,0.645885825,0.274261057,0.261094809,0.127350241,0.087827407,0.013467583,0.510259926,AllStates+Urban+edu_cat,NA,0,allindia,urban/rural,2023,Education,2023,NA,NA,0.792712092,0.949260533,0.420136005,0.297627032,NA
7,secondary,0.043181729,0.493882626,0.472555906,0.098070942,0.197573304,0.155107185,0.647319496,0.16354908,0.226444438,0.109257221,0.136461213,0.021308966,0.506528199,AllStates+Urban+edu_cat,NA,0,allindia,urban/rural,2023,Education,2023,NA,NA,0.967385769,1.093414783,0.376436412,0.28128323,NA
8,tertiary,0.161432743,0.701098561,0.587918341,0.09830837,0.45933795,0.044633877,0.496028185,0.405876189,0.17848964,0.101875961,0.307552725,0.113180265,0.298901409,AllStates+Urban+edu_cat,NA,0,allindia,urban/rural,2023,Education,2023,NA,NA,1.651722789,1.743622541,0.273201168,0.210068077,NA
9,below primary,0.024563124,0.441480279,0.430636168,0.03108234,0.312991887,0.251666009,0.435342103,0.522850513,0.030245051,0.07442145,0.091378473,0.004931878,0.799023151,AllStates+Urban+edu_cat,NA,1,allindia,urban/rural,2023,Education,2023,NA,NA,0.776108325,1.074987411,0.46546784,0.250973791,NA
10,primary and middle,0.041261733,0.53088671,0.508981407,0.031677272,0.386994839,0.173204571,0.43980062,0.258209854,0.025655825,0.167029247,0.205227822,0.017187487,0.584899604,AllStates+Urban+edu_cat,NA,1,allindia,urban/rural,2023,Education,2023,NA,NA,1.125789642,1.319451332,0.291350096,0.1522609,NA
11,secondary,0.050487187,0.401478589,0.381209075,0.028550413,0.455058724,0.077348642,0.467592627,0.125523672,0.018207243,0.124121822,0.238520086,0.020250387,0.598900437,AllStates+Urban+edu_cat,NA,1,allindia,urban/rural,2023,Education,2023,NA,NA,1.445846915,1.576537013,0.216624737,0.129037023,NA
12,tertiary,0.118325926,0.646047354,0.569603205,0.032078493,0.687204897,0.009581312,0.303213805,0.349097818,0.011625047,0.111368962,0.446609199,0.076444156,0.353952616,AllStates+Urban+edu_cat,NA,1,allindia,urban/rural,2023,Education,2023,NA,NA,2.411533833,2.467749357,0.113078363,0.07870201,NA
13,below primary,0.003707418,0.597768605,0.595552444,0.091877706,0.044161242,0.115712672,0.840126097,0.675535381,0.206519738,0.057746921,0.021585524,0.001063512,0.71308428,State+AllSectors+edu_cat,1,99,state,All,2023,Education,2023,NA,NA,0.498782754,0.67997098,0.657024682,0.498057783,Jammu & Kashmir
14,primary and middle,0.024037672,0.641173124,0.625760853,0.059415169,0.162051558,0.17847456,0.659473896,0.14795953,0.189853638,0.17869252,0.122604683,0.01222911,0.496620059,State+AllSectors+edu_cat,1,99,state,All,2023,Education,2023,NA,NA,0.993638694,1.121392846,0.347705662,0.243857861,Jammu & Kashmir
15,secondary,0.077274263,0.486256927,0.448681772,0.048208747,0.308700472,0.08920484,0.60209471,0.107365228,0.100567296,0.126849696,0.221264794,0.037575144,0.513743043,State+AllSectors+edu_cat,1,99,state,All,2023,Education,2023,NA,NA,1.359491467,1.437733412,0.266964376,0.203069255,Jammu & Kashmir
16,tertiary,0.263084888,0.739276409,0.54478395,0.027374808,0.685615361,0.007679573,0.306705058,0.269909322,0.040981136,0.073549531,0.430253297,0.194492459,0.260723561,State+AllSectors+edu_cat,1,99,state,All,2023,Education,2023,NA,NA,2.214573145,2.32863903,0.161476955,0.081059404,Jammu & Kashmir
