,edu_cat,unemp_cws,lf_cws,emp_cws,unpaid_emp,salaried,casual,self_emp,neet,agri_cws,services_cws,ind_cws,type,statenumber,sector,level,area,year,dem,yr,youth,sex1,JQdim365,JQdim215,POV_365,POV_215,statename
1,below primary,0.018372722,0.559668362,0.549385726,0.110574454,0.081042103,0.27622959,0.642728329,0.476698548,0.65890491,0.133574262,0.207520828,AllStates+AllSectors+edu_cat,NA,99,allindia,All,2023,Education,2023,NA,NA,NA,NA,NA,NA,India
2,primary and middle,0.030511076,0.606451511,0.587948024,0.094570898,0.170462772,0.231307283,0.598229945,0.30307579,0.4357512,0.26106137,0.30318743,AllStates+AllSectors+edu_cat,NA,99,allindia,All,2023,Education,2023,NA,NA,NA,NA,NA,NA,India
3,secondary,0.045368753,0.462046474,0.441084027,0.074118905,0.274243057,0.131953537,0.593803406,0.201798335,0.351020575,0.389440268,0.259539187,AllStates+AllSectors+edu_cat,NA,99,allindia,All,2023,Education,2023,NA,NA,NA,NA,NA,NA,India
4,tertiary,0.1382256,0.67034632,0.577687263,0.061311547,0.58484596,0.025327094,0.389826953,0.386887312,0.147617981,0.666851103,0.185530946,AllStates+AllSectors+edu_cat,NA,99,allindia,All,2023,Education,2023,NA,NA,NA,NA,NA,NA,India
5,below primary,0.017344784,0.58570534,0.575546384,0.128086627,0.042764105,0.280283242,0.67695266,0.475796372,0.742047846,0.078767635,0.179184496,AllStates+Urban+edu_cat,NA,0,allindia,urban/rural,2023,Education,2023,NA,NA,NA,NA,NA,NA,India
6,primary and middle,0.027222183,0.634061396,0.616800845,0.117550947,0.105329476,0.248784706,0.645885825,0.304378897,0.547687531,0.18436563,0.267946839,AllStates+Urban+edu_cat,NA,0,allindia,urban/rural,2023,Education,2023,NA,NA,NA,NA,NA,NA,India
7,secondary,0.043181729,0.493882626,0.472555906,0.098070942,0.197573304,0.155107185,0.647319496,0.207871094,0.479589671,0.289012998,0.231397316,AllStates+Urban+edu_cat,NA,0,allindia,urban/rural,2023,Education,2023,NA,NA,NA,NA,NA,NA,India
8,tertiary,0.161432743,0.701098561,0.587918341,0.09830837,0.45933795,0.044633877,0.496028185,0.402645767,0.30359599,0.523121476,0.173282504,AllStates+Urban+edu_cat,NA,0,allindia,urban/rural,2023,Education,2023,NA,NA,NA,NA,NA,NA,India
9,below primary,0.024563124,0.441480279,0.430636168,0.03108234,0.312991887,0.251666009,0.435342103,0.480283916,0.154500157,0.466070533,0.379429311,AllStates+Urban+edu_cat,NA,1,allindia,urban/rural,2023,Education,2023,NA,NA,NA,NA,NA,NA,India
10,primary and middle,0.041261733,0.53088671,0.508981407,0.031677272,0.386994839,0.173204571,0.43980062,0.298367947,0.064498417,0.515433729,0.420067847,AllStates+Urban+edu_cat,NA,1,allindia,urban/rural,2023,Education,2023,NA,NA,NA,NA,NA,NA,India
11,secondary,0.050487187,0.401478589,0.381209075,0.028550413,0.455058724,0.077348642,0.467592627,0.187808022,0.047806967,0.626284957,0.325908095,AllStates+Urban+edu_cat,NA,1,allindia,urban/rural,2023,Education,2023,NA,NA,NA,NA,NA,NA,India
12,tertiary,0.118325926,0.646047354,0.569603205,0.032078493,0.687204897,0.009581312,0.303213805,0.367923737,0.020409025,0.78407073,0.195520237,AllStates+Urban+edu_cat,NA,1,allindia,urban/rural,2023,Education,2023,NA,NA,NA,NA,NA,NA,India
13,below primary,0.003707418,0.597768605,0.595552444,0.091877706,0.044161242,0.115712672,0.840126097,0.547590435,0.722609699,0.075334609,0.202055678,State+AllSectors+edu_cat,1,99,state,All,2023,Education,2023,NA,NA,NA,NA,NA,NA,Jammu and Kashmir
14,primary and middle,0.024037672,0.641173124,0.625760853,0.059415169,0.162051558,0.17847456,0.659473896,0.205854475,0.386677742,0.249340847,0.363981426,State+AllSectors+edu_cat,1,99,state,All,2023,Education,2023,NA,NA,NA,NA,NA,NA,Jammu and Kashmir
15,secondary,0.077274263,0.486256927,0.448681772,0.048208747,0.308700472,0.08920484,0.60209471,0.143266037,0.224139467,0.493144155,0.282716393,State+AllSectors+edu_cat,1,99,state,All,2023,Education,2023,NA,NA,NA,NA,NA,NA,Jammu and Kashmir
16,tertiary,0.263084888,0.739276409,0.54478395,0.027374808,0.685615361,0.007679573,0.306705058,0.395616919,0.075224563,0.789768636,0.135006785,State+AllSectors+edu_cat,1,99,state,All,2023,Education,2023,NA,NA,NA,NA,NA,NA,Jammu and Kashmir
17,below primary,0.006741632,0.545155287,0.541480064,0.144645438,0.089176446,0.116498061,0.794325471,0.60754478,0.721124351,0.088990644,0.18988502,State+AllSectors+edu_cat,2,99,state,All,2023,Education,2023,NA,NA,NA,NA,NA,NA,Himachal Pradesh
18,primary and middle,0.010985111,0.780351102,0.771778822,0.117131464,0.181843966,0.165008888,0.653147161,0.16946198,0.564996898,0.173180088,0.261823028,State+AllSectors+edu_cat,2,99,state,All,2023,Education,2023,NA,NA,NA,NA,NA,NA,Himachal Pradesh
19,secondary,0.05793054,0.655400634,0.617432892,0.109085158,0.254202545,0.105309062,0.640488386,0.123620689,0.477692366,0.282934517,0.239373133,State+AllSectors+edu_cat,2,99,state,All,2023,Education,2023,NA,NA,NA,NA,NA,NA,Himachal Pradesh
20,tertiary,0.235413805,0.762866616,0.583277285,0.105569482,0.479873389,0.013923345,0.506203234,0.408552527,0.33261928,0.490703553,0.176677153,State+AllSectors+edu_cat,2,99,state,All,2023,Education,2023,NA,NA,NA,NA,NA,NA,Himachal Pradesh
21,below primary,0.037116896,0.494372904,0.476023316,0.029043796,0.265425146,0.325781852,0.408793032,0.365234882,0.384400219,0.328677326,0.286922425,State+AllSectors+edu_cat,3,99,state,All,2023,Education,2023,NA,NA,NA,NA,NA,NA,Punjab
22,primary and middle,0.03474417,0.571298718,0.551449418,0.035670929,0.322532117,0.226872459,0.450595438,0.300606579,0.247020587,0.344592333,0.408387095,State+AllSectors+edu_cat,3,99,state,All,2023,Education,2023,NA,NA,NA,NA,NA,NA,Punjab
23,secondary,0.081015535,0.524744511,0.482232064,0.058248505,0.334974229,0.099169217,0.565856576,0.278695554,0.297539085,0.422501594,0.279959321,State+AllSectors+edu_cat,3,99,state,All,2023,Education,2023,NA,NA,NA,NA,NA,NA,Punjab
