,real_wage_23,nat_quint,year,level,area,dem,quint_label,SourceSheet,Year,sector,sec_quint,statename,state_quint,state_sec_quint,Group,sex_cat,youth_cat,cws_type,emp_type
1,10478.5,NA,2017,National,All,All,Total,nat_quint,2017,99,NA,India,NA,NA,Total,NA,NA,NA,NA
2,4027.21,1,2017,National,All,All,1,nat_quint,2017,99,NA,India,NA,NA,Total,NA,NA,NA,NA
3,7130.49,2,2017,National,All,All,2,nat_quint,2017,99,NA,India,NA,NA,Total,NA,NA,NA,NA
4,10482.6,3,2017,National,All,All,3,nat_quint,2017,99,NA,India,NA,NA,Total,NA,NA,NA,NA
5,14102.58,4,2017,National,All,All,4,nat_quint,2017,99,NA,India,NA,NA,Total,NA,NA,NA,NA
6,27802.52,5,2017,National,All,All,5,nat_quint,2017,99,NA,India,NA,NA,Total,NA,NA,NA,NA
7,NA,NA,2017,National,All,All,Total,nat_quint,2017,99,NA,India,NA,NA,Total,NA,NA,NA,NA
8,9096.2,NA,2017,National,urban/rural,All,Total,sec_quint,2017,0,NA,India,NA,NA,Total,NA,NA,NA,NA
9,14006.49,NA,2017,National,urban/rural,All,Total,sec_quint,2017,1,NA,India,NA,NA,Total,NA,NA,NA,NA
10,3597.96,NA,2017,National,urban/rural,All,1,sec_quint,2017,0,1,India,NA,NA,Total,NA,NA,NA,NA
11,6603.44,NA,2017,National,urban/rural,All,2,sec_quint,2017,0,2,India,NA,NA,Total,NA,NA,NA,NA
12,9101.6,NA,2017,National,urban/rural,All,3,sec_quint,2017,0,3,India,NA,NA,Total,NA,NA,NA,NA
13,12150.85,NA,2017,National,urban/rural,All,4,sec_quint,2017,0,4,India,NA,NA,Total,NA,NA,NA,NA
14,20164.75,NA,2017,National,urban/rural,All,5,sec_quint,2017,0,5,India,NA,NA,Total,NA,NA,NA,NA
15,NA,NA,2017,National,urban/rural,All,Total,sec_quint,2017,0,NA,India,NA,NA,Total,NA,NA,NA,NA
16,5494.46,NA,2017,National,urban/rural,All,1,sec_quint,2017,1,1,India,NA,NA,Total,NA,NA,NA,NA
17,10181.17,NA,2017,National,urban/rural,All,2,sec_quint,2017,1,2,India,NA,NA,Total,NA,NA,NA,NA
18,14017.11,NA,2017,National,urban/rural,All,3,sec_quint,2017,1,3,India,NA,NA,Total,NA,NA,NA,NA
19,21153.86,NA,2017,National,urban/rural,All,4,sec_quint,2017,1,4,India,NA,NA,Total,NA,NA,NA,NA
20,44086.56,NA,2017,National,urban/rural,All,5,sec_quint,2017,1,5,India,NA,NA,Total,NA,NA,NA,NA
21,NA,NA,2017,National,urban/rural,All,Total,sec_quint,2017,1,NA,India,NA,NA,Total,NA,NA,NA,NA
22,14641.28,NA,2017,State,All,All,Total,state_quint,2017,99,NA,Jammu and Kashmir,NA,NA,Total,NA,NA,NA,NA
23,10060.85,NA,2017,State,All,All,Total,state_quint,2017,99,NA,Himachal Pradesh,NA,NA,Total,NA,NA,NA,NA
24,13757.17,NA,2017,State,All,All,Total,state_quint,2017,99,NA,Punjab,NA,NA,Total,NA,NA,NA,NA
25,20711.84,NA,2017,State,All,All,Total,state_quint,2017,99,NA,Chandigarh,NA,NA,Total,NA,NA,NA,NA
26,14202.96,NA,2017,State,All,All,Total,state_quint,2017,99,NA,Uttarakhand,NA,NA,Total,NA,NA,NA,NA
27,15042.75,NA,2017,State,All,All,Total,state_quint,2017,99,NA,Haryana,NA,NA,Total,NA,NA,NA,NA
28,18784.35,NA,2017,State,All,All,Total,state_quint,2017,99,NA,Delhi,NA,NA,Total,NA,NA,NA,NA
29,10981.69,NA,2017,State,All,All,Total,state_quint,2017,99,NA,Rajasthan,NA,NA,Total,NA,NA,NA,NA
30,9204.17,NA,2017,State,All,All,Total,state_quint,2017,99,NA,Uttar Pradesh,NA,NA,Total,NA,NA,NA,NA
31,10785.3,NA,2017,State,All,All,Total,state_quint,2017,99,NA,Bihar,NA,NA,Total,NA,NA,NA,NA
32,12523.14,NA,2017,State,All,All,Total,state_quint,2017,99,NA,Sikkim,NA,NA,Total,NA,NA,NA,NA
