,urban,sector,sector_type,year,state,dem,working_age,age_cohort,edu_cat_1,edu_cat_2,edu_cat_3,edu_cat_4,edu_cat_female_1,edu_cat_female_2,edu_cat_female_3,edu_cat_female_4,edu_cat_male_1,edu_cat_male_2,edu_cat_male_3,edu_cat_male_4,vocat1,vocat1_female,vocat1_male
608,.,99,All,2023,Andaman and Nicobar Island,Working_Age,Below working age,NA,0.610453427,0.388011515,0.001535043,0,0.272070408,0.187927902,0.001535043,0,0.338383019,0.200083613,0,0,0,0,0
742,0,0,Rural,2023,Andaman and Nicobar Island,Working_Age,Below working age,NA,0.58313483,0.4168652,0,0,0.253264844,0.192786515,0,0,0.329869956,0.224078685,0,0,0,0,0
744,1,1,Urban,2023,Andaman and Nicobar Island,Working_Age,Below working age,NA,0.643997908,0.352582186,0.003419917,0,0.295161694,0.181962028,0.003419917,0,0.348836213,0.170620158,0,0,0,0,0
1469,.,99,All,2022,Andaman and Nicobar Island,Working_Age,Below working age,NA,0.657523274,0.342476726,0,0,0.300539047,0.178363115,0,0,0.356984198,0.164113626,0,0,0.010137795,0.008274476,0.001863318
1605,0,0,Rural,2022,Andaman and Nicobar Island,Working_Age,Below working age,NA,0.624322057,0.375677913,0,0,0.315104336,0.191495374,0,0,0.309217721,0.184182554,0,0,0.017169414,0.01401369,0.003155725
1607,1,1,Urban,2022,Andaman and Nicobar Island,Working_Age,Below working age,NA,0.705390871,0.294609129,0,0,0.279539615,0.159429759,0,0,0.425851256,0.135179371,0,0,0,0,0
2333,.,99,All,2021,Andaman and Nicobar Island,Working_Age,Below working age,NA,0.640435755,0.359564215,0,0,0.315322429,0.178084165,0,0,0.325113356,0.181480065,0,0,0,0,0
2469,0,0,Rural,2021,Andaman and Nicobar Island,Working_Age,Below working age,NA,0.646100104,0.353899926,0,0,0.298421621,0.182440922,0,0,0.347678483,0.171458989,0,0,0,0,0
2471,1,1,Urban,2021,Andaman and Nicobar Island,Working_Age,Below working age,NA,0.633551359,0.366448641,0,0,0.335863709,0.172788948,0,0,0.29768765,0.193659693,0,0,0,0,0
3197,.,99,All,2020,Andaman and Nicobar Island,Working_Age,Below working age,NA,0.66149801,0.331701607,0.006800424,0,0.295464098,0.168007702,0.005462403,0,0.366033882,0.16369389,0.001338021,0,0,0,0
3333,0,0,Rural,2020,Andaman and Nicobar Island,Working_Age,Below working age,NA,0.622685492,0.377314538,0,0,0.26389721,0.208051652,0,0,0.358788252,0.169262886,0,0,0,0,0
3335,1,1,Urban,2020,Andaman and Nicobar Island,Working_Age,Below working age,NA,0.715707004,0.267994463,0.016298506,0,0.339553267,0.112078711,0.013091685,0,0.376153767,0.155915752,0.003206821,0,0,0,0
4061,.,99,All,2019,Andaman and Nicobar Island,Working_Age,Below working age,NA,0.705710888,0.294289112,0,0,0.355859011,0.139364526,0,0,0.349851876,0.154924572,0,0,0.00274233,0.00274233,0
4197,0,0,Rural,2019,Andaman and Nicobar Island,Working_Age,Below working age,NA,0.710004628,0.289995372,0,0,0.371751428,0.143499985,0,0,0.3382532,0.146495387,0,0,0,0,0
4199,1,1,Urban,2019,Andaman and Nicobar Island,Working_Age,Below working age,NA,0.69953239,0.300467581,0,0,0.332990497,0.133413762,0,0,0.366541892,0.167053819,0,0,0.006688423,0.006688423,0
4925,.,99,All,2018,Andaman and Nicobar Island,Working_Age,Below working age,NA,0.691721201,0.306482941,0.001795884,0,0.363531709,0.132089913,0.001795884,0,0.328189492,0.174393013,0,0,0,0,0
5061,0,0,Rural,2018,Andaman and Nicobar Island,Working_Age,Below working age,NA,0.7047472,0.2952528,0,0,0.387252748,0.143577009,0,0,0.317494482,0.151675791,0,0,0,0,0
5063,1,1,Urban,2018,Andaman and Nicobar Island,Working_Age,Below working age,NA,0.671207309,0.324168593,0.004624114,0,0.326174885,0.113999583,0.004624114,0,0.345032394,0.210169002,0,0,0,0,0
5789,.,99,All,2017,Andaman and Nicobar Island,Working_Age,Below working age,NA,0.708160102,0.290075392,0.000486845,0.001277689,0.340631664,0.167393297,0.000486845,0,0.367528439,0.122682087,0,0.001277689,0.001277689,0,0.001277689
5925,0,0,Rural,2017,Andaman and Nicobar Island,Working_Age,Below working age,NA,0.704453945,0.295546055,0,0,0.349508196,0.179363653,0,0,0.354945749,0.116182409,0,0,0,0,0
5927,1,1,Urban,2017,Andaman and Nicobar Island,Working_Age,Below working age,NA,0.713435411,0.282288432,0.001179818,0.003096348,0.32799682,0.150354728,0.001179818,0,0.385438561,0.131933704,0,0.003096348,0.003096348,0,0.003096348
594,.,99,All,2023,Andhra Pradesh,Working_Age,Below working age,NA,0.624998808,0.372497708,0.002503478,0,0.289800733,0.187671036,0.001944508,0,0.335198075,0.184826672,0.00055897,0,0,0,0
714,0,0,Rural,2023,Andhra Pradesh,Working_Age,Below working age,NA,0.624842644,0.372236669,0.002920702,0,0.280228019,0.186497062,0.002568922,0,0.344614625,0.185739592,0.000351781,0,0,0,0
716,1,1,Urban,2023,Andhra Pradesh,Working_Age,Below working age,NA,0.625416279,0.373195678,0.001388018,0,0.315393686,0.190809727,0.00027512,0,0.310022622,0.182385951,0.001112897,0,0,0,0
1455,.,99,All,2022,Andhra Pradesh,Working_Age,Below working age,NA,0.648684442,0.351211578,0.000103961,0,0.314671069,0.171564072,0.000103961,0,0.334013373,0.17964752,0,0,0.000465904,0.000465904,0
1577,0,0,Rural,2022,Andhra Pradesh,Working_Age,Below working age,NA,0.653405607,0.346594393,0,0,0.320798337,0.176405892,0,0,0.332607269,0.170188501,0,0,0.000650593,0.000650593,0
1579,1,1,Urban,2022,Andhra Pradesh,Working_Age,Below working age,NA,0.636774719,0.36285907,0.000366215,0,0.299214274,0.159349933,0.000366215,0,0.337560445,0.203509137,0,0,0,0,0
2319,.,99,All,2021,Andhra Pradesh,Working_Age,Below working age,NA,0.681422353,0.318244725,0.000332887,0,0.34090811,0.166777417,0.000116634,0,0.340514272,0.151467308,0.000216253,0,0.000934611,0.000528173,0.000406438
2441,0,0,Rural,2021,Andhra Pradesh,Working_Age,Below working age,NA,0.682324052,0.317675948,0,0,0.349979877,0.158936456,0,0,0.332344145,0.158739492,0,0,0.001389062,0.000784995,0.000604067
2443,1,1,Urban,2021,Andhra Pradesh,Working_Age,Below working age,NA,0.679568052,0.319414467,0.001017492,0,0.322251379,0.182902902,0.000356499,0,0.357316673,0.136511549,0.000660993,0,0,0,0
3183,.,99,All,2020,Andhra Pradesh,Working_Age,Below working age,NA,0.672123075,0.326140046,0.001736914,0,0.319470733,0.158019125,0.001736914,0,0.352652341,0.168120921,0,0,0.001207221,0.00087441,0.00033281
3305,0,0,Rural,2020,Andhra Pradesh,Working_Age,Below working age,NA,0.666763365,0.331594735,0.001641888,0,0.32251367,0.167089432,0.001641888,0,0.344249725,0.164505303,0,0,0.000503055,0,0.000503055
3307,1,1,Urban,2020,Andhra Pradesh,Working_Age,Below working age,NA,0.682600617,0.315476686,0.00192268,0,0.313522071,0.140287623,0.00192268,0,0.369078547,0.175189063,0,0,0.00258379,0.00258379,0
4047,.,99,All,2019,Andhra Pradesh,Working_Age,Below working age,NA,0.682842791,0.31465295,0.002504263,0,0.31580475,0.164058983,0.001946393,0,0.367038041,0.150593966,0.00055787,0,0.002130919,0.002130919,0
4169,0,0,Rural,2019,Andhra Pradesh,Working_Age,Below working age,NA,0.684682786,0.312134147,0.003183086,0,0.309824944,0.161647111,0.002392091,0,0.374857843,0.150487036,0.000790995,0,0.003145234,0.003145234,0
4171,1,1,Urban,2019,Andhra Pradesh,Working_Age,Below working age,NA,0.678977251,0.31994459,0.001078162,0,0.328367412,0.169125959,0.001010051,0,0.350609869,0.150818616,6.81E-05,0,0,0,0
4911,.,99,All,2018,Andhra Pradesh,Working_Age,Below working age,NA,0.703987539,0.293951422,0.002061014,0,0.336896956,0.14039886,0.001249477,0,0.367090613,0.153552562,0.000811537,0,0.003099306,0.002503932,0.000595374
5033,0,0,Rural,2018,Andhra Pradesh,Working_Age,Below working age,NA,0.708333075,0.289115995,0.002550955,0,0.352032572,0.131356657,0.001602602,0,0.356300503,0.157759324,0.000948353,0,0.004544931,0.003671855,0.000873077
5035,1,1,Urban,2018,Andhra Pradesh,Working_Age,Below working age,NA,0.694671154,0.304318219,0.001010618,0,0.304447412,0.159784615,0.000492405,0,0.390223771,0.144533604,0.000518213,0,0,0,0
5775,.,99,All,2017,Andhra Pradesh,Working_Age,Below working age,NA,0.709928155,0.28894186,0.00113,0,0.315125227,0.140629306,0.000488662,0,0.394782662,0.148304939,0.000641305,0,0.001135235,0.000828968,0.000306267
5897,0,0,Rural,2017,Andhra Pradesh,Working_Age,Below working age,NA,0.714785337,0.283953309,0.001261338,0,0.322920829,0.154248774,0.000362603,0,0.391833633,0.129694313,0.000898663,0,0,0,0
5899,1,1,Urban,2017,Andhra Pradesh,Working_Age,Below working age,NA,0.700890243,0.298224151,0.000885616,0,0.300619781,0.115287207,0.000723223,0,0.400270462,0.182936952,0.000162393,0,0.003247763,0.002371572,0.000876191
564,.,99,All,2023,Arunachal Pradesh,Working_Age,Below working age,NA,0.670626402,0.329373568,0,0,0.309974998,0.166587099,0,0,0.360651433,0.162786484,0,0,0.002096839,0.000807398,0.001289441
654,0,0,Rural,2023,Arunachal Pradesh,Working_Age,Below working age,NA,0.668090522,0.331909448,0,0,0.299936503,0.169425637,0,0,0.368154049,0.162483811,0,0,0.002517716,0.000969459,0.001548258
656,1,1,Urban,2023,Arunachal Pradesh,Working_Age,Below working age,NA,0.683260262,0.316739738,0,0,0.359987438,0.152445361,0,0,0.323272824,0.164294377,0,0,0,0,0
1425,.,99,All,2022,Arunachal Pradesh,Working_Age,Below working age,NA,0.698805809,0.301194191,0,0,0.37080121,0.15132454,0,0,0.328004599,0.149869666,0,0,0.001908293,0,0.001908293
1517,0,0,Rural,2022,Arunachal Pradesh,Working_Age,Below working age,NA,0.69651866,0.30348137,0,0,0.377046496,0.152469933,0,0,0.319472164,0.151011437,0,0,0.002218663,0,0.002218663
1519,1,1,Urban,2022,Arunachal Pradesh,Working_Age,Below working age,NA,0.712868273,0.287131697,0,0,0.332402587,0.144282132,0,0,0.380465716,0.142849565,0,0,0,0,0
2289,.,99,All,2021,Arunachal Pradesh,Working_Age,Below working age,NA,0.671603382,0.328396618,0,0,0.333994478,0.179187581,0,0,0.337608874,0.149209052,0,0,0,0,0
2381,0,0,Rural,2021,Arunachal Pradesh,Working_Age,Below working age,NA,0.677160561,0.322839439,0,0,0.33809492,0.173200011,0,0,0.339065641,0.149639428,0,0,0,0,0
2383,1,1,Urban,2021,Arunachal Pradesh,Working_Age,Below working age,NA,0.643721282,0.356278718,0,0,0.313421458,0.209228963,0,0,0.330299824,0.147049755,0,0,0,0,0
3153,.,99,All,2020,Arunachal Pradesh,Working_Age,Below working age,NA,0.674527764,0.324580282,0.000891944,0,0.312876314,0.161925718,0,0,0.36165148,0.162654564,0.000891944,0,0,0,0
3245,0,0,Rural,2020,Arunachal Pradesh,Working_Age,Below working age,NA,0.674491048,0.324429989,0.001078974,0,0.310982287,0.158952177,0,0,0.363508731,0.165477827,0.001078974,0,0,0,0
3247,1,1,Urban,2020,Arunachal Pradesh,Working_Age,Below working age,NA,0.674703002,0.325297028,0,0,0.321908802,0.176106602,0,0,0.35279417,0.149190411,0,0,0,0,0
4017,.,99,All,2019,Arunachal Pradesh,Working_Age,Below working age,NA,0.616333783,0.383000135,0.000666069,0,0.303558916,0.196954295,0.00066583,0,0.312666297,0.185975403,0,0,0.000272414,0.000272414,0
4109,0,0,Rural,2019,Arunachal Pradesh,Working_Age,Below working age,NA,0.606915951,0.392228395,0.000855659,0,0.303496957,0.209181875,0.000855659,0,0.303419024,0.183046505,0,0,0,0,0
4111,1,1,Urban,2019,Arunachal Pradesh,Working_Age,Below working age,NA,0.64942044,0.35057953,0,0,0.303776324,0.154065639,0,0,0.345153749,0.196265206,0,0,0.001227916,0.001227916,0
4881,.,99,All,2018,Arunachal Pradesh,Working_Age,Below working age,NA,0.566326022,0.432829887,0.000844077,0,0.261964619,0.211682573,0.000798656,0,0.304005504,0.220888719,4.54E-05,0,0,0,0
4973,0,0,Rural,2018,Arunachal Pradesh,Working_Age,Below working age,NA,0.554026008,0.445326835,0.000647131,0,0.250512809,0.216176823,0.000592123,0,0.303322971,0.229006365,5.50E-05,0,0,0,0
