,X,real_wage_23,nat_quint,year,level,area,dem,quint_label,SourceSheet,Year,urban,sec_quint,statename,state_quint,state_sec_quint,Group,sex_cat,youth_cat,cws_type,emp_type
1,1,10478.49609,NA,2017,National,All,All Households,Total,nat_quint,2017,99,NA,allindia,NA,NA,Total,NA,NA,NA,NA
2,2,4027.205322,1,2017,National,All,All Households,1,nat_quint,2017,99,NA,allindia,NA,NA,Total,NA,NA,NA,NA
3,3,7130.493164,2,2017,National,All,All Households,2,nat_quint,2017,99,NA,allindia,NA,NA,Total,NA,NA,NA,NA
4,4,10482.59668,3,2017,National,All,All Households,3,nat_quint,2017,99,NA,allindia,NA,NA,Total,NA,NA,NA,NA
5,5,14102.57617,4,2017,National,All,All Households,4,nat_quint,2017,99,NA,allindia,NA,NA,Total,NA,NA,NA,NA
6,6,27802.52148,5,2017,National,All,All Households,5,nat_quint,2017,99,NA,allindia,NA,NA,Total,NA,NA,NA,NA
7,7,NA,NA,2017,National,All,All Households,Total,nat_quint,2017,99,NA,allindia,NA,NA,Total,NA,NA,NA,NA
8,8,9096.197266,NA,2017,National,urban/rural,All Households,Total,sec_quint,2017,0,NA,allindia,NA,NA,Total,NA,NA,NA,NA
9,9,14006.49414,NA,2017,National,urban/rural,All Households,Total,sec_quint,2017,1,NA,allindia,NA,NA,Total,NA,NA,NA,NA
10,10,3597.961182,NA,2017,National,urban/rural,All Households,1,sec_quint,2017,0,1,allindia,NA,NA,Total,NA,NA,NA,NA
11,11,6603.44043,NA,2017,National,urban/rural,All Households,2,sec_quint,2017,0,2,allindia,NA,NA,Total,NA,NA,NA,NA
12,12,9101.602539,NA,2017,National,urban/rural,All Households,3,sec_quint,2017,0,3,allindia,NA,NA,Total,NA,NA,NA,NA
13,13,12150.85059,NA,2017,National,urban/rural,All Households,4,sec_quint,2017,0,4,allindia,NA,NA,Total,NA,NA,NA,NA
14,14,20164.75195,NA,2017,National,urban/rural,All Households,5,sec_quint,2017,0,5,allindia,NA,NA,Total,NA,NA,NA,NA
15,15,NA,NA,2017,National,urban/rural,All Households,Total,sec_quint,2017,0,NA,allindia,NA,NA,Total,NA,NA,NA,NA
16,16,5494.456055,NA,2017,National,urban/rural,All Households,1,sec_quint,2017,1,1,allindia,NA,NA,Total,NA,NA,NA,NA
17,17,10181.16992,NA,2017,National,urban/rural,All Households,2,sec_quint,2017,1,2,allindia,NA,NA,Total,NA,NA,NA,NA
18,18,14017.10645,NA,2017,National,urban/rural,All Households,3,sec_quint,2017,1,3,allindia,NA,NA,Total,NA,NA,NA,NA
19,19,21153.86328,NA,2017,National,urban/rural,All Households,4,sec_quint,2017,1,4,allindia,NA,NA,Total,NA,NA,NA,NA
20,20,44086.5625,NA,2017,National,urban/rural,All Households,5,sec_quint,2017,1,5,allindia,NA,NA,Total,NA,NA,NA,NA
21,21,NA,NA,2017,National,urban/rural,All Households,Total,sec_quint,2017,1,NA,allindia,NA,NA,Total,NA,NA,NA,NA
22,22,14641.2793,NA,2017,State,All,All Households,Total,state_quint,2017,99,NA,Jammu & Kashmir,NA,NA,Total,NA,NA,NA,NA
23,23,10060.84668,NA,2017,State,All,All Households,Total,state_quint,2017,99,NA,Himachal Pradesh,NA,NA,Total,NA,NA,NA,NA
24,24,13757.16797,NA,2017,State,All,All Households,Total,state_quint,2017,99,NA,Punjab,NA,NA,Total,NA,NA,NA,NA
25,25,20711.84375,NA,2017,State,All,All Households,Total,state_quint,2017,99,NA,Chandigarh,NA,NA,Total,NA,NA,NA,NA
26,26,14202.95508,NA,2017,State,All,All Households,Total,state_quint,2017,99,NA,Uttrakhand,NA,NA,Total,NA,NA,NA,NA
27,27,15042.74707,NA,2017,State,All,All Households,Total,state_quint,2017,99,NA,Haryana,NA,NA,Total,NA,NA,NA,NA
28,28,18784.34766,NA,2017,State,All,All Households,Total,state_quint,2017,99,NA,Delhi,NA,NA,Total,NA,NA,NA,NA
29,29,10981.68652,NA,2017,State,All,All Households,Total,state_quint,2017,99,NA,Rajasthan,NA,NA,Total,NA,NA,NA,NA
30,30,9204.174805,NA,2017,State,All,All Households,Total,state_quint,2017,99,NA,Uttar Pradesh,NA,NA,Total,NA,NA,NA,NA
31,31,10785.30469,NA,2017,State,All,All Households,Total,state_quint,2017,99,NA,Bihar,NA,NA,Total,NA,NA,NA,NA
32,32,12523.13574,NA,2017,State,All,All Households,Total,state_quint,2017,99,NA,Sikkim,NA,NA,Total,NA,NA,NA,NA
33,33,15929.10938,NA,2017,State,All,All Households,Total,state_quint,2017,99,NA,Arunachal Pradesh,NA,NA,Total,NA,NA,NA,NA
34,34,13300.86133,NA,2017,State,All,All Households,Total,state_quint,2017,99,NA,Nagaland,NA,NA,Total,NA,NA,NA,NA
35,35,11878.56348,NA,2017,State,All,All Households,Total,state_quint,2017,99,NA,Manipur,NA,NA,Total,NA,NA,NA,NA
36,36,14546.05371,NA,2017,State,All,All Households,Total,state_quint,2017,99,NA,Mizoram,NA,NA,Total,NA,NA,NA,NA
37,37,10427.28613,NA,2017,State,All,All Households,Total,state_quint,2017,99,NA,Tripura,NA,NA,Total,NA,NA,NA,NA
38,38,11403.74707,NA,2017,State,All,All Households,Total,state_quint,2017,99,NA,Meghalaya,NA,NA,Total,NA,NA,NA,NA
39,39,11177.06152,NA,2017,State,All,All Households,Total,state_quint,2017,99,NA,Assam,NA,NA,Total,NA,NA,NA,NA
40,40,7571.969727,NA,2017,State,All,All Households,Total,state_quint,2017,99,NA,West Bengal,NA,NA,Total,NA,NA,NA,NA
41,41,8003.10791,NA,2017,State,All,All Households,Total,state_quint,2017,99,NA,Jharkhand,NA,NA,Total,NA,NA,NA,NA
42,42,7346.581055,NA,2017,State,All,All Households,Total,state_quint,2017,99,NA,Odisha,NA,NA,Total,NA,NA,NA,NA
43,43,6716.79248,NA,2017,State,All,All Households,Total,state_quint,2017,99,NA,Chhattisgarh,NA,NA,Total,NA,NA,NA,NA
44,44,8395.243164,NA,2017,State,All,All Households,Total,state_quint,2017,99,NA,Madhya Pradesh,NA,NA,Total,NA,NA,NA,NA
45,45,11636.84277,NA,2017,State,All,All Households,Total,state_quint,2017,99,NA,Gujarat,NA,NA,Total,NA,NA,NA,NA
46,46,13935.17188,NA,2017,State,All,All Households,Total,state_quint,2017,99,NA,Daman & Diu,NA,NA,Total,NA,NA,NA,NA
47,47,11377.4502,NA,2017,State,All,All Households,Total,state_quint,2017,99,NA,Maharashtra,NA,NA,Total,NA,NA,NA,NA
48,48,9947.564453,NA,2017,State,All,All Households,Total,state_quint,2017,99,NA,Andhra Pradesh,NA,NA,Total,NA,NA,NA,NA
49,49,11394.18359,NA,2017,State,All,All Households,Total,state_quint,2017,99,NA,Karnataka,NA,NA,Total,NA,NA,NA,NA
