,m_poor_1_33,m_poor_1_50,round,level,area,dem,SourceSheet,sector,StateName,head_age_cat,edu_group,head_gender,hhsize_cat,own_house,agri_land
1,0.161018878,0.035527941,5,National,All,All Households,allindia,99,India,NA,NA,NA,NA,NA,NA
2,0.214074761,0.048405088,5,National,urban/rural,All Households,indiasector,0,India,NA,NA,NA,NA,NA,NA
3,0.049620278,0.008490486,5,National,urban/rural,All Households,indiasector,1,India,NA,NA,NA,NA,NA,NA
4,0.041076571,0.004666021,5,State,All,All Households,state,99,Andaman & Nicobar Islands,NA,NA,NA,NA,NA,NA
5,0.080530964,0.008518416,5,State,All,All Households,state,99,Andhra Pradesh,NA,NA,NA,NA,NA,NA
6,0.141330704,0.022737568,5,State,All,All Households,state,99,Arunachal Pradesh,NA,NA,NA,NA,NA,NA
7,0.21234639,0.049218521,5,State,All,All Households,state,99,Assam,NA,NA,NA,NA,NA,NA
8,0.349383712,0.118618809,5,State,All,All Households,state,99,Bihar,NA,NA,NA,NA,NA,NA
9,0.034547728,0.007141045,5,State,All,All Households,state,99,Chandigarh,NA,NA,NA,NA,NA,NA
10,0.200738326,0.035201266,5,State,All,All Households,state,99,Chhattisgarh,NA,NA,NA,NA,NA,NA
11,0.119887948,0.018743934,5,State,All,All Households,state,99,Dadra & Nagar Haveli and Daman & Diu,NA,NA,NA,NA,NA,NA
12,0.029637177,0.004044925,5,State,All,All Households,state,99,Delhi,NA,NA,NA,NA,NA,NA
13,0.015506836,0.000750042,5,State,All,All Households,state,99,Goa,NA,NA,NA,NA,NA,NA
14,0.137550399,0.02477378,5,State,All,All Households,state,99,Gujarat,NA,NA,NA,NA,NA,NA
15,0.069026016,0.013832758,5,State,All,All Households,state,99,Haryana,NA,NA,NA,NA,NA,NA
16,0.053769965,0.0051575,5,State,All,All Households,state,99,Himachal Pradesh,NA,NA,NA,NA,NA,NA
17,0.060706899,0.009221769,5,State,All,All Households,state,99,Jammu & Kashmir,NA,NA,NA,NA,NA,NA
18,0.304242164,0.083474107,5,State,All,All Households,state,99,Jharkhand,NA,NA,NA,NA,NA,NA
19,0.083804026,0.010540131,5,State,All,All Households,state,99,Karnataka,NA,NA,NA,NA,NA,NA
20,0.011185979,0.000397186,5,State,All,All Households,state,99,Kerala,NA,NA,NA,NA,NA,NA
21,0.065926485,0.00758086,5,State,All,All Households,state,99,Ladakh,NA,NA,NA,NA,NA,NA
22,0.006942678,0,5,State,All,All Households,state,99,Lakshadweep,NA,NA,NA,NA,NA,NA
23,0.252228141,0.048074726,5,State,All,All Households,state,99,Madhya Pradesh,NA,NA,NA,NA,NA,NA
24,0.09519092,0.012465035,5,State,All,All Households,state,99,Maharashtra,NA,NA,NA,NA,NA,NA
25,0.104227789,0.012774332,5,State,All,All Households,state,99,Manipur,NA,NA,NA,NA,NA,NA
26,0.248457044,0.085900024,5,State,All,All Households,state,99,Meghalaya,NA,NA,NA,NA,NA,NA
