,m_poor_1_33,g01_edu_1,g01_atten_1,g01_cm_1,g01_nutri_1,g01_elec_1,g01_toilet_1,g01_water_1,g01_house_1,g01_fuel_1,g01_asset_1,round,level,area,dem,SourceSheet,sector,StateName,head_age_cat,edu_group,head_gender,hhsize_cat,own_house,agri_land
1,0,0.080363989,0.011840951,0.006016074,0.183452651,0.01484053,0.233624324,0.055133253,0.317507118,0.327848136,0.072743125,5,National,All,All Households,allindia,99,India,NA,NA,NA,NA,NA,NA
2,1,0.590242743,0.170895681,0.071196854,0.589806557,0.14153263,0.708801925,0.164108709,0.836704254,0.849601209,0.440875053,5,National,All,All Households,allindia,99,India,NA,NA,NA,NA,NA,NA
3,0,0.092786252,0.012097514,0.006403968,0.197265625,0.020509075,0.267926872,0.07261809,0.424166948,0.47317332,0.088086262,5,National,urban/rural,All Households,indiasector,0,India,NA,NA,NA,NA,NA,NA
4,1,0.584313095,0.161249265,0.066791654,0.586826503,0.14441219,0.719217241,0.172036067,0.864771008,0.884231567,0.446470797,5,National,urban/rural,All Households,indiasector,0,India,NA,NA,NA,NA,NA,NA
5,0,0.058794938,0.011395474,0.005342566,0.159468904,0.004998113,0.17406407,0.024773953,0.132311404,0.075516887,0.046102505,5,National,urban/rural,All Households,indiasector,1,India,NA,NA,NA,NA,NA,NA
6,1,0.643956363,0.258277059,0.111100979,0.616801202,0.115448311,0.614455462,0.092299491,0.582463562,0.535905182,0.390186399,5,National,urban/rural,All Households,indiasector,1,India,NA,NA,NA,NA,NA,NA
7,0,0.079145767,0.003258964,0.006747731,0.105430156,0.011800437,0.103293851,0.03609411,0.275582016,0.128653675,0.065303259,5,State,All,All Households,state,99,Andaman & Nicobar Islands,NA,NA,NA,NA,NA,NA
8,1,0.59521693,0.047108315,0.032448675,0.388645083,0.348745108,0.640990317,0.320439935,0.852068245,0.77874434,0.726474404,5,State,All,All Households,state,99,Andaman & Nicobar Islands,NA,NA,NA,NA,NA,NA
9,0,0.194133967,0.005342667,0.005096208,0.144621253,0.003725682,0.194218352,0.073929556,0.122062348,0.119018421,0.085622698,5,State,All,All Households,state,99,Andhra Pradesh,NA,NA,NA,NA,NA,NA
10,1,0.780644,0.060709439,0.061309703,0.516144276,0.069792964,0.675920963,0.24682568,0.520305753,0.598266244,0.544976354,5,State,All,All Households,state,99,Andhra Pradesh,NA,NA,NA,NA,NA,NA
11,0,0.097200759,0.01872709,0.004890257,0.096090369,0.035129078,0.139522448,0.042014275,0.700155377,0.402489126,0.098690882,5,State,All,All Households,state,99,Arunachal Pradesh,NA,NA,NA,NA,NA,NA
12,1,0.753614902,0.166302413,0.040257107,0.365359366,0.160637885,0.403853953,0.171875864,0.964654207,0.860061169,0.600159585,5,State,All,All Households,state,99,Arunachal Pradesh,NA,NA,NA,NA,NA,NA
13,0,0.046877034,0.008375669,0.005185089,0.174921528,0.033106547,0.248324081,0.112334095,0.6119259,0.48192364,0.092188857,5,State,All,All Households,state,99,Assam,NA,NA,NA,NA,NA,NA
14,1,0.536124825,0.125071958,0.055014763,0.632227123,0.220810771,0.624725521,0.271547049,0.956890166,0.879980505,0.472082615,5,State,All,All Households,state,99,Assam,NA,NA,NA,NA,NA,NA
15,0,0.070490755,0.016478216,0.009368277,0.204585522,0.016763769,0.370675862,0.011148863,0.526528656,0.48388809,0.123306625,5,State,All,All Households,state,99,Bihar,NA,NA,NA,NA,NA,NA
16,1,0.65156281,0.204753071,0.083395652,0.615905344,0.09205275,0.821127057,0.028306764,0.911085844,0.877218127,0.467514545,5,State,All,All Households,state,99,Bihar,NA,NA,NA,NA,NA,NA
