State,Code,Indicator,Year,Value
Andhra Pradesh,total_rev_gdp,Total revenues,1990,21.16
Andhra Pradesh,cur_rev_gdp,Current revenues,1990,20.93
Andhra Pradesh,tax_rev_gdp,Tax revenues,1990,14.85
Andhra Pradesh,own_tax_gdp,State's own tax revenues,1990,10.36
Andhra Pradesh,inc_tax_gdp,Taxes on Income,1990,0.11
Andhra Pradesh,prop_tax_gdp,Taxes on Property and Capital,1990,0.7
Andhra Pradesh,comm_tax_gdp,Taxes on Commodities and Services,1990,9.55
Andhra Pradesh,central_share_gdp,Share in central government tax,1990,4.49
Andhra Pradesh,nontax_gdp,Non-tax revenues,1990,6.08
Andhra Pradesh,own_nontax_gdp,State's Own Non-Tax Revenue,1990,3.04
Andhra Pradesh,grants_gdp,Grants from the Centre,1990,3.04
Andhra Pradesh,loan_rec_gdp,Recovery of loans and advances,1990,0.23
Andhra Pradesh,misc_cap_gdp,Miscellaneous capital receipts,1990,0.0
Andhra Pradesh,cur_rev_total,Current revenues,1990,98.9
Andhra Pradesh,tax_rev_total,Tax revenues,1990,70.18
Andhra Pradesh,own_tax_total,State's own tax revenues,1990,48.96
Andhra Pradesh,inc_tax_total,Taxes on Income,1990,0.51
Andhra Pradesh,prop_tax_total,Taxes on Property and Capital,1990,3.33
Andhra Pradesh,comm_tax_total,Taxes on Commodities and Services,1990,45.12
Andhra Pradesh,central_share_total,Share in central government tax,1990,21.22
Andhra Pradesh,nontax_total,Non-tax revenues,1990,28.72
Andhra Pradesh,own_nontax_total,State's Own Non-Tax Revenue,1990,14.36
Andhra Pradesh,grants_total,Grants from the Centre,1990,14.36
Andhra Pradesh,loan_rec_total,Recovery of loans and advances,1990,1.1
Andhra Pradesh,misc_cap_total,Miscellaneous capital receipts,1990,0.0
Andhra Pradesh,inc_tax_taxrev,Taxes on Income,1990,0.73
Andhra Pradesh,prop_tax_taxrev,Taxes on Property and Capital,1990,4.74
Andhra Pradesh,nontax_taxrev,Non-tax revenues,1990,40.93
Andhra Pradesh,own_nontax_taxrev,State's Own Non-Tax Revenue,1990,20.47
Andhra Pradesh,total_rev_gdp,Total revenues,1991,20.76
Andhra Pradesh,cur_rev_gdp,Current revenues,1991,20.39
Andhra Pradesh,tax_rev_gdp,Tax revenues,1991,14.12
Andhra Pradesh,own_tax_gdp,State's own tax revenues,1991,9.92
Andhra Pradesh,inc_tax_gdp,Taxes on Income,1991,0.1
Andhra Pradesh,prop_tax_gdp,Taxes on Property and Capital,1991,0.66
Andhra Pradesh,comm_tax_gdp,Taxes on Commodities and Services,1991,9.15
Andhra Pradesh,central_share_gdp,Share in central government tax,1991,4.21
Andhra Pradesh,nontax_gdp,Non-tax revenues,1991,6.27
Andhra Pradesh,own_nontax_gdp,State's Own Non-Tax Revenue,1991,3.18
Andhra Pradesh,grants_gdp,Grants from the Centre,1991,3.08
Andhra Pradesh,loan_rec_gdp,Recovery of loans and advances,1991,0.37
Andhra Pradesh,misc_cap_gdp,Miscellaneous capital receipts,1991,0.0
Andhra Pradesh,cur_rev_total,Current revenues,1991,98.23
Andhra Pradesh,tax_rev_total,Tax revenues,1991,68.04
Andhra Pradesh,own_tax_total,State's own tax revenues,1991,47.77
Andhra Pradesh,inc_tax_total,Taxes on Income,1991,0.49
Andhra Pradesh,prop_tax_total,Taxes on Property and Capital,1991,3.19
Andhra Pradesh,comm_tax_total,Taxes on Commodities and Services,1991,44.09
Andhra Pradesh,central_share_total,Share in central government tax,1991,20.27
Andhra Pradesh,nontax_total,Non-tax revenues,1991,30.19
Andhra Pradesh,own_nontax_total,State's Own Non-Tax Revenue,1991,15.33
Andhra Pradesh,grants_total,Grants from the Centre,1991,14.86
Andhra Pradesh,loan_rec_total,Recovery of loans and advances,1991,1.77
Andhra Pradesh,misc_cap_total,Miscellaneous capital receipts,1991,0.0
Andhra Pradesh,inc_tax_taxrev,Taxes on Income,1991,0.72
Andhra Pradesh,prop_tax_taxrev,Taxes on Property and Capital,1991,4.68
Andhra Pradesh,nontax_taxrev,Non-tax revenues,1991,44.37
Andhra Pradesh,own_nontax_taxrev,State's Own Non-Tax Revenue,1991,22.54
Andhra Pradesh,total_rev_gdp,Total revenues,1992,21.95
Andhra Pradesh,cur_rev_gdp,Current revenues,1992,21.67
Andhra Pradesh,tax_rev_gdp,Tax revenues,1992,15.14
Andhra Pradesh,own_tax_gdp,State's own tax revenues,1992,10.39
Andhra Pradesh,inc_tax_gdp,Taxes on Income,1992,0.1
Andhra Pradesh,prop_tax_gdp,Taxes on Property and Capital,1992,0.76
Andhra Pradesh,comm_tax_gdp,Taxes on Commodities and Services,1992,9.53
Andhra Pradesh,central_share_gdp,Share in central government tax,1992,4.74
Andhra Pradesh,nontax_gdp,Non-tax revenues,1992,6.54
Andhra Pradesh,own_nontax_gdp,State's Own Non-Tax Revenue,1992,3.31
Andhra Pradesh,grants_gdp,Grants from the Centre,1992,3.23
Andhra Pradesh,loan_rec_gdp,Recovery of loans and advances,1992,0.28
Andhra Pradesh,misc_cap_gdp,Miscellaneous capital receipts,1992,0.0
Andhra Pradesh,cur_rev_total,Current revenues,1992,98.73
Andhra Pradesh,tax_rev_total,Tax revenues,1992,68.95
Andhra Pradesh,own_tax_total,State's own tax revenues,1992,47.35
Andhra Pradesh,inc_tax_total,Taxes on Income,1992,0.47
Andhra Pradesh,prop_tax_total,Taxes on Property and Capital,1992,3.47
Andhra Pradesh,comm_tax_total,Taxes on Commodities and Services,1992,43.4
Andhra Pradesh,central_share_total,Share in central government tax,1992,21.6
Andhra Pradesh,nontax_total,Non-tax revenues,1992,29.78
Andhra Pradesh,own_nontax_total,State's Own Non-Tax Revenue,1992,15.07
Andhra Pradesh,grants_total,Grants from the Centre,1992,14.71
Andhra Pradesh,loan_rec_total,Recovery of loans and advances,1992,1.27
