group,year,sector,state,state_sec_quint,state_quint,sec_quint,nat_quint,Quintile_Overall,food_pds_subs,kerosene_pds_subs,food_pds_free,gov_school_free,pvt_school_free,lpg_subs,elec_free,fees_waived,pmjay_ben,pmjay_ben_avail,durables_free,laptop2,tablet2,mobile2,bicycle2,other_items2,books,stationary,schoolbag,clothing,footwear,type,level
sector,2011,urban,,,,,,99,0.53,0.78,,,,,,,,,,,,,,,,,,,,,
sector_sec_quint,2011,urban,,,,1,,1,1,1,,,,,,,,,,,,,,,,,,,,,
sector_sec_quint,2011,urban,,,,2,,2,1,1,,,,,,,,,,,,,,,,,,,,,
sector_sec_quint,2011,urban,,,,3,,3,1,1,,,,,,,,,,,,,,,,,,,,,
sector_sec_quint,2011,urban,,,,4,,4,1,1,,,,,,,,,,,,,,,,,,,,,
sector_sec_quint,2011,urban,,,,5,,5,0,1,,,,,,,,,,,,,,,,,,,,,
sector,2011,rural,,,,,,99,0.33,0.35,,,,,,,,,,,,,,,,,,,,,
sector_sec_quint,2011,rural,,,,1,,1,0,1,,,,,,,,,,,,,,,,,,,,,
sector_sec_quint,2011,rural,,,,2,,2,0,0,,,,,,,,,,,,,,,,,,,,,
sector_sec_quint,2011,rural,,,,3,,3,0,0,,,,,,,,,,,,,,,,,,,,,
sector_sec_quint,2011,rural,,,,4,,4,0,0,,,,,,,,,,,,,,,,,,,,,
sector_sec_quint,2011,rural,,,,5,,5,0,0,,,,,,,,,,,,,,,,,,,,,
india_all,2011,All,,,,,,99,0.47,0.66,,,,,,,,,,,,,,,,,,,,,
nat_quint,2011,All,,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,
nat_quint,2011,All,,,,,2,2,1,1,,,,,,,,,,,,,,,,,,,,,
nat_quint,2011,All,,,,,3,3,0,1,,,,,,,,,,,,,,,,,,,,,
nat_quint,2011,All,,,,,4,4,0,1,,,,,,,,,,,,,,,,,,,,,
nat_quint,2011,All,,,,,5,5,0,0,,,,,,,,,,,,,,,,,,,,,
sector_state,2011,urban,Andaman & Nicobar Islands,,,,,99,0.93,0.49,,,,,,,,,,,,,,,,,,,,,
state_sector_quint,2011,urban,Andaman & Nicobar Islands,1,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,
state_sector_quint,2011,urban,Andaman & Nicobar Islands,2,,,,2,1,1,,,,,,,,,,,,,,,,,,,,,
state_sector_quint,2011,urban,Andaman & Nicobar Islands,3,,,,3,1,0,,,,,,,,,,,,,,,,,,,,,
state_sector_quint,2011,urban,Andaman & Nicobar Islands,4,,,,4,1,0,,,,,,,,,,,,,,,,,,,,,
state_sector_quint,2011,urban,Andaman & Nicobar Islands,5,,,,5,1,0,,,,,,,,,,,,,,,,,,,,,
sector_state,2011,rural,Andaman & Nicobar Islands,,,,,99,0.87,0.18,,,,,,,,,,,,,,,,,,,,,
state_sector_quint,2011,rural,Andaman & Nicobar Islands,1,,,,1,1,0,,,,,,,,,,,,,,,,,,,,,
state_sector_quint,2011,rural,Andaman & Nicobar Islands,2,,,,2,1,0,,,,,,,,,,,,,,,,,,,,,
state_sector_quint,2011,rural,Andaman & Nicobar Islands,3,,,,3,1,0,,,,,,,,,,,,,,,,,,,,,
state_sector_quint,2011,rural,Andaman & Nicobar Islands,4,,,,4,1,0,,,,,,,,,,,,,,,,,,,,,
state_sector_quint,2011,rural,Andaman & Nicobar Islands,5,,,,5,1,0,,,,,,,,,,,,,,,,,,,,,
state,2011,All,Andaman & Nicobar Islands,,,,,99,0.91,0.38,,,,,,,,,,,,,,,,,,,,,
state_quint,2011,All,Andaman & Nicobar Islands,,1,,,1,1,1,,,,,,,,,,,,,,,,,,,,,
state_quint,2011,All,Andaman & Nicobar Islands,,2,,,2,1,0,,,,,,,,,,,,,,,,,,,,,
state_quint,2011,All,Andaman & Nicobar Islands,,3,,,3,1,0,,,,,,,,,,,,,,,,,,,,,
state_quint,2011,All,Andaman & Nicobar Islands,,4,,,4,1,0,,,,,,,,,,,,,,,,,,,,,
state_quint,2011,All,Andaman & Nicobar Islands,,5,,,5,1,0,,,,,,,,,,,,,,,,,,,,,
sector_state,2011,urban,Andhra Pradesh,,,,,99,0.91,0.85,,,,,,,,,,,,,,,,,,,,,
