year,sector2,sector,state,state_sec_quint,type,level,food_pds_subs,kerosene_pds_subs,food_pds_free,gov_school_free,pvt_school_free,lpg_subs,elec_free,fees_waived,pmjay_ben,pmjay_ben_avail,durables_free,laptop2,tablet2,mobile2,bicycle2,other_items2,books,stationary,schoolbag,clothing,footwear
2011,All,99,Andaman and Nicobar Islands,99,All,State,0.909,0.377,,,,,,,,,,,,,,,,,,,
2011,rural,0,Andaman and Nicobar Islands,99,All,State,0.865,0.181,,,,,,,,,,,,,,,,,,,
2011,urban,1,Andaman and Nicobar Islands,99,All,State,0.934,0.485,,,,,,,,,,,,,,,,,,,
2011,All,99,Andaman and Nicobar Islands,1,quintile,State,0.971,0.692,,,,,,,,,,,,,,,,,,,
2011,rural,0,Andaman and Nicobar Islands,1,quintile,State,0.830,0.449,,,,,,,,,,,,,,,,,,,
2011,urban,1,Andaman and Nicobar Islands,1,quintile,State,0.988,0.758,,,,,,,,,,,,,,,,,,,
2011,All,99,Andaman and Nicobar Islands,2,quintile,State,0.886,0.477,,,,,,,,,,,,,,,,,,,
2011,rural,0,Andaman and Nicobar Islands,2,quintile,State,0.894,0.181,,,,,,,,,,,,,,,,,,,
2011,urban,1,Andaman and Nicobar Islands,2,quintile,State,0.993,0.718,,,,,,,,,,,,,,,,,,,
2011,All,99,Andaman and Nicobar Islands,3,quintile,State,0.904,0.350,,,,,,,,,,,,,,,,,,,
2011,rural,0,Andaman and Nicobar Islands,3,quintile,State,0.915,0.123,,,,,,,,,,,,,,,,,,,
2011,urban,1,Andaman and Nicobar Islands,3,quintile,State,0.811,0.275,,,,,,,,,,,,,,,,,,,
2011,All,99,Andaman and Nicobar Islands,4,quintile,State,0.947,0.221,,,,,,,,,,,,,,,,,,,
2011,rural,0,Andaman and Nicobar Islands,4,quintile,State,0.900,0.105,,,,,,,,,,,,,,,,,,,
2011,urban,1,Andaman and Nicobar Islands,4,quintile,State,0.990,0.486,,,,,,,,,,,,,,,,,,,
2011,All,99,Andaman and Nicobar Islands,5,quintile,State,0.839,0.129,,,,,,,,,,,,,,,,,,,
2011,rural,0,Andaman and Nicobar Islands,5,quintile,State,0.786,0.046,,,,,,,,,,,,,,,,,,,
2011,urban,1,Andaman and Nicobar Islands,5,quintile,State,0.892,0.191,,,,,,,,,,,,,,,,,,,
2011,All,99,Andhra Pradesh,99,All,State,0.833,0.741,,,,,,,,,,,,,,,,,,,
2011,rural,0,Andhra Pradesh,99,All,State,0.614,0.439,,,,,,,,,,,,,,,,,,,
2011,urban,1,Andhra Pradesh,99,All,State,0.914,0.852,,,,,,,,,,,,,,,,,,,
2011,All,99,Andhra Pradesh,1,quintile,State,0.938,0.877,,,,,,,,,,,,,,,,,,,
2011,rural,0,Andhra Pradesh,1,quintile,State,0.860,0.678,,,,,,,,,,,,,,,,,,,
2011,urban,1,Andhra Pradesh,1,quintile,State,0.960,0.926,,,,,,,,,,,,,,,,,,,
2011,All,99,Andhra Pradesh,2,quintile,State,0.931,0.844,,,,,,,,,,,,,,,,,,,
2011,rural,0,Andhra Pradesh,2,quintile,State,0.778,0.607,,,,,,,,,,,,,,,,,,,
2011,urban,1,Andhra Pradesh,2,quintile,State,0.979,0.906,,,,,,,,,,,,,,,,,,,
2011,All,99,Andhra Pradesh,3,quintile,State,0.896,0.792,,,,,,,,,,,,,,,,,,,
