group,poor_420,sectorname,sector,state,year,food_pds_subs,kerosene_pds_subs,food_pds_free,gov_school_free,pvt_school_free,lpg_subs,elec_free,fees_waived,pmjay_ben,pmjay_ben_avail,durables_free,laptop2,tablet2,mobile2,bicycle2,other_items2,books,stationary,schoolbag,clothing,footwear
sector,0,rural,0,India,2023,0.277,0.026,0.713,0.308,0.008,0.345,0.248,0.093,0.388,0.022,0.044,0.000,0.001,0.007,0.007,0.031,0.296,0.064,0.072,0.120,0.052
sector,1,rural,0,India,2023,0.272,0.017,0.742,0.446,0.007,0.197,0.171,0.127,0.368,0.019,0.044,0.000,0.001,0.005,0.005,0.035,0.436,0.083,0.105,0.154,0.067
sector,0,urban,1,India,2023,0.233,0.011,0.393,0.130,0.006,0.300,0.236,0.042,0.234,0.016,0.022,0.001,0.001,0.003,0.002,0.016,0.121,0.034,0.032,0.049,0.019
sector,1,urban,1,India,2023,0.191,0.005,0.641,0.319,0.005,0.328,0.156,0.103,0.297,0.022,0.028,0.000,0.001,0.006,0.006,0.017,0.310,0.078,0.069,0.090,0.034
india_all,0,,99,India,2023,0.263,0.021,0.609,0.250,0.008,0.330,0.244,0.077,0.338,0.020,0.037,0.000,0.001,0.005,0.005,0.027,0.239,0.054,0.059,0.097,0.042
india_all,1,,99,India,2023,0.259,0.015,0.726,0.426,0.006,0.218,0.169,0.123,0.357,0.019,0.042,0.000,0.001,0.005,0.005,0.032,0.416,0.083,0.099,0.144,0.062
state_sector,0,rural,0,Andaman and Nicobar Islands,2023,0.796,0.000,0.091,0.325,0.000,0.205,0.006,0.024,0.008,0.005,0.000,0.000,0.000,0.000,0.000,0.000,0.319,0.006,0.000,0.003,0.000
state_sector,1,rural,0,Andaman and Nicobar Islands,2023,0.857,0.000,0.161,0.442,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.442,0.000,0.000,0.000,0.000
state_sector,0,urban,1,Andaman and Nicobar Islands,2023,0.760,0.000,0.017,0.135,0.001,0.117,0.000,0.037,0.000,0.000,0.012,0.000,0.000,0.000,0.000,0.012,0.135,0.000,0.000,0.001,0.000
state_sector,1,urban,1,Andaman and Nicobar Islands,2023,0.671,0.000,0.329,0.329,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.329,0.000,0.000,0.000,0.000
state,0,,99,Andaman and Nicobar Islands,2023,0.781,0.000,0.060,0.245,0.000,0.168,0.003,0.030,0.005,0.003,0.005,0.000,0.000,0.000,0.000,0.005,0.242,0.004,0.000,0.002,0.000
state,1,,99,Andaman and Nicobar Islands,2023,0.836,0.000,0.180,0.429,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.429,0.000,0.000,0.000,0.000
state_sector,0,rural,0,Andhra Pradesh,2023,0.848,0.000,0.838,0.247,0.002,0.503,0.201,0.047,0.825,0.045,0.094,0.000,0.009,0.000,0.000,0.091,0.240,0.097,0.236,0.156,0.149
state_sector,1,rural,0,Andhra Pradesh,2023,0.686,0.000,0.835,0.473,0.004,0.385,0.367,0.036,0.703,0.051,0.233,0.000,0.034,0.000,0.000,0.231,0.448,0.085,0.439,0.310,0.296
state_sector,0,urban,1,Andhra Pradesh,2023,0.665,0.000,0.639,0.138,0.003,0.514,0.043,0.069,0.716,0.038,0.060,0.001,0.006,0.000,0.000,0.055,0.129,0.057,0.130,0.084,0.083
state_sector,1,urban,1,Andhra Pradesh,2023,0.686,0.000,0.682,0.309,0.000,0.354,0.122,0.118,0.712,0.016,0.194,0.000,0.052,0.000,0.000,0.194,0.286,0.054,0.259,0.242,0.219
state,0,,99,Andhra Pradesh,2023,0.790,0.000,0.775,0.213,0.002,0.507,0.151,0.054,0.791,0.042,0.083,0.001,0.008,0.000,0.000,0.079,0.205,0.084,0.202,0.133,0.128
state,1,,99,Andhra Pradesh,2023,0.686,0.000,0.799,0.435,0.003,0.377,0.310,0.055,0.705,0.043,0.224,0.000,0.038,0.000,0.000,0.223,0.410,0.078,0.397,0.294,0.278
state_sector,0,rural,0,Arunachal Pradesh,2023,0.221,0.002,0.641,0.485,0.000,0.161,0.006,0.099,0.230,0.029,0.023,0.000,0.000,0.000,0.000,0.023,0.480,0.006,0.009,0.023,0.001
state_sector,1,rural,0,Arunachal Pradesh,2023,0.111,0.000,0.762,0.737,0.000,0.231,0.027,0.179,0.221,0.002,0.007,0.000,0.000,0.000,0.000,0.007,0.737,0.002,0.014,0.027,0.000
state_sector,0,urban,1,Arunachal Pradesh,2023,0.345,0.000,0.260,0.264,0.000,0.136,0.005,0.049,0.122,0.021,0.001,0.000,0.000,0.000,0.000,0.001,0.262,0.001,0.001,0.006,0.000
state_sector,1,urban,1,Arunachal Pradesh,2023,0.074,0.000,0.532,0.608,0.000,0.232,0.000,0.147,0.104,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.608,0.000,0.000,0.024,0.000
state,0,,99,Arunachal Pradesh,2023,0.244,0.001,0.570,0.444,0.000,0.157,0.006,0.090,0.210,0.028,0.019,0.000,0.000,0.000,0.000,0.019,0.440,0.005,0.007,0.020,0.001
state,1,,99,Arunachal Pradesh,2023,0.109,0.000,0.749,0.730,0.000,0.231,0.025,0.177,0.215,0.002,0.007,0.000,0.000,0.000,0.000,0.007,0.730,0.002,0.013,0.027,0.000
state_sector,0,rural,0,Assam,2023,0.619,0.000,0.259,0.522,0.004,0.279,0.027,0.199,0.612,0.015,0.081,0.001,0.000,0.000,0.013,0.069,0.511,0.089,0.094,0.280,0.039
state_sector,1,rural,0,Assam,2023,0.663,0.001,0.277,0.658,0.004,0.200,0.011,0.223,0.656,0.016,0.169,0.000,0.000,0.000,0.018,0.154,0.646,0.105,0.177,0.381,0.075
state_sector,0,urban,1,Assam,2023,0.329,0.000,0.144,0.216,0.001,0.487,0.018,0.060,0.258,0.006,0.026,0.001,0.001,0.000,0.004,0.021,0.212,0.049,0.047,0.072,0.009
state_sector,1,urban,1,Assam,2023,0.446,0.000,0.300,0.496,0.008,0.123,0.000,0.150,0.515,0.000,0.178,0.000,0.000,0.000,0.018,0.160,0.490,0.079,0.219,0.276,0.156
state,0,,99,Assam,2023,0.580,0.000,0.243,0.481,0.004,0.307,0.026,0.180,0.564,0.014,0.073,0.001,0.000,0.000,0.012,0.063,0.470,0.083,0.088,0.252,0.035
state,1,,99,Assam,2023,0.656,0.001,0.278,0.652,0.004,0.198,0.011,0.221,0.652,0.016,0.169,0.000,0.000,0.000,0.018,0.154,0.640,0.104,0.178,0.378,0.078
state_sector,0,rural,0,Bihar,2023,0.013,0.029,0.780,0.194,0.000,0.438,0.022,0.023,0.115,0.003,0.005,0.000,0.000,0.000,0.004,0.000,0.187,0.012,0.016,0.025,0.000
state_sector,1,rural,0,Bihar,2023,0.070,0.018,0.767,0.198,0.000,0.235,0.015,0.031,0.082,0.005,0.004,0.000,0.000,0.000,0.004,0.000,0.189,0.012,0.020,0.031,0.000
state_sector,0,urban,1,Bihar,2023,0.019,0.011,0.537,0.100,0.000,0.608,0.025,0.021,0.101,0.002,0.002,0.000,0.000,0.000,0.002,0.000,0.096,0.001,0.003,0.009,0.000
state_sector,1,urban,1,Bihar,2023,0.017,0.003,0.712,0.096,0.000,0.384,0.018,0.085,0.112,0.003,0.000,0.000,0.000,0.000,0.000,0.000,0.096,0.000,0.003,0.003,0.000
state,0,,99,Bihar,2023,0.013,0.027,0.754,0.184,0.000,0.456,0.023,0.023,0.113,0.003,0.004,0.000,0.000,0.000,0.004,0.000,0.177,0.011,0.014,0.023,0.000
