poor_420,sector,sectorname,state,year,food_pds_subs,kerosene_pds_subs,food_pds_free,gov_school_free,pvt_school_free,lpg_subs,elec_free,fees_waived,pmjay_ben,pmjay_ben_avail,durables_free,laptop2,tablet2,mobile2,bicycle2,other_items2,books,stationary,schoolbag,clothing,footwear
0,1,Urban,Andaman and Nicobar Islands,2011,0.93036753,0.465276607,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,Urban,Andaman and Nicobar Islands,2011,1,0.871410155,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,2,Rural,Andaman and Nicobar Islands,2011,0.86673921,0.176931268,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,Rural,Andaman and Nicobar Islands,2011,0.70755857,0.707558561,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,99,All,Andaman and Nicobar Islands,2011,0.90710533,0.359858932,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,99,All,Andaman and Nicobar Islands,2011,0.97533596,0.857591157,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,0,Rural,Andaman and Nicobar Islands,2022,0.806,0,0.004,0.357,0,0.108,0,0.086,0.004,0,0.003,0,0,0,0,0.003,0.357,0.004,0,0,0
1,0,Rural,Andaman and Nicobar Islands,2022,0.487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,Urban,Andaman and Nicobar Islands,2022,0.529,0,0,0.099,0,0.156,0.01,0.024,0.005,0.005,0,0,0,0,0,0,0.099,0.005,0,0,0
1,1,Urban,Andaman and Nicobar Islands,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,99,All,Andaman and Nicobar Islands,2022,0.697,0,0.002,0.255,0,0.127,0.004,0.062,0.004,0.002,0.002,0,0,0,0,0.002,0.255,0.004,0,0,0
1,99,All,Andaman and Nicobar Islands,2022,0.274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,Rural,Andhra Pradesh,2022,0.863,0,0.549,0.269,0.005,0.424,0.195,0.134,0.708,0.041,0.072,0,0.007,0,0,0.068,0.261,0.073,0.256,0.134,0.129
1,0,Rural,Andhra Pradesh,2022,0.933,0,0.569,0.419,0.007,0.414,0.354,0.152,0.531,0.031,0.098,0,0.01,0,0,0.092,0.402,0.061,0.406,0.225,0.222
0,1,Urban,Andhra Pradesh,2022,0.671,0,0.42,0.13,0.001,0.531,0.039,0.157,0.573,0.04,0.036,0,0.004,0,0,0.035,0.123,0.039,0.117,0.056,0.055
1,1,Urban,Andhra Pradesh,2022,0.855,0,0.694,0.34,0.014,0.718,0.047,0.23,0.516,0.054,0.077,0,0.018,0,0,0.073,0.327,0.021,0.327,0.22,0.186
0,99,All,Andhra Pradesh,2022,0.802,0,0.508,0.225,0.004,0.458,0.145,0.141,0.665,0.041,0.061,0,0.006,0,0,0.058,0.217,0.062,0.212,0.11,0.106
1,99,All,Andhra Pradesh,2022,0.913,0,0.601,0.399,0.009,0.492,0.275,0.172,0.527,0.037,0.093,0,0.012,0,0,0.087,0.383,0.05,0.385,0.223,0.212
0,1,Urban,Andhra Pradesh,2011,0.87349099,0.80442086,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,Urban,Andhra Pradesh,2011,0.9695766,0.917680193,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,2,FALSE,Andhra Pradesh,2011,0.51017827,0.319766037,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,FALSE,Andhra Pradesh,2011,0.82558578,0.682558654,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,99,All,Andhra Pradesh,2011,0.76549548,0.660356148,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,99,All,Andhra Pradesh,2011,0.93736517,0.865082443,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,0,Rural,Arunachal Pradesh,2022,0.655,0.017,0.124,0.355,0,0.169,0.021,0.07,0.08,0.02,0.004,0,0,0,0,0.004,0.353,0.001,0.003,0.002,0
1,0,Rural,Arunachal Pradesh,2022,0.392,0,0.362,0.496,0,0.014,0.029,0.102,0.037,0.002,0.003,0,0,0,0,0.003,0.496,0.011,0.015,0,0
0,1,Urban,Arunachal Pradesh,2022,0.369,0.003,0.082,0.249,0,0.031,0.004,0.015,0.011,0.004,0,0,0,0,0,0,0.245,0.002,0,0.005,0
1,1,Urban,Arunachal Pradesh,2022,0.414,0,0.258,0.441,0,0.008,0,0.05,0.02,0,0,0,0,0,0,0,0.441,0,0,0,0
0,99,All,Arunachal Pradesh,2022,0.591,0.014,0.115,0.331,0,0.138,0.017,0.057,0.065,0.017,0.003,0,0,0,0,0.003,0.329,0.001,0.002,0.003,0
1,99,All,Arunachal Pradesh,2022,0.394,0,0.354,0.492,0,0.013,0.027,0.098,0.036,0.002,0.003,0,0,0,0,0.003,0.492,0.011,0.014,0,0
0,1,Urban,Arunachal Pradesh,2011,0.62131155,0.277921327,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,Urban,Arunachal Pradesh,2011,0.57996178,0.249276756,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,2,FALSE,Arunachal Pradesh,2011,0.59425884,0.177428057,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
