state_numeric,sector,m_poor_1_33,bpl,aadhar,health_insu_govt,household_has_preg_benefits,household_has_preg_fin,household_health_met,household_angan_benefits,household_angan_immun,household_angan_ecc,round,Year,level,area,dem
Andaman & Nicobar Islands,0,1,0.2,0.98,0.01,0.31,0.05,0.31,0.34,0.2,0.17,5,2019,State,urban/rural,All Households
Andaman & Nicobar Islands,1,1,0.34,1,0,0,0,0.36,0.29,0.29,0,5,2019,State,urban/rural,All Households
Andaman & Nicobar Islands,99,1,0.22,0.99,0.01,0.26,0.04,0.32,0.34,0.21,0.15,5,2019,State,All,All Households
Andaman & Nicobar Islands,0,0,0.15,1,0.01,0.14,0.02,0.14,0.15,0.07,0.1,5,2019,State,urban/rural,All Households
Andaman & Nicobar Islands,1,0,0.08,1,0,0.16,0,0.1,0.15,0.05,0.09,5,2019,State,urban/rural,All Households
Andaman & Nicobar Islands,99,0,0.13,1,0.01,0.15,0.01,0.13,0.15,0.06,0.09,5,2019,State,All,All Households
Andaman & Nicobar Islands,0,1,0.2,0.33,0.01,0.35,0.01,0.24,0.4,0.11,0.28,4,2015,State,urban/rural,All Households
Andaman & Nicobar Islands,1,1,0,1,0,0.54,0,0.34,0.34,0.23,0.23,4,2015,State,urban/rural,All Households
Andaman & Nicobar Islands,99,1,0.19,0.37,0,0.36,0.01,0.24,0.4,0.12,0.28,4,2015,State,All,All Households
Andaman & Nicobar Islands,0,0,0.17,0.47,0.01,0.19,0.02,0.16,0.17,0.05,0.1,4,2015,State,urban/rural,All Households
Andaman & Nicobar Islands,1,0,0.08,0.93,0.02,0.17,0.01,0.09,0.12,0.05,0.09,4,2015,State,urban/rural,All Households
Andaman & Nicobar Islands,99,0,0.13,0.68,0.01,0.18,0.01,0.12,0.15,0.05,0.09,4,2015,State,All,All Households
Andhra Pradesh,0,1,0.94,0.99,0.81,0.53,0.21,0.35,0.5,0.43,0.35,5,2019,State,urban/rural,All Households
Andhra Pradesh,1,1,0.94,1,0.6,0.47,0.09,0.25,0.48,0.45,0.25,5,2019,State,urban/rural,All Households
Andhra Pradesh,99,1,0.94,0.99,0.78,0.53,0.2,0.34,0.5,0.43,0.34,5,2019,State,All,All Households
Andhra Pradesh,0,0,0.95,1,0.84,0.26,0.09,0.23,0.24,0.2,0.14,5,2019,State,urban/rural,All Households
Andhra Pradesh,1,0,0.8,1,0.64,0.22,0.06,0.14,0.19,0.17,0.1,5,2019,State,urban/rural,All Households
