sector,state,state_sec_quint,food_pds_subs,kerosene_pds_subs,food_pds_free,gov_school_free,pvt_school_free,lpg_subs,elec_free,fees_waived,pmjay_ben,pmjay_ben_avail,durables_free,laptop2,tablet2,mobile2,bicycle2,books,stationary,schoolbag,clothing,footwear,year
1,A & N Island,1,0.988,0.758,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011
1,A & N Island,2,0.993,0.718,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011
1,A & N Island,3,0.811,0.275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011
1,A & N Island,4,0.99,0.486,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011
1,A & N Island,5,0.892,0.191,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011
2,A & N Island,1,0.83,0.449,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011
2,A & N Island,2,0.894,0.181,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011
2,A & N Island,3,0.915,0.123,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011
2,A & N Island,4,0.9,0.105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011
2,A & N Island,5,0.786,0.046,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011
99,A & N Island,1,0.971,0.692,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011
99,A & N Island,2,0.886,0.477,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011
99,A & N Island,3,0.904,0.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011
99,A & N Island,4,0.947,0.221,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011
99,A & N Island,5,0.839,0.129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011
99,A & N Island,99,0.909,0.377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011
1,A & N Island,99,0.934,0.485,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011
2,A & N Island,99,0.865,0.181,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011
rural,Andaman and Nicobar Islands,1,0.773,0,0,0.39,0,0.058,0,0.091,0,0,0,0,0,0,0,0.39,0,0,0,0,2022
urban,Andaman and Nicobar Islands,1,0.564,0,0,0.148,0,0.179,0.027,0.029,0.025,0.025,0,0,0,0,0,0.148,0.022,0,0,0,2022
rural,Andaman and Nicobar Islands,2,0.844,0,0.011,0.453,0,0.12,0,0.162,0.009,0,0,0,0,0,0,0.453,0,0,0,0,2022
urban,Andaman and Nicobar Islands,2,0.518,0,0,0.171,0,0.188,0.014,0,0,0,0,0,0,0,0,0.171,0,0,0,0,2022
rural,Andaman and Nicobar Islands,3,0.866,0,0,0.408,0,0.107,0,0.09,0.009,0,0,0,0,0,0,0.408,0,0,0,0,2022
urban,Andaman and Nicobar Islands,3,0.601,0,0,0.137,0,0.151,0,0.053,0,0,0,0,0,0,0,0.137,0,0,0,0,2022
rural,Andaman and Nicobar Islands,4,0.804,0,0.007,0.307,0,0.131,0,0.051,0,0,0,0,0,0,0,0.307,0.009,0,0,0,2022
urban,Andaman and Nicobar Islands,4,0.602,0,0,0.028,0,0.109,0,0,0,0,0,0,0,0,0,0.028,0,0,0,0,2022
rural,Andaman and Nicobar Islands,5,0.735,0,0,0.214,0,0.123,0,0.033,0,0,0.014,0,0,0,0,0.214,0.011,0,0,0,2022
urban,Andaman and Nicobar Islands,5,0.337,0,0,0.007,0,0.144,0.007,0.036,0,0,0,0,0,0,0,0.007,0,0,0,0,2022
all,Andaman and Nicobar Islands,1,0.758,0,0.007,0.352,0,0.06,0.01,0.123,0.016,0.01,0,0,0,0,0,0.352,0,0,0,0,2022
all,Andaman and Nicobar Islands,2,0.732,0,0,0.339,0,0.184,0,0.051,0,0,0,0,0,0,0,0.339,0.009,0,0,0,2022
all,Andaman and Nicobar Islands,3,0.761,0,0,0.283,0,0.115,0.006,0.056,0.005,0,0,0,0,0,0,0.283,0,0,0,0,2022
all,Andaman and Nicobar Islands,4,0.685,0,0.004,0.216,0,0.133,0,0.058,0,0,0,0,0,0,0,0.216,0.005,0,0,0,2022
all,Andaman and Nicobar Islands,5,0.535,0,0,0.078,0,0.138,0.003,0.018,0,0,0.008,0,0,0,0,0.078,0.007,0,0,0,2022
all,Andaman and Nicobar Islands,99,0.694,0,0.002,0.254,0,0.126,0.004,0.061,0.004,0.002,0.002,0,0,0,0,0.254,0.004,0,0,0,2022
rural,Andaman and Nicobar Islands,99,0.804,0,0.004,0.355,0,0.107,0,0.085,0.004,0,0.003,0,0,0,0,0.355,0.004,0,0,0,2022
urban,Andaman and Nicobar Islands,99,0.525,0,0,0.098,0,0.155,0.01,0.024,0.005,0.005,0,0,0,0,0,0.098,0.004,0,0,0,2022
rural,Andhra Pradesh,1,0.911,0,0.574,0.406,0.013,0.396,0.313,0.158,0.572,0.036,0.102,0,0.007,0,0,0.389,0.075,0.388,0.207,0.204,2022
urban,Andhra Pradesh,1,0.842,0,0.62,0.279,0.009,0.643,0.046,0.209,0.569,0.068,0.08,0,0.015,0,0,0.268,0.057,0.269,0.166,0.151,2022
rural,Andhra Pradesh,2,0.891,0,0.555,0.345,0.004,0.375,0.228,0.157,0.68,0.06,0.096,0,0.006,0,0,0.335,0.08,0.334,0.162,0.154,2022
urban,Andhra Pradesh,2,0.837,0,0.495,0.209,0,0.51,0.048,0.199,0.678,0.043,0.054,0,0.006,0,0,0.206,0.064,0.194,0.09,0.09,2022
rural,Andhra Pradesh,3,0.896,0,0.552,0.309,0.003,0.439,0.192,0.128,0.711,0.031,0.09,0,0.01,0.001,0.001,0.299,0.091,0.291,0.159,0.155,2022
urban,Andhra Pradesh,3,0.774,0,0.486,0.137,0,0.5,0.044,0.181,0.637,0.036,0.039,0,0.002,0,0,0.13,0.041,0.126,0.048,0.048,2022
rural,Andhra Pradesh,4,0.884,0,0.562,0.224,0.006,0.445,0.18,0.121,0.74,0.033,0.058,0,0.011,0,0,0.218,0.066,0.213,0.111,0.102,2022
urban,Andhra Pradesh,4,0.664,0,0.42,0.084,0.001,0.545,0.04,0.135,0.595,0.029,0.02,0,0,0,0,0.075,0.02,0.063,0.028,0.027,2022
rural,Andhra Pradesh,5,0.77,0,0.513,0.14,0.002,0.461,0.14,0.113,0.749,0.039,0.029,0,0.003,0.001,0,0.135,0.047,0.13,0.079,0.078,2022
urban,Andhra Pradesh,5,0.309,0,0.183,0.023,0,0.526,0.02,0.088,0.363,0.031,0.006,0,0.003,0,0,0.016,0.006,0.013,0.011,0.008,2022
all,Andhra Pradesh,1,0.894,0,0.59,0.373,0.011,0.457,0.244,0.176,0.573,0.045,0.099,0,0.009,0,0,0.359,0.07,0.358,0.201,0.195,2022
all,Andhra Pradesh,2,0.885,0,0.542,0.311,0.003,0.431,0.177,0.165,0.67,0.059,0.082,0,0.006,0,0,0.301,0.073,0.299,0.144,0.138,2022
all,Andhra Pradesh,3,0.849,0,0.534,0.258,0.002,0.45,0.145,0.142,0.689,0.029,0.073,0,0.007,0,0.001,0.249,0.078,0.24,0.124,0.121,2022
all,Andhra Pradesh,4,0.835,0,0.517,0.174,0.004,0.481,0.129,0.125,0.725,0.032,0.044,0,0.007,0,0,0.167,0.053,0.163,0.08,0.075,2022
