Dataset,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Title - Graph 1,USAGE OF SCHEMES ACROSS POOR AND NON-POOR HOUSEHOLDS,,,,,,,,,,,,,,,,,,,
Title-  Graph 2,USAGE OF SCHEMES ACROSS WEALTH INDEX QUINTILES,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Note,"Note - Graph 1: The graphs display the share across poor and non-poor households. Households are classified based on their non-monetary poverty score. MPI poor households have a deprivation score equal to or above the multidimensional poverty threshold of 0.33, while non-poor households fall below this threshold.",,,,,,,,,,,,,,,,,,,
,Note - Graph 2:  The Wealth Index is a composite score calculated using household ownership of assets. The households are divided into 5 equal quintiles based on wealth index ranging from poorest (1) to the richest (5). ,,,,,,,,,,,,,,,,,,,
Source,Data is sourced from National Family Health Surveys. Round 4 (conducted 2015 - 16) and Round 5 (conducted 2019 - 21) have been included in this analysis.,,,,,,,,,,,,,,,,,,,Level
,,,,,,,,,,,,,,,,,,,,
Graph Title,Distribution across poor and non-poor households based on MPI scores,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Description,,,,,,,,,,,,,,,,,,,,
Category,Indicator,Title,"Note to the graph -- start with ""The graph plots ...""",Dropdown text,,,,,,,,,,,,,,,,
Entitlements,bpl,% HHs with BPL (ration) card ownerships,% HHs with BPL (ration) card ownership,BPL,,,,,,,,,,,,,,,,
,aadhar,% HHs with any member having an Aadhar card,% HHs with any member having an Aadhar card,Aadhar,,,,,,,,,,,,,,,,
,health_insu_govt,% HHs with access to any state or centrally sponsored health insurance,% HHs with access to any state or centrally sponsored health insurance,Health Insurance,,,,,,,,,,,,,,,,
Women's Health,household_health_met,"% HHs accessing Anganwadi center, ASHA or community health worker","Share of HHs where atleast one 15-49 year-old woman visited an anganwadi center, or met with a ASHA or other community health worker in the three months prior to the date of the interview",Contact Anganwadi/ICDS/Other  ,,,,,,,,,,,,,,,,
,household_has_preg_benefits,% HHs that received any pregnancy benefits from Anganwadi/ICDS centre,"Share of HHs where atleast one  15-49 year-old woman, who when she was pregnant, received any benefits (such as supplementary food, health check-ups or health and nutrition education) from Anganwadi/ICDS centers ",Pregnancy Assistance,"age , reference ",share,,,,,,,,,,,,,,
,household_has_preg_fin,% HHs that received financial assistance for delivery care,"Share of HHs where atleast one woman who gave birth or was pregnant, recieved any financial assistance for delivery care from Janani Suraksha Yojana or other Government Schemes",Financial Benefits during Pregnancy,"age , reference ",share,,,,,,,,,,,,,,
Child Health,household_angan_benefits,% HHs that received any benefits for children from Anganwadi/ICDS centre,"Share of HHs where atleast one  15-49 year-old woman, who gave birth or was pregnant, received any benefits for her child (such as supplementary food, health checkups, immunization or growth monitoring ) from the Anganwadi centers in the 12 months prior to the date of the interview",Anganwadi Benefits,"age , reference ",share,example,,,,,,,,,,,,,
,household_angan_immun,% HHs that accessed Anganwadi/ICDS center for child immunization,"Share of HHs where atleast one  15-49 year-old woman, who gave birth or was pregnant,  received any immunization through the Anganwadi/ICDS centre for her child  in the 12 months prior to the date of the interview",Anganwadi Immunization,"age , reference ",share,example,,,,,,,,,,,,,
,household_angan_ecc,% HHs that received early childhood care at Anganwadi/ICDS centre,"Share of HHs where atleast one  15-49 year-old woman, who gave birth or was pregnant, who went to anganwadi centre regularly for  early childhood care services for her child in the 12 months prior to the date of the interview",Anganwadi Early Childhood Care,"age , reference ",share,example?,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,
