,2017ppp_poor_215,2017ppp_poor_365,2017ppp_poor_685,2021ppp_poor_300,2021ppp_poor_420,2021ppp_poor_830,year,level,area,dem,SourceSheet,sector,sector2,state,age_cat1,age_cat2,age_cat3,age_cat4,edu_cat1,edu_cat2,edu_cat3,edu_cat4,edu_cat5,edu_cat6,gender_cat1,gender_cat2,hhsize_cat1,hhsize_cat2,hhsize_cat3,hhsize_cat4,owns_dwelling,inc_selfemp,inc_casual,inc_salaried
1,0.162156022,0.617501943,0.924317419,0.271246924,0.576781813,0.92484827,2011,National,All,All Households,allindia,NA,99,India,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,0.184267718,0.690477449,0.960324831,0.310051726,0.648617163,0.960643036,2011,National,urban/rural,All Households,sect_allindia,0,0,India,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,0.106859374,0.435005718,0.834270539,0.174204367,0.397136876,0.83533317,2011,National,urban/rural,All Households,sect_allindia,1,1,India,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,0.03207096,0.358048596,0.88791201,0.069937355,0.301764432,0.88834953,2011,State,All,All Households,state,NA,99,Jammu and Kashmir,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,0.026069305,0.316177382,0.857131412,0.048511022,0.277480419,0.858667553,2011,State,All,All Households,state,NA,99,Himachal Pradesh,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,0.049949273,0.382391088,0.854319078,0.092050642,0.340404697,0.854691575,2011,State,All,All Households,state,NA,99,Punjab,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,0.0824944,0.383019596,0.810484777,0.153028647,0.376293816,0.810484777,2011,State,All,All Households,state,NA,99,Chandigarh,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,0.044329668,0.473874553,0.906820387,0.084229798,0.434462006,0.907884746,2011,State,All,All Households,state,NA,99,Uttarakhand,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,0.06166813,0.377637416,0.842128717,0.107689938,0.331710374,0.842171941,2011,State,All,All Households,state,NA,99,Haryana,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,0.04347252,0.331348336,0.772300498,0.102848146,0.29173369,0.774653726,2011,State,All,All Households,state,NA,99,Delhi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
