,m_poor_1_20_old,m_poor_1_33,m_poor_1_50,m_poor_1_20,Year,level,area,dem,SourceSheet,sector,StateName,multidimensionally_poor_1_33,multidimensionally_poor_1_50,head_age_cat,edu_group,head_gender,hhsize_cat
1,0.350797057,0.163928062,0.042453505,0.186868995,2019,National,All,All Households,allindia,99,India,NA,NA,NA,NA,NA,NA
2,0.435698003,0.212376669,0.056454737,0.223321334,2019,National,urban/rural,All Households,indiasector,0,India,NA,NA,NA,NA,NA,NA
3,0.160184145,0.055155069,0.01101905,0.105029076,2019,National,urban/rural,All Households,indiasector,1,India,NA,NA,NA,NA,NA,NA
4,0.138325989,0.036707666,0.004575248,0.101618323,2019,State,All,All Households,state,99,Andaman and Nicobar Islands,NA,NA,NA,NA,NA,NA
5,0.228554145,0.073215201,0.009681554,0.155338944,2019,State,All,All Households,state,99,Andhra Pradesh,NA,NA,NA,NA,NA,NA
6,0.31667003,0.132061303,0.027448211,0.184608727,2019,State,All,All Households,state,99,Arunachal Pradesh,NA,NA,NA,NA,NA,NA
7,0.431028247,0.214104578,0.054333124,0.216923669,2019,State,All,All Households,state,99,Assam,NA,NA,NA,NA,NA,NA
8,0.546396017,0.346608639,0.131912246,0.199787378,2019,State,All,All Households,state,99,Bihar,NA,NA,NA,NA,NA,NA
9,0.108826146,0.039426312,0.01182982,0.069399834,2019,State,All,All Households,state,99,Chandigarh,NA,NA,NA,NA,NA,NA
10,0.418855041,0.178847924,0.037307687,0.240007117,2019,State,All,All Households,state,99,Chhattisgarh,NA,NA,NA,NA,NA,NA
11,0.336470813,0.142684564,0.024120146,0.193786249,2019,State,All,All Households,state,99,Dadra & Nagar Haveli and Daman & Diu,NA,NA,NA,NA,NA,NA
12,0.105435476,0.033542812,0.00488985,0.071892664,2019,State,All,All Households,state,99,Delhi,NA,NA,NA,NA,NA,NA
13,0.077828497,0.013937999,0.001360812,0.063890498,2019,State,All,All Households,state,99,Goa,NA,NA,NA,NA,NA,NA
14,0.321409464,0.144021735,0.030164538,0.177387729,2019,State,All,All Households,state,99,Gujarat,NA,NA,NA,NA,NA,NA
15,0.250834495,0.071746014,0.015932536,0.179088481,2019,State,All,All Households,state,99,Haryana,NA,NA,NA,NA,NA,NA
16,0.227296442,0.053102639,0.0063453,0.174193803,2019,State,All,All Households,state,99,Himachal Pradesh,NA,NA,NA,NA,NA,NA
17,0.174108222,0.062550865,0.010086101,0.111557357,2019,State,All,All Households,state,99,Jammu and Kashmir,NA,NA,NA,NA,NA,NA
18,0.531457603,0.306030452,0.091472834,0.225427151,2019,State,All,All Households,state,99,Jharkhand,NA,NA,NA,NA,NA,NA
19,0.264701068,0.08497858,0.012818584,0.179722488,2019,State,All,All Households,state,99,Karnataka,NA,NA,NA,NA,NA,NA
20,0.094981171,0.008574503,0.000303183,0.086406668,2019,State,All,All Households,state,99,Kerala,NA,NA,NA,NA,NA,NA
21,0.199734524,0.065117896,0.008007739,0.134616628,2019,State,All,All Households,state,99,Ladakh,NA,NA,NA,NA,NA,NA
