,poor_420,inc_selfemp,inc_salaried,inc_casual,year,level,area,dem,SourceSheet,sector,sector2,state,age_cat1,age_cat2,age_cat3,age_cat4,edu_cat1,edu_cat2,edu_cat3,edu_cat4,edu_cat5,edu_cat6,gender_cat1,gender_cat2,hhsize_cat1,hhsize_cat2,hhsize_cat3,hhsize_cat4,owns_dwelling
1,0,0.4159,0.2426,0.2334,2023,National,All,All Households,allindia,NA,99,India,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,1,0.4112,0.1092,0.3932,2023,National,All,All Households,allindia,NA,99,India,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,0,0.4727,0.1465,0.2993,2023,National,urban/rural,All Households,sect_allindia,NA,99,India,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,1,0.4329,0.0768,0.4137,2023,National,urban/rural,All Households,sect_allindia,NA,99,India,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,0,0.3141,0.4147,0.1153,2023,National,urban/rural,All Households,sect_allindia,NA,99,India,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,1,0.3056,0.2674,0.2936,2023,National,urban/rural,All Households,sect_allindia,NA,99,India,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,0,0.4291,0.2916,0.1908,2023,State,All,All Households,state,NA,99,Jammu and Kashmir,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,1,0.3072,0.1404,0.5350,2023,State,All,All Households,state,NA,99,Jammu and Kashmir,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,0,0.4738,0.2567,0.1406,2023,State,All,All Households,state,NA,99,Himachal Pradesh,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,1,0.4647,0.0933,0.4420,2023,State,All,All Households,state,NA,99,Himachal Pradesh,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,0,0.3982,0.2701,0.2260,2023,State,All,All Households,state,NA,99,Punjab,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,1,0.2643,0.1348,0.5247,2023,State,All,All Households,state,NA,99,Punjab,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,0,0.3417,0.4871,0.0467,2023,State,All,All Households,state,NA,99,Chandigarh,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,0,0.4209,0.3026,0.1323,2023,State,All,All Households,state,NA,99,Uttarakhand,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,1,0.3984,0.1145,0.2894,2023,State,All,All Households,state,NA,99,Uttarakhand,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,0,0.3980,0.3116,0.2235,2023,State,All,All Households,state,NA,99,Haryana,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,1,0.1899,0.1789,0.5794,2023,State,All,All Households,state,NA,99,Haryana,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,0,0.3440,0.5147,0.0601,2023,State,All,All Households,state,NA,99,Delhi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,1,0.5245,0.3614,0.0386,2023,State,All,All Households,state,NA,99,Delhi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,0,0.5310,0.2043,0.1802,2023,State,All,All Households,state,NA,99,Rajasthan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,1,0.5314,0.0943,0.3380,2023,State,All,All Households,state,NA,99,Rajasthan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,0,0.5231,0.1452,0.2407,2023,State,All,All Households,state,NA,99,Uttar Pradesh,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,1,0.4372,0.0766,0.4282,2023,State,All,All Households,state,NA,99,Uttar Pradesh,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,0,0.4133,0.1392,0.3510,2023,State,All,All Households,state,NA,99,Bihar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,1,0.3434,0.1379,0.4698,2023,State,All,All Households,state,NA,99,Bihar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,0,0.4559,0.4123,0.0590,2023,State,All,All Households,state,NA,99,Sikkim,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,1,0.7186,0.1914,0.0585,2023,State,All,All Households,state,NA,99,Sikkim,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,0,0.6050,0.3229,0.0407,2023,State,All,All Households,state,NA,99,Arunachal Pradesh,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,1,0.8568,0.0992,0.0440,2023,State,All,All Households,state,NA,99,Arunachal Pradesh,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
