,poor_420,inc_selfemp,inc_salaried,inc_casual,year,level,area,dem,SourceSheet,sector,sector2,state,age_cat1,age_cat2,age_cat3,age_cat4,edu_cat1,edu_cat2,edu_cat3,edu_cat4,edu_cat5,edu_cat6,gender_cat1,gender_cat2,hhsize_cat1,hhsize_cat2,hhsize_cat3,hhsize_cat4,owns_dwelling
1,0,0.415940344,0.242561132,0.23342897,2023,National,All,All Households,allindia,NA,99,India,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,1,0.411239535,0.109204531,0.393241465,2023,National,All,All Households,allindia,NA,99,India,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,0,0.472744673,0.146545187,0.299313396,2023,National,urban/rural,All Households,sect_allindia,NA,99,India,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,1,0.432879955,0.076786473,0.413659513,2023,National,urban/rural,All Households,sect_allindia,NA,99,India,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,0,0.314099878,0.414701343,0.115309395,2023,National,urban/rural,All Households,sect_allindia,NA,99,India,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,1,0.305623084,0.267421633,0.293590784,2023,National,urban/rural,All Households,sect_allindia,NA,99,India,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,0,0.429100782,0.291619718,0.190833002,2023,State,All,All Households,state,NA,99,Jammu and Kashmir,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,1,0.307239473,0.140397444,0.534950256,2023,State,All,All Households,state,NA,99,Jammu and Kashmir,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,0,0.473758548,0.256703824,0.14063713,2023,State,All,All Households,state,NA,99,Himachal Pradesh,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,1,0.464712828,0.093276888,0.442010283,2023,State,All,All Households,state,NA,99,Himachal Pradesh,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,0,0.398244679,0.270066947,0.22596769,2023,State,All,All Households,state,NA,99,Punjab,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,1,0.264321268,0.134786233,0.524698913,2023,State,All,All Households,state,NA,99,Punjab,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,0,0.341680467,0.487115622,0.046728469,2023,State,All,All Households,state,NA,99,Chandigarh,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,0,0.420913219,0.30261904,0.132291675,2023,State,All,All Households,state,NA,99,Uttarakhand,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,1,0.398408383,0.114482179,0.2893897,2023,State,All,All Households,state,NA,99,Uttarakhand,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,0,0.397958487,0.311573178,0.223452598,2023,State,All,All Households,state,NA,99,Haryana,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
