,m_poor_1_20,m_poor_1_33,m_poor_1_50,Year,level,area,dem,SourceSheet,sector,StateName,multidimensionally_poor_1_33,multidimensionally_poor_1_50,head_age_cat,edu_group,head_gender,hhsize_cat
4,0.138325989,0.036707666,0.004575248,2019,State,All,All Households,state,99,Andaman and Nicobar Islands,NA,NA,NA,NA,NA,NA
40,0.169055536,0.05071228,0.007259742,2019,State,urban/rural,All Households,statesector,0,Andaman and Nicobar Islands,NA,NA,NA,NA,NA,NA
41,0.085952871,0.012839258,0,2019,State,urban/rural,All Households,statesector,1,Andaman and Nicobar Islands,NA,NA,NA,NA,NA,NA
128,0.191194549,0.090795733,0,2019,State,All,Age,state,99,Andaman and Nicobar Islands,NA,NA,15 to 29,NA,NA,NA
129,0.130926073,0.0312865,0.002958208,2019,State,All,Age,state,99,Andaman and Nicobar Islands,NA,NA,30 to 45,NA,NA,NA
130,0.125996813,0.033837058,0.005619501,2019,State,All,Age,state,99,Andaman and Nicobar Islands,NA,NA,45 to 64,NA,NA,NA
131,0.171678543,0.04101282,0.006476791,2019,State,All,Age,state,99,Andaman and Nicobar Islands,NA,NA,65+,NA,NA,NA
132,0.149832174,0,0,2019,State,All,Age,state,99,Andaman and Nicobar Islands,NA,NA,NA,NA,NA,NA
307,0.202301547,0.091867931,0,2019,State,urban/rural,Age,statesector,0,Andaman and Nicobar Islands,NA,NA,15 to 29,NA,NA,NA
308,0.157434523,0.046004646,0.005036256,2019,State,urban/rural,Age,statesector,0,Andaman and Nicobar Islands,NA,NA,30 to 45,NA,NA,NA
309,0.146567911,0.046713654,0.00860596,2019,State,urban/rural,Age,statesector,0,Andaman and Nicobar Islands,NA,NA,45 to 64,NA,NA,NA
310,0.239391834,0.060414229,0.009540683,2019,State,urban/rural,Age,statesector,0,Andaman and Nicobar Islands,NA,NA,65+,NA,NA,NA
311,0.149832174,0,0,2019,State,urban/rural,Age,statesector,0,Andaman and Nicobar Islands,NA,NA,NA,NA,NA,NA
312,0.177270576,0.089451604,0,2019,State,urban/rural,Age,statesector,1,Andaman and Nicobar Islands,NA,NA,15 to 29,NA,NA,NA
