"","poor_420","inc_selfemp","inc_salaried","inc_casual","year","level","area","dem","SourceSheet","sector2","state","age_cat1","age_cat2","age_cat3","age_cat4","edu_cat1","edu_cat2","edu_cat3","edu_cat4","edu_cat5","edu_cat6","gender_cat1","gender_cat2","hhsize_cat1","hhsize_cat2","hhsize_cat3","hhsize_cat4","owns_dwelling","owns_land","inc_selfemp_agri","inc_selfemp_nonagri","inc_casual_agri","inc_casual_nonagri","inc_selfemp_urban","inc_casual_urban","inc_others"
"1",0,0.458416491746902,0.244621127843857,0.236448496580124,2022,"National","All","All Households","allindia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",1,0.447312891483307,0.131905198097229,0.385362148284912,2022,"National","All","All Households","allindia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",0,0.501938939094543,0.158468902111053,0.29094871878624,2022,"National","urban/rural","All Households","sect_allindia",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",1,0.460682243108749,0.103176467120647,0.40123924612999,2022,"National","urban/rural","All Households","sect_allindia",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",0,0.365533769130707,0.428481429815292,0.120137795805931,2022,"National","urban/rural","All Households","sect_allindia",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",1,0.381903529167175,0.272459864616394,0.307683736085892,2022,"National","urban/rural","All Households","sect_allindia",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",0,0.437140852212906,0.307833284139633,0.175997078418732,2022,"State","All","All Households","state",NA,"Jammu & Kashmir",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",1,0.297822594642639,0.180282741785049,0.488796383142471,2022,"State","All","All Households","state",NA,"Jammu & Kashmir",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",0,0.490750253200531,0.247545123100281,0.147508323192596,2022,"State","All","All Households","state",NA,"Himachal Pradesh",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",1,0.426815569400787,0.173206299543381,0.337771117687225,2022,"State","All","All Households","state",NA,"Himachal Pradesh",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
