,m_poor_1_33,m_poor_1_50,wi_cat1,wi_cat2,wi_cat3,wi_cat4,wi_cat5,round,level,area,dem,SourceSheet,sector,state,StateName,head_age_cat,edu_group,head_gender,hhsize_cat,owns_land
1,0.16,0.04,0.21,0.2,0.2,0.2,0.2,5,National,All,All Households,allindia,99,india,India,NA,NA,NA,NA,NA
2,0.21,0.05,0.29,0.26,0.22,0.15,0.07,5,National,urban/rural,All Households,indiasector,0,india,India,NA,NA,NA,NA,NA
3,0.05,0.01,0.03,0.07,0.16,0.29,0.44,5,National,urban/rural,All Households,indiasector,1,india,India,NA,NA,NA,NA,NA
4,0.22,0.08,NA,NA,NA,NA,NA,5,State,All,All Households,state,99,india,India,NA,NA,NA,NA,NA
5,0.04,0,0.08,0.16,0.27,0.32,0.16,5,State,All,All Households,state,99,andaman & nicobar islands,Andaman & Nicobar Islands,NA,NA,NA,NA,NA
6,0.08,0.01,0.07,0.2,0.31,0.27,0.15,5,State,All,All Households,state,99,andhra pradesh,Andhra Pradesh,NA,NA,NA,NA,NA
7,0.14,0.02,0.24,0.31,0.25,0.16,0.05,5,State,All,All Households,state,99,arunachal pradesh,Arunachal Pradesh,NA,NA,NA,NA,NA
8,0.21,0.05,0.38,0.31,0.16,0.1,0.05,5,State,All,All Households,state,99,assam,Assam,NA,NA,NA,NA,NA
9,0.35,0.12,0.45,0.25,0.15,0.1,0.05,5,State,All,All Households,state,99,bihar,Bihar,NA,NA,NA,NA,NA
10,0.03,0.01,0.01,0.02,0.05,0.13,0.79,5,State,All,All Households,state,99,chandigarh,Chandigarh,NA,NA,NA,NA,NA
11,0.2,0.04,0.33,0.24,0.18,0.15,0.11,5,State,All,All Households,state,99,chhattisgarh,Chhattisgarh,NA,NA,NA,NA,NA
12,0.12,0.02,0.1,0.24,0.25,0.24,0.17,5,State,All,All Households,state,99,dadra & nagar haveli and daman & diu,Dadra & Nagar Haveli And Daman & Diu,NA,NA,NA,NA,NA
13,0.02,0,0.01,0.03,0.1,0.25,0.61,5,State,All,All Households,state,99,goa,Goa,NA,NA,NA,NA,NA
14,0.14,0.02,0.13,0.16,0.19,0.25,0.28,5,State,All,All Households,state,99,gujarat,Gujarat,NA,NA,NA,NA,NA
15,0.07,0.01,0.02,0.09,0.17,0.25,0.46,5,State,All,All Households,state,99,haryana,Haryana,NA,NA,NA,NA,NA
16,0.05,0.01,0.04,0.14,0.25,0.29,0.28,5,State,All,All Households,state,99,himachal pradesh,Himachal Pradesh,NA,NA,NA,NA,NA
17,0.06,0.01,0.1,0.16,0.21,0.27,0.26,5,State,All,All Households,state,99,jammu & kashmir,Jammu & Kashmir,NA,NA,NA,NA,NA
18,0.3,0.08,0.47,0.21,0.14,0.1,0.08,5,State,All,All Households,state,99,jharkhand,Jharkhand,NA,NA,NA,NA,NA
19,0.08,0.01,0.08,0.18,0.28,0.26,0.2,5,State,All,All Households,state,99,karnataka,Karnataka,NA,NA,NA,NA,NA
20,0.01,0,0.01,0.06,0.19,0.35,0.39,5,State,All,All Households,state,99,kerala,Kerala,NA,NA,NA,NA,NA
21,0.07,0.01,0.13,0.3,0.27,0.23,0.06,5,State,All,All Households,state,99,ladakh,Ladakh,NA,NA,NA,NA,NA
22,0.01,0,0,0.03,0.16,0.46,0.35,5,State,All,All Households,state,99,lakshadweep,Lakshadweep,NA,NA,NA,NA,NA
23,0.25,0.05,0.34,0.21,0.16,0.14,0.14,5,State,All,All Households,state,99,madhya pradesh,Madhya Pradesh,NA,NA,NA,NA,NA
24,0.1,0.01,0.1,0.16,0.22,0.25,0.28,5,State,All,All Households,state,99,maharashtra,Maharashtra,NA,NA,NA,NA,NA
25,0.1,0.01,0.2,0.33,0.24,0.16,0.07,5,State,All,All Households,state,99,manipur,Manipur,NA,NA,NA,NA,NA
26,0.25,0.09,0.3,0.34,0.21,0.1,0.04,5,State,All,All Households,state,99,meghalaya,Meghalaya,NA,NA,NA,NA,NA
27,0.06,0.01,0.06,0.14,0.26,0.3,0.23,5,State,All,All Households,state,99,mizoram,Mizoram,NA,NA,NA,NA,NA
28,0.17,0.02,0.29,0.29,0.21,0.15,0.07,5,State,All,All Households,state,99,nagaland,Nagaland,NA,NA,NA,NA,NA
29,0.03,0,0,0.03,0.1,0.21,0.66,5,State,All,All Households,state,99,nct of delhi,Nct Of Delhi,NA,NA,NA,NA,NA
30,0.22,0.05,0.37,0.25,0.18,0.12,0.08,5,State,All,All Households,state,99,odisha,Odisha,NA,NA,NA,NA,NA
31,0.02,0,0.03,0.09,0.15,0.29,0.45,5,State,All,All Households,state,99,puducherry,Puducherry,NA,NA,NA,NA,NA
32,0.05,0.01,0.02,0.06,0.12,0.22,0.59,5,State,All,All Households,state,99,punjab,Punjab,NA,NA,NA,NA,NA
33,0.17,0.03,0.15,0.21,0.22,0.21,0.21,5,State,All,All Households,state,99,rajasthan,Rajasthan,NA,NA,NA,NA,NA
34,0.04,0,0.03,0.18,0.35,0.33,0.12,5,State,All,All Households,state,99,sikkim,Sikkim,NA,NA,NA,NA,NA
35,0.05,0,0.07,0.17,0.26,0.27,0.23,5,State,All,All Households,state,99,tamil nadu,Tamil Nadu,NA,NA,NA,NA,NA
36,0.08,0.01,0.07,0.19,0.28,0.26,0.2,5,State,All,All Households,state,99,telangana,Telangana,NA,NA,NA,NA,NA
37,0.17,0.03,0.33,0.32,0.22,0.1,0.03,5,State,All,All Households,state,99,tripura,Tripura,NA,NA,NA,NA,NA
38,0.23,0.06,0.26,0.24,0.18,0.16,0.17,5,State,All,All Households,state,99,uttar pradesh,Uttar Pradesh,NA,NA,NA,NA,NA
39,0.1,0.01,0.07,0.19,0.21,0.21,0.32,5,State,All,All Households,state,99,uttarakhand,Uttarakhand,NA,NA,NA,NA,NA
40,0.16,0.03,0.34,0.25,0.19,0.14,0.08,5,State,All,All Households,state,99,west bengal,West Bengal,NA,NA,NA,NA,NA
41,0.26,0.09,NA,NA,NA,NA,NA,5,State,urban/rural,All Households,statesector,0,india,India,NA,NA,NA,NA,NA
42,0.08,0.03,NA,NA,NA,NA,NA,5,State,urban/rural,All Households,statesector,1,india,India,NA,NA,NA,NA,NA
43,0.06,0.01,0.13,0.22,0.3,0.27,0.08,5,State,urban/rural,All Households,statesector,0,andaman & nicobar islands,Andaman & Nicobar Islands,NA,NA,NA,NA,NA
44,0.01,0,0.01,0.06,0.21,0.41,0.3,5,State,urban/rural,All Households,statesector,1,andaman & nicobar islands,Andaman & Nicobar Islands,NA,NA,NA,NA,NA
45,0.1,0.01,0.09,0.26,0.36,0.23,0.06,5,State,urban/rural,All Households,statesector,0,andhra pradesh,Andhra Pradesh,NA,NA,NA,NA,NA
46,0.03,0,0.01,0.07,0.2,0.36,0.36,5,State,urban/rural,All Households,statesector,1,andhra pradesh,Andhra Pradesh,NA,NA,NA,NA,NA
47,0.16,0.03,0.28,0.35,0.23,0.11,0.03,5,State,urban/rural,All Households,statesector,0,arunachal pradesh,Arunachal Pradesh,NA,NA,NA,NA,NA
