,m_poor_1_33,g01_edu_1,g01_atten_1,g01_cm_1,g01_nutri_1,g01_elec_1,g01_toilet_1,g01_water_1,g01_house_1,g01_fuel_1,g01_asset_1,round,level,area,dem,SourceSheet,sector,state,StateName,head_age_cat,edu_group,head_gender,hhsize_cat,owns_land
1,0,0.08,0.01,0.01,0.18,0.01,0.23,0.06,0.32,0.33,0.07,5,National,All,All Households,allindia,99,india,India,NA,NA,NA,NA,NA
2,1,0.59,0.17,0.07,0.59,0.14,0.71,0.16,0.84,0.85,0.44,5,National,All,All Households,allindia,99,india,India,NA,NA,NA,NA,NA
3,NA,0.1,0.05,0.01,0.17,0.03,0.25,0.06,0.31,0.3,0.1,5,National,All,All Households,allindia,99,india,India,NA,NA,NA,NA,NA
4,0,0.09,0.01,0.01,0.2,0.02,0.27,0.07,0.42,0.47,0.09,5,National,urban/rural,All Households,indiasector,0,india,India,NA,NA,NA,NA,NA
5,1,0.58,0.16,0.07,0.59,0.14,0.72,0.17,0.86,0.88,0.45,5,National,urban/rural,All Households,indiasector,0,india,India,NA,NA,NA,NA,NA
6,NA,0.16,0.06,0.01,0.2,0.04,0.35,0.09,0.52,0.55,0.15,5,National,urban/rural,All Households,indiasector,0,india,India,NA,NA,NA,NA,NA
7,0,0.06,0.01,0.01,0.16,0,0.17,0.02,0.13,0.08,0.05,5,National,urban/rural,All Households,indiasector,1,india,India,NA,NA,NA,NA,NA
8,1,0.64,0.26,0.11,0.62,0.12,0.61,0.09,0.58,0.54,0.39,5,National,urban/rural,All Households,indiasector,1,india,India,NA,NA,NA,NA,NA
9,NA,0.05,0.03,0.01,0.09,0.01,0.15,0.02,0.1,0.05,0.04,5,National,urban/rural,All Households,indiasector,1,india,India,NA,NA,NA,NA,NA
10,0,0.1,0.01,0,0.19,0.01,0.28,0.04,0.36,0.36,0.07,5,State,All,All Households,state,99,india,India,NA,NA,NA,NA,NA
11,1,0.68,0.17,0.06,0.67,0.12,0.73,0.08,0.86,0.78,0.38,5,State,All,All Households,state,99,india,India,NA,NA,NA,NA,NA
12,NA,0.23,0.06,0.05,0,0.01,0.27,0.1,0.21,0.27,0.2,5,State,All,All Households,state,99,india,India,NA,NA,NA,NA,NA
13,0,0.08,0,0.01,0.11,0.01,0.1,0.04,0.28,0.13,0.07,5,State,All,All Households,state,99,andaman & nicobar islands,Andaman & Nicobar Islands,NA,NA,NA,NA,NA
