,m_poor_1_33,wi_cat1,wi_cat2,wi_cat3,wi_cat4,wi_cat5,check,year,round,level,area,dem,SourceSheet,sector,state,head_age_cat,edu_group,head_gender,hhsize_cat,own_house,agri_land
4,1,0.785743654,0.163789093,0.034343384,0.016123863,0,1,2019,5,State,All,All Households,state,99,Andaman and Nicobar Islands,NA,NA,NA,NA,NA,NA
40,1,0.820821226,0.150338903,0.02883984,0,0,1,2019,5,State,urban/rural,All Households,statesector,0,Andaman and Nicobar Islands,NA,NA,NA,NA,NA,NA
41,1,0.549611509,0.254331797,0.071391657,0.124665044,0,1,2019,5,State,urban/rural,All Households,statesector,1,Andaman and Nicobar Islands,NA,NA,NA,NA,NA,NA
127,1,0.536268711,0.389003426,0.074727848,0,0,1,2019,5,State,All,Age,state,99,Andaman and Nicobar Islands,15 to 29,NA,NA,NA,NA,NA
128,1,0.841525674,0.11409574,0.04437859,0,0,1,2019,5,State,All,Age,state,99,Andaman and Nicobar Islands,30 to 45,NA,NA,NA,NA,NA
129,1,0.82610631,0.117829412,0.016094515,0.039969794,0,1,2019,5,State,All,Age,state,99,Andaman and Nicobar Islands,46 to 64,NA,NA,NA,NA,NA
130,1,0.75944078,0.207039222,0.033519987,0,0,1,2019,5,State,All,Age,state,99,Andaman and Nicobar Islands,65+,NA,NA,NA,NA,NA
289,1,0.69730711,0.169923276,0.132769585,0,0,1,2019,5,State,urban/rural,Age,statesector,0,Andaman and Nicobar Islands,15 to 29,NA,NA,NA,NA,NA
290,1,0.852432966,0.132100314,0.01546673,0,0,1,2019,5,State,urban/rural,Age,statesector,0,Andaman and Nicobar Islands,30 to 45,NA,NA,NA,NA,NA
291,1,0.851437747,0.13070856,0.0178537,0,0,1,2019,5,State,urban/rural,Age,statesector,0,Andaman and Nicobar Islands,46 to 64,NA,NA,NA,NA,NA
292,1,0.75944078,0.207039222,0.033519987,0,0,1,2019,5,State,urban/rural,Age,statesector,0,Andaman and Nicobar Islands,65+,NA,NA,NA,NA,NA
293,1,0.328934252,0.671065748,0,0,0,1,2019,5,State,urban/rural,Age,statesector,1,Andaman and Nicobar Islands,15 to 29,NA,NA,NA,NA,NA
294,1,0.772405803,0,0.227594212,0,0,1,2019,5,State,urban/rural,Age,statesector,1,Andaman and Nicobar Islands,30 to 45,NA,NA,NA,NA,NA
295,1,0.594352484,0,0,0.405647516,0,1,2019,5,State,urban/rural,Age,statesector,1,Andaman and Nicobar Islands,46 to 64,NA,NA,NA,NA,NA
602,1,0.80015105,0.19984895,0,0,0,1,2019,5,State,All,Education,state,99,Andaman and Nicobar Islands,NA,No education / Preschool,NA,NA,NA,NA
603,1,0.706101418,0.169805601,0.071593031,0.052499928,0,1,2019,5,State,All,Education,state,99,Andaman and Nicobar Islands,NA,Primary,NA,NA,NA,NA
604,1,0.850192606,0.107099548,0.042707864,0,0,1,2019,5,State,All,Education,state,99,Andaman and Nicobar Islands,NA,Secondary,NA,NA,NA,NA
763,1,0.871157825,0.12884216,0,0,0,1,2019,5,State,urban/rural,Education,statesector,0,Andaman and Nicobar Islands,NA,No education / Preschool,NA,NA,NA,NA
764,1,0.7696473,0.185087338,0.045265343,0,0,1,2019,5,State,urban/rural,Education,statesector,0,Andaman and Nicobar Islands,NA,Primary,NA,NA,NA,NA
765,1,0.801392674,0.141987324,0.056619991,0,0,1,2019,5,State,urban/rural,Education,statesector,0,Andaman and Nicobar Islands,NA,Secondary,NA,NA,NA,NA
766,1,0,1,0,0,0,1,2019,5,State,urban/rural,Education,statesector,1,Andaman and Nicobar Islands,NA,No education / Preschool,NA,NA,NA,NA
767,1,0,0,0.364137799,0.635862172,0,1,2019,5,State,urban/rural,Education,statesector,1,Andaman and Nicobar Islands,NA,Primary,NA,NA,NA,NA
768,1,1,0,0,0,0,1,2019,5,State,urban/rural,Education,statesector,1,Andaman and Nicobar Islands,NA,Secondary,NA,NA,NA,NA
1067,1,0.820756137,0.139653891,0.039589971,0,0,1,2019,5,State,All,Gender,state,99,Andaman and Nicobar Islands,NA,NA,1,NA,NA,NA
1068,1,0.556557119,0.321774572,0,0.121668302,0,1,2019,5,State,All,Gender,state,99,Andaman and Nicobar Islands,NA,NA,2,NA,NA,NA
1158,1,0.849705458,0.117004082,0.033290453,0,0,1,2019,5,State,urban/rural,Gender,statesector,0,Andaman and Nicobar Islands,NA,NA,1,NA,NA,NA
