,m_poor_1_33,g01_edu_1,g01_atten_1,g01_cm_1,g01_nutri_1,g01_elec_1,g01_toilet_1,g01_water_1,g01_house_1,g01_fuel_1,g01_asset_1,year,round,level,area,dem,SourceSheet,sector,StateName,head_age_cat,edu_group,head_gender,hhsize_cat,own_house,agri_land
7,0,0.045048546,0.003681614,0.008241184,0.136151955,0.012014301,0.099364102,0.037952326,0.280648947,0.133849919,0.056288373,2019,5,State,All,All Households,state,99,Andaman and Nicobar Islands,NA,NA,NA,NA,NA,NA
8,1,0.432114005,0.074395195,0.032624252,0.540086389,0.358609676,0.695869088,0.379764527,0.838647068,0.770698667,0.673111677,2019,5,State,All,All Households,state,99,Andaman and Nicobar Islands,NA,NA,NA,NA,NA,NA
79,0,0.053019077,0.003319432,0.00563787,0.120453708,0.019344846,0.086539604,0.049544591,0.39824608,0.210909128,0.070479505,2019,5,State,urban/rural,All Households,statesector,0,Andaman and Nicobar Islands,NA,NA,NA,NA,NA,NA
80,1,0.429399341,0.085446648,0.037470605,0.471765935,0.3487553,0.742940724,0.400186777,0.900102556,0.830675304,0.691457748,2019,5,State,urban/rural,All Households,statesector,0,Andaman and Nicobar Islands,NA,NA,NA,NA,NA,NA
81,0,0.031985346,0.004275207,0.012507852,0.161880359,0,0.120382659,0.018953336,0.08791472,0.007554749,0.033030011,2019,5,State,urban/rural,All Households,statesector,1,Andaman and Nicobar Islands,NA,NA,NA,NA,NA,NA
82,1,0.450388491,0,0,1,0.424946457,0.378996849,0.242287919,0.424946457,0.366952956,0.549611509,2019,5,State,urban/rural,All Households,statesector,1,Andaman and Nicobar Islands,NA,NA,NA,NA,NA,NA
253,0,0.039246358,0.003727428,0.01731525,0.252951682,0.006483885,0.150034755,0.031330824,0.21653533,0.063613109,0.132442594,2019,5,State,All,Age,state,99,Andaman and Nicobar Islands,15 to 29,NA,NA,NA,NA,NA
254,1,0.293364048,0.031982876,0,0.976508677,0.046580907,0.968017101,0.172947019,0.370037913,0.631908119,0.360089332,2019,5,State,All,Age,state,99,Andaman and Nicobar Islands,15 to 29,NA,NA,NA,NA,NA
255,0,0.019929048,0.004724417,0.007270163,0.138132095,0.020059643,0.124298654,0.031536393,0.269877732,0.134994075,0.063504972,2019,5,State,All,Age,state,99,Andaman and Nicobar Islands,30 to 45,NA,NA,NA,NA,NA
256,1,0.320584714,0.119976938,0.030697068,0.656000614,0.341306984,0.63634634,0.280074954,0.942743242,0.795303106,0.755082309,2019,5,State,All,Age,state,99,Andaman and Nicobar Islands,30 to 45,NA,NA,NA,NA,NA
257,0,0.046536636,0.004244108,0.008173502,0.129253924,0.008517878,0.090518951,0.045038041,0.268718153,0.13544783,0.049224503,2019,5,State,All,Age,state,99,Andaman and Nicobar Islands,46 to 64,NA,NA,NA,NA,NA
258,1,0.466201514,0.060881071,0.042699732,0.464774489,0.47319296,0.653888464,0.454765201,0.823144794,0.730641603,0.745286644,2019,5,State,All,Age,state,99,Andaman and Nicobar Islands,46 to 64,NA,NA,NA,NA,NA
