sector,State,mpi_edu,mpi_att,mpi_cm,mpi_nutri,mpi_elec,mpi_toilet,mpi_water,mpi_fuel,mpi_asset,level,area,bpl,aadhar,household_has_preg_benefits,household_health_met,household_angan_benefits,dem,food_pds_subs,kerosene_pds_subs,food_pds_free,lpg_subs,elec_free,pmjay_ben,pmjay_ben_avail,real_wage_23,JQdim365,JQdim215,POV_365,POV_215,lf_cws,emp_cws,unpaid_emp,unemp_cws,neet,lfpr_female,unemp_female,m_poor_1_33_2019,m_poor_1_20_2019,m_poor_1_33_2015,m_poor_1_20_2015,poor_300_2011,poor_420_2011,poor_300_2022,poor_420_2022,poor_300_2023,poor_420_2023,fhiscore,rank202223,totalgva,india_gva,state_share_india,welfare_agg21_sp,india_welfare,welfare_pct_india
Rural,Andaman and Nicobar Islands,7.210618258,0.748429121,0.725218002,13.82695585,3.605000302,11.9827196,6.732645631,24.23388809,10.19707248,State,urban/rural,0.154091269,0.99747932,0.146831959,0.151558414,0.156682521,All Households,0.710830629,0,0.088147938,0.170322657,0.002043826,0.007767471,0.003894517,17514.29,1.438520789,1.513373494,0.254701346,0.22395356,0.673965335,0.60092181,0.240437016,0.108378798,0.366824478,0.50933063,0.153264791,0.051,0.17,0.112717837,0.27000001,0.004800545,0.049372863,0.000277103,0.006295634,0.011018188,0.063195728,,,37363.211,93310664,0.040041737,5485.1509,,155.96565
Urban,Andaman and Nicobar Islands,3.735733032,0.422031665,1.234726049,17.26411879,0.545599731,12.370307,2.182078734,1.216915529,3.966253251,State,urban/rural,0.086228877,0.99810034,0.165482417,0.103530556,0.15369302,All Households,0.724663436,0,0.015706427,0.102277778,0,0,0,19940.39,1.894384742,1.945632935,0.106430307,0.061935619,0.569713116,0.496369481,0.024036385,0.128737837,0.288510978,0.313720435,0.24515748,0.013,0.090000004,0.009654292,0.07,0,0.008232746,0.000807779,0.007518909,0.003825937,0.011618746,,,37363.211,93310664,0.040041737,6321.6401,,179.75053
All,Andaman and Nicobar Islands,5.925681442,0.627734466,0.913622975,15.09794444,2.473700605,12.1260412,5.049945414,15.72271436,7.893051952,State,All,0.129988015,0.997699916,0.154191837,0.132506743,0.155502796,All Households,0.716393471,0,0.05901562,0.142958447,0.001221902,0.004643786,0.002328339,18512.87,1.624403238,1.689631104,0.194242552,0.157889336,0.627781034,0.55460459,0.154636651,0.116563715,0.328423113,0.422013938,0.183757976,0.037,0.14,0.069000579,0.18000001,0.003092386,0.034734141,0.000485943,0.006777036,0.008091665,0.042209085,,,37363.211,93310664,0.040041737,5775.7959,,164.2299
Rural,Andhra Pradesh,18.73728484,1.484153792,1.430220623,24.94647056,0.603499496,28.06687951,11.72518507,21.894072,9.910626709,State,urban/rural,0.945261121,0.99473089,0.280996561,0.242983192,0.262054533,All Households,0.818353832,0,0.813259959,0.474496633,0.207376719,0.823623538,0.035463493,12014.64453,1.009328365,1.177202225,0.327214837,0.19079347,0.59960866,0.5516451,0.150324896,0.079991445,0.316325247,0.439673722,0.08647006,0.094,0.28999999,0.197239131,0.44,0.13408615,0.41939655,0.009290282,0.10105235,0.010842919,0.052605674,20.9,17,4742670.5,93310664,5.0826674,4212.2813,,119.77268
Urban,Andhra Pradesh,8.947671205,1.021719631,0.90413224,18.32748055,0.465313112,10.75338274,3.13712731,2.666389942,3.952440992,State,urban/rural,0.790307105,0.996125758,0.221015498,0.135113984,0.196956515,All Households,0.602433145,0,0.578925788,0.467707038,0.054601464,0.695502579,0.03076439,15199.27148,1.453413844,1.658478022,0.259074748,0.125438556,0.500762522,0.460877568,0.072486185,0.07964848,0.299515545,0.286530137,0.083377823,0.025,0.090000004,0.057397518,0.2,0.10554801,0.32981074,0.015801989,0.077188797,0.003879331,0.035007801,20.9,17,4742670.5,93310664,5.0826674,4608.5288,,131.03966
All,Andhra Pradesh,15.79929143,1.345371176,1.272334531,22.96002358,0.562027935,22.87086993,9.147794545,16.12358838,8.122495562,State,All,0.897868395,0.99515748,0.262593567,0.209581509,0.242081597,All Households,0.748588741,0,0.737545371,0.472302884,0.158014238,0.78222698,0.033945188,12713.20117,1.127057433,1.304790735,0.309150577,0.173467591,0.569560707,0.524052918,0.129515395,0.07989978,0.310960799,0.392923027,0.085781686,0.073,0.23,0.156308576,0.37,0.12643299,0.395372,0.011321256,0.093609408,0.00866147,0.047092877,20.9,17,4742670.5,93310664,5.0826674,4332.0566,,123.17839
Rural,Arunachal Pradesh,15.68233073,5.368685722,1.079676393,17.4727574,6.062326953,16.6283235,7.430014759,54.6408236,16.00898057,State,urban/rural,0.641738296,0.980033696,0.133490309,0.190475166,0.176282957,All Households,0.206671059,0.001794417,0.630491078,0.163715973,0.008477488,0.205758736,0.024273785,10897.40332,1.009446979,1.140969753,0.435199499,0.335791886,0.746586323,0.707815111,0.227106631,0.051931296,0.149760023,0.695746005,0.046565998,0.147,0.34,0.297157258,0.51999998,0.38982284,0.61134034,0.11772633,0.29322305,0.027343733,0.12766744,,,144090.41,93310664,0.15442008,3744.488,,106.47137
Urban,Arunachal Pradesh,5.781912804,4.419096187,1.255870052,15.8773303,0.510969711,20.14976442,1.904067956,11.53619811,4.688035324,State,urban/rural,0.408069581,0.987059832,0.061154861,0.098446101,0.088707395,All Households,0.278784424,0,0.23172003,0.135483533,0.003258644,0.1082315,0.016279897,20569.85156,1.718633413,1.799607396,0.208399579,0.148887336,0.599802256,0.522999227,0.075570248,0.128047273,0.263769209,0.45626843,0.182771817,0.045,0.17,0.06847436,0.20999999,0.23098852,0.40631664,0.011155266,0.10708218,0.003078757,0.035558,,,144090.41,93310664,0.15442008,5134.7476,,146.00223
All,Arunachal Pradesh,14.20065165,5.226571858,1.106045209,17.23398864,5.231520906,17.15533584,6.603011489,48.18986356,14.31470811,State,All,0.604825079,0.981143653,0.122517541,0.175747722,0.162998363,All Households,0.222719997,0.001395066,0.541743994,0.157432809,0.007316026,0.184053913,0.022494733,12331.94434,1.094183803,1.219666839,0.408100396,0.313459665,0.722114205,0.677002251,0.207589298,0.062472019,0.170142278,0.654197812,0.063047394,0.132,0.31999999,0.243452907,0.44999999,0.35982215,0.57261539,0.097927824,0.25864226,0.023218639,0.11200865,,,144090.41,93310664,0.15442008,3905.7563,,111.05691
Rural,Assam,13.29647303,4.658860341,1.884962618,33.35475922,8.513425291,31.71972334,15.91256708,66.98818207,16.05406553,State,urban/rural,0.539497375,0.182003871,0.329746276,0.401210725,0.327004164,All Households,0.629650712,0.000340133,0.252939999,0.245449618,0.020253219,0.616993248,0.013488056,10361.36426,0.930929244,1.160731673,0.363147259,0.224458575,0.650843263,0.618754506,0.113649972,0.049303375,0.283624858,0.467557341,0.064436831,0.237,0.46000001,0.400490254,0.61000001,0.38741955,0.75035632,0.094715394,0.38775709,0.04440695,0.27539548,,,1831232.5,93310664,1.9625115,2942.7725,,83.67527
