sector,State,m_poor_1_33_2019,m_poor_1_20_2019,m_poor_1_33_2015,m_poor_1_20_2015,mpi_edu,mpi_att,mpi_cm,mpi_nutri,mpi_elec,mpi_toilet,mpi_water,mpi_fuel,mpi_asset,level,area,bpl,aadhar,household_has_preg_benefits,household_health_met,household_angan_benefits,dem,food_pds_subs,kerosene_pds_subs,food_pds_free,lpg_subs,elec_free,pmjay_ben,pmjay_ben_avail,real_wage_23,JQdim365,JQdim215,POV_365,POV_215,lf_cws,emp_cws,unpaid_emp,unemp_cws,neet,lfpr_female,unemp_female,poor_300_2011,poor_420_2011,poor_300_2022,poor_420_2022,poor_300_2023,poor_420_2023,fhiscore,rank202223,totalgva,india_gva,state_share_india,welfare_agg21_sp,india_welfare,welfare_pct_india
Rural,Andaman and Nicobar Islands,0.050000001,0.17,0.11,0.27000001,7.210618258,0.748429121,0.725218002,13.82695585,3.605000302,11.9827196,6.732645631,24.23388809,10.19707248,State,urban/rural,0.154091269,0.99747932,0.146831959,0.151558414,0.156682521,All Households,0.79991293,0,0.094992392,0.19158037,0.005366292,0.007914013,0.004846729,17514.29,1.438520789,1.513373494,0.254701346,0.22395356,0.673965335,0.60092181,0.240437016,0.108378798,0.366824478,0.50933063,0.153264791,0,0.050000001,0,0.01,0.004321784,0.040939081,,,37363.211,93310664,0.040041737,5485.1509,,155.96565
Urban,Andaman and Nicobar Islands,0.01,0.090000004,0.01,0.07,3.735733032,0.422031665,1.234726049,17.26411879,0.545599731,12.370307,2.182078734,1.216915529,3.966253251,State,urban/rural,0.086228877,0.99810034,0.165482417,0.103530556,0.15369302,All Households,0.759238541,0,0.020998474,0.115906201,0,0,0,19940.39,1.894384742,1.945632935,0.106430307,0.061935619,0.569713116,0.496369481,0.024036385,0.128737837,0.288510978,0.313720435,0.24515748,0,0.01,0,0.01,0.002675123,0.008123912,,,37363.211,93310664,0.040041737,6321.6401,,179.75053
All,Andaman and Nicobar Islands,0.039999999,0.14,0.07,0.18000001,5.925681442,0.627734466,0.913622975,15.09794444,2.473700605,12.1260412,5.049945414,15.72271436,7.893051952,State,All,0.129988015,0.997699916,0.154191837,0.132506743,0.155502796,All Households,0.783362567,0,0.064884305,0.160788596,0.003182751,0.004693806,0.002874598,18512.87,1.624403238,1.689631104,0.194242552,0.157889336,0.627781034,0.55460459,0.154636651,0.116563715,0.328423113,0.422013938,0.183757976,0,0.029999999,0,0.01,0.00365958,0.027742475,,,37363.211,93310664,0.040041737,5775.7959,,164.2299
Rural,Andhra Pradesh,0.090000004,0.28999999,0.2,0.44,18.73728484,1.484153792,1.430220623,24.94647056,0.603499496,28.06687951,11.72518507,21.894072,9.910626709,State,urban/rural,0.945261121,0.99473089,0.280996561,0.242983192,0.262054533,All Households,0.839470148,0,0.838132143,0.496969193,0.20997785,0.818694711,0.0449064,12014.64453,1.009328365,1.177202225,0.327214837,0.19079347,0.59960866,0.5516451,0.150324896,0.079991445,0.316325247,0.439673722,0.08647006,0.13,0.41999999,0.01,0.1,0.018144647,0.055155125,20.9,17,4742670.5,93310664,5.0826674,4212.2813,,119.77268
Urban,Andhra Pradesh,0.02,0.090000004,0.059999999,0.2,8.947671205,1.021719631,0.90413224,18.32748055,0.465313112,10.75338274,3.13712731,2.666389942,3.952440992,State,urban/rural,0.790307105,0.996125758,0.221015498,0.135113984,0.196956515,All Households,0.6657511,0,0.640767992,0.508157492,0.045606915,0.716159105,0.036838546,15199.27148,1.453413844,1.658478022,0.259074748,0.125438556,0.500762522,0.460877568,0.072486185,0.07964848,0.299515545,0.286530137,0.083377823,0.11,0.33000001,0.02,0.079999998,0.003832552,0.030676335,20.9,17,4742670.5,93310664,5.0826674,4608.5288,,131.03966
All,Andhra Pradesh,0.07,0.23,0.16,0.37,15.79929143,1.345371176,1.272334531,22.96002358,0.562027935,22.87086993,9.147794545,16.12358838,8.122495562,State,All,0.897868395,0.99515748,0.262593567,0.209581509,0.242081597,All Households,0.785050035,0,0.776304841,0.500474095,0.158486187,0.786573887,0.042379022,12713.20117,1.127057433,1.304790735,0.309150577,0.173467591,0.569560707,0.524052918,0.129515395,0.07989978,0.310960799,0.392923027,0.085781686,0.13,0.40000001,0.01,0.090000004,0.013520333,0.047245897,20.9,17,4742670.5,93310664,5.0826674,4332.0566,,123.17839
Rural,Arunachal Pradesh,0.15000001,0.34,0.30000001,0.51999998,15.68233073,5.368685722,1.079676393,17.4727574,6.062326953,16.6283235,7.430014759,54.6408236,16.00898057,State,urban/rural,0.641738296,0.980033696,0.133490309,0.190475166,0.176282957,All Households,0.207054496,0.001379367,0.656261981,0.170169801,0.008723289,0.228804782,0.025740648,10897.40332,1.009446979,1.140969753,0.435199499,0.335791886,0.746586323,0.707815111,0.227106631,0.051931296,0.149760023,0.695746005,0.046565998,0.38999999,0.61000001,0.12,0.28999999,0.0173195,0.090907253,,,144090.41,93310664,0.15442008,3744.488,,106.47137
Urban,Arunachal Pradesh,0.039999999,0.17,0.07,0.20999999,5.781912804,4.419096187,1.255870052,15.8773303,0.510969711,20.14976442,1.904067956,11.53619811,4.688035324,State,urban/rural,0.408069581,0.987059832,0.061154861,0.098446101,0.088707395,All Households,0.335795373,0,0.269570887,0.139514253,0.004840468,0.121449143,0.019860545,20569.85156,1.718633413,1.799607396,0.208399579,0.148887336,0.599802256,0.522999227,0.075570248,0.128047273,0.263769209,0.45626843,0.182771817,0.23,0.41,0.01,0.11,0.001499878,0.018452274,,,144090.41,93310664,0.15442008,5134.7476,,146.00223
All,Arunachal Pradesh,0.13,0.31999999,0.23999999,0.44999999,14.20065165,5.226571858,1.106045209,17.23398864,5.231520906,17.15533584,6.603011489,48.18986356,14.31470811,State,All,0.604825079,0.981143653,0.122517541,0.175747722,0.162998363,All Households,0.22894071,0.001144872,0.59052372,0.164958298,0.008063201,0.210554108,0.024741018,12331.94434,1.094183803,1.219666839,0.408100396,0.313459665,0.722114205,0.677002251,0.207589298,0.062472019,0.170142278,0.654197812,0.063047394,0.36000001,0.56999999,0.1,0.25999999,0.013798821,0.074782297,,,144090.41,93310664,0.15442008,3905.7563,,111.05691
Rural,Assam,0.23999999,0.46000001,0.40000001,0.61000001,13.29647303,4.658860341,1.884962618,33.35475922,8.513425291,31.71972334,15.91256708,66.98818207,16.05406553,State,urban/rural,0.539497375,0.182003871,0.329746276,0.401210725,0.327004164,All Households,0.631284356,0.000406876,0.264096111,0.257556021,0.022588637,0.624068856,0.015417175,10361.36426,0.930929244,1.160731673,0.363147259,0.224458575,0.650843263,0.618754506,0.113649972,0.049303375,0.283624858,0.467557341,0.064436831,0.38999999,0.75,0.090000004,0.38999999,0.032406896,0.21652122,,,1831232.5,93310664,1.9625115,2942.7725,,83.67527
