statename,sector,sector_type,wealth_index,bpl,aadhar,health_insu_govt,household_has_preg_benefits,household_has_preg_fin,household_health_met,household_angan_benefits,household_angan_immun,household_angan_ecc,round,year,dem
Andaman & Nicobar Islands,0,Rural,1,0.22,0.99,0.00,0.17,0.03,0.20,0.22,0.12,0.12,5,2019,All Households
Andaman & Nicobar Islands,0,Rural,2,0.28,1.00,0.01,0.17,0.04,0.16,0.18,0.08,0.11,5,2019,All Households
Andaman & Nicobar Islands,0,Rural,3,0.15,1.00,0.01,0.16,0.01,0.15,0.17,0.08,0.10,5,2019,All Households
Andaman & Nicobar Islands,0,Rural,4,0.06,1.00,0.02,0.13,0.01,0.13,0.14,0.05,0.10,5,2019,All Households
Andaman & Nicobar Islands,0,Rural,5,0.05,1.00,0.03,0.10,0.01,0.13,0.07,0.02,0.02,5,2019,All Households
Andaman & Nicobar Islands,1,Urban,1,0.24,1.00,0.00,0.00,0.00,0.27,0.00,0.00,0.00,5,2019,All Households
Andaman & Nicobar Islands,1,Urban,2,0.06,0.97,0.00,0.37,0.00,0.24,0.45,0.26,0.31,5,2019,All Households
Andaman & Nicobar Islands,1,Urban,3,0.10,1.00,0.00,0.15,0.00,0.10,0.18,0.08,0.12,5,2019,All Households
Andaman & Nicobar Islands,1,Urban,4,0.12,1.00,0.00,0.20,0.00,0.11,0.15,0.04,0.07,5,2019,All Households
Andaman & Nicobar Islands,1,Urban,5,0.03,1.00,0.01,0.10,0.00,0.07,0.10,0.04,0.07,5,2019,All Households
Andaman & Nicobar Islands,99,All,1,0.22,0.99,0.00,0.16,0.03,0.21,0.21,0.12,0.11,5,2019,All Households
Andaman & Nicobar Islands,99,All,2,0.25,0.99,0.01,0.20,0.04,0.17,0.21,0.11,0.13,5,2019,All Households
Andaman & Nicobar Islands,99,All,3,0.14,1.00,0.01,0.15,0.01,0.13,0.17,0.08,0.11,5,2019,All Households
Andaman & Nicobar Islands,99,All,4,0.09,1.00,0.01,0.16,0.01,0.12,0.14,0.05,0.09,5,2019,All Households
Andaman & Nicobar Islands,99,All,5,0.03,1.00,0.02,0.10,0.00,0.09,0.09,0.03,0.05,5,2019,All Households
Andaman & Nicobar Islands,0,Rural,1,0.16,0.27,0.00,0.29,0.01,0.21,0.37,0.06,0.25,4,2015,All Households
Andaman & Nicobar Islands,0,Rural,2,0.19,0.31,0.00,0.19,0.00,0.15,0.17,0.03,0.09,4,2015,All Households
Andaman & Nicobar Islands,0,Rural,3,0.24,0.36,0.01,0.21,0.00,0.16,0.21,0.08,0.13,4,2015,All Households
Andaman & Nicobar Islands,0,Rural,4,0.16,0.54,0.01,0.22,0.03,0.16,0.18,0.07,0.11,4,2015,All Households
Andaman & Nicobar Islands,0,Rural,5,0.08,0.63,0.03,0.15,0.03,0.18,0.15,0.05,0.09,4,2015,All Households
Andaman & Nicobar Islands,1,Urban,1,0.25,0.75,0.00,0.25,0.00,0.25,0.25,0.00,0.00,4,2015,All Households
Andaman & Nicobar Islands,1,Urban,2,0.05,0.94,0.00,0.23,0.00,0.21,0.25,0.25,0.25,4,2015,All Households
