,State,Year,level,area,dem,real_wage_23,quint_label,sector,Sector_Type,Group,sex_cat,youth_cat,cws_type,emp_type
17921,Uttar Pradesh,2018,State,urban/rural,Youth,385.76,Total,0,Rural,Youth,NA,NA,NA,NA
18296,Uttar Pradesh,2018,State,urban/rural,Youth,385.76,Total,0,Rural,Youth,NA,NA,NA,NA
30736,Uttar Pradesh,2018,State,urban/rural,CWS Type,385.76,Total,0,Rural,CWSType,NA,NA,NA,NA
31248,Uttar Pradesh,2018,State,urban/rural,CWS Type,385.76,Total,0,Rural,CWSType,NA,NA,NA,NA
19052,Rajasthan,2019,State,All,Youth,642.38,Total,99,All,Youth,NA,NA,NA,NA
19237,Rajasthan,2019,State,All,Youth,642.38,Total,99,All,Youth,NA,NA,NA,NA
19632,Rajasthan,2019,State,urban/rural,Youth,642.38,Total,0,Rural,Youth,NA,NA,NA,NA
19989,Rajasthan,2019,State,urban/rural,Youth,642.38,Total,0,Rural,Youth,NA,NA,NA,NA
32330,Rajasthan,2019,State,All,CWS Type,642.38,Total,99,All,CWSType,NA,NA,NA,NA
32587,Rajasthan,2019,State,All,CWS Type,642.38,Total,99,All,CWSType,NA,NA,NA,NA
33158,Rajasthan,2019,State,urban/rural,CWS Type,642.38,Total,0,Rural,CWSType,NA,NA,NA,NA
33644,Rajasthan,2019,State,urban/rural,CWS Type,642.38,Total,0,Rural,CWSType,NA,NA,NA,NA
24126,Tamil Nadu,2022,State,All,Youth,662.9,Total,99,All,Youth,NA,NA,NA,NA
24540,Tamil Nadu,2022,State,All,Youth,662.9,Total,99,All,Youth,NA,NA,NA,NA
24768,Tamil Nadu,2022,State,urban/rural,Youth,662.9,Total,0,Rural,Youth,NA,NA,NA,NA
25579,Tamil Nadu,2022,State,urban/rural,Youth,662.9,Total,0,Rural,Youth,NA,NA,NA,NA
39516,Tamil Nadu,2022,State,All,CWS Type,662.9,Total,99,All,CWSType,NA,NA,NA,NA
40111,Tamil Nadu,2022,State,All,CWS Type,662.9,Total,99,All,CWSType,NA,NA,NA,NA
40419,Tamil Nadu,2022,State,urban/rural,CWS Type,662.9,Total,0,Rural,CWSType,NA,NA,NA,NA
41583,Tamil Nadu,2022,State,urban/rural,CWS Type,662.9,Total,0,Rural,CWSType,NA,NA,NA,NA
39239,Kerala,2021,State,urban/rural,CWS Type,672.01,1,1,Urban,CWSType,NA,NA,1,NA
17328,Haryana,2018,State,All,Youth,679.74,Total,99,All,Youth,NA,NA,NA,NA
17493,Haryana,2018,State,All,Youth,679.74,Total,99,All,Youth,NA,NA,NA,NA
17906,Haryana,2018,State,urban/rural,Youth,679.74,Total,1,Urban,Youth,NA,NA,NA,NA
18234,Haryana,2018,State,urban/rural,Youth,679.74,Total,1,Urban,Youth,NA,NA,NA,NA
29894,Haryana,2018,State,All,CWS Type,679.74,Total,99,All,CWSType,NA,NA,NA,NA
30121,Haryana,2018,State,All,CWS Type,679.74,Total,99,All,CWSType,NA,NA,NA,NA
30716,Haryana,2018,State,urban/rural,CWS Type,679.74,Total,1,Urban,CWSType,NA,NA,NA,NA
31163,Haryana,2018,State,urban/rural,CWS Type,679.74,Total,1,Urban,CWSType,NA,NA,NA,NA
11083,Lakshadweep,2020,State,urban/rural,Sex,879.4,1,1,Urban,Gender,2,NA,NA,NA
36893,Lakshadweep,2020,State,urban/rural,CWS Type,879.4,1,1,Urban,CWSType,NA,NA,1,NA
24693,West Bengal,2022,State,urban/rural,Youth,889.98,Total,1,Urban,Youth,NA,NA,NA,NA
25280,West Bengal,2022,State,urban/rural,Youth,889.98,Total,1,Urban,Youth,NA,NA,NA,NA
40319,West Bengal,2022,State,urban/rural,CWS Type,889.98,Total,1,Urban,CWSType,NA,NA,NA,NA
41143,West Bengal,2022,State,urban/rural,CWS Type,889.98,Total,1,Urban,CWSType,NA,NA,NA,NA
9307,West Bengal,2019,State,urban/rural,Sex,893.24,1,0,Rural,Gender,2,NA,NA,NA
6299,West Bengal,2017,State,urban/rural,Sex,937.01,1,0,Rural,Gender,2,NA,NA,NA
