sector,State,mpi_edu,mpi_att,mpi_cm,mpi_nutri,mpi_elec,mpi_toilet,mpi_water,mpi_fuel,mpi_asset,bpl,aadhar,household_has_preg_benefits,household_health_met,household_angan_benefits,food_pds_subs,kerosene_pds_subs,food_pds_free,lpg_subs,elec_free,pmjay_ben,pmjay_ben_avail,real_wage_23,JQdim365,JQdim215,POV_365,POV_215,lf_cws,emp_cws,unpaid_emp,unemp_cws,neet,lfpr_female,unemp_female,m_poor_1_33_2019,m_poor_1_20_2019,m_poor_1_33_2015,m_poor_1_20_2015,poor_300_2011,poor_420_2011,poor_300_2022,poor_420_2022,fhiscore,rank202223,totalgva,state_share_india,welfare_agg21_sp,welfare_pct_india
Rural,Andaman and Nicobar Islands,7.210618258,0.748429121,0.725218002,13.82695585,3.605000302,11.9827196,6.732645631,24.23388809,10.19707248,0.154091269,0.99747932,0.146831959,0.151558414,0.156682521,0.804455876,0,0.003743825,0.107463002,0,0.003598354,0,17514.29,1.438520789,1.513373494,0.254701346,0.22395356,0.673965335,0.60092181,0.240437016,0.108378798,0.366824478,0.50933063,0.153264791,0.050000001,0.17,0.11,0.27000001,0,0.050000001,0,0.01,,,37363.211,0.040041737,4482.7388,160.0851
Urban,Andaman and Nicobar Islands,3.735733032,0.422031665,1.234726049,17.26411879,0.545599731,12.370307,2.182078734,1.216915529,3.966253251,0.086228877,0.99810034,0.165482417,0.103530556,0.15369302,0.524605811,0,0,0.154530481,0.009650447,0.005129694,0.005129694,19940.39,1.894384742,1.945632935,0.106430307,0.061935619,0.569713116,0.496369481,0.024036385,0.128737837,0.288510978,0.313720435,0.24515748,0.01,0.090000004,0.01,0.07,0,0.01,0,0.01,,,37363.211,0.040041737,5680.7461,202.86768
All,Andaman and Nicobar Islands,5.925681442,0.627734466,0.913622975,15.09794444,2.473700605,12.1260412,5.049945414,15.72271436,7.893051952,0.129988015,0.997699916,0.154191837,0.132506743,0.155502796,0.69432503,0,0.002270499,0.125985712,0.00379779,0.00420099,0.002018715,18512.87,1.624403238,1.689631104,0.194242552,0.157889336,0.627781034,0.55460459,0.154636651,0.116563715,0.328423113,0.422013938,0.183757976,0.039999999,0.14,0.07,0.18000001,0,0.029999999,0,0.01,,,37363.211,0.040041737,4979.811,177.83626
Rural,Andhra Pradesh,18.73728484,1.484153792,1.430220623,24.94647056,0.603499496,28.06687951,11.72518507,21.894072,9.910626709,0.945261121,0.99473089,0.280996561,0.242983192,0.262054533,0.870297194,0,0.551217794,0.423243433,0.210621268,0.690468729,0.040010612,12014.64453,1.009328365,1.177202225,0.327214837,0.19079347,0.59960866,0.5516451,0.150324896,0.079991445,0.316325247,0.439673722,0.08647006,0.090000004,0.28999999,0.2,0.44,0.13,0.41999999,0.01,0.1,20.9,17,4742670.5,5.0826674,3164.4302,113.00639
Urban,Andhra Pradesh,8.947671205,1.021719631,0.90413224,18.32748055,0.465313112,10.75338274,3.13712731,2.666389942,3.952440992,0.790307105,0.996125758,0.221015498,0.135113984,0.196956515,0.685347736,3.43414E-05,0.440947324,0.545005262,0.039691027,0.568490565,0.041463912,15199.27148,1.453413844,1.658478022,0.259074748,0.125438556,0.500762522,0.460877568,0.072486185,0.07964848,0.299515545,0.286530137,0.083377823,0.02,0.090000004,0.059999999,0.2,0.11,0.33000001,0.02,0.079999998,20.9,17,4742670.5,5.0826674,3766.9155,134.522
All,Andhra Pradesh,15.79929143,1.345371176,1.272334531,22.96002358,0.562027935,22.87086993,9.147794545,16.12358838,8.122495562,0.897868395,0.99515748,0.262593567,0.209581509,0.242081597,0.812612236,1.07109E-05,0.516824901,0.461220443,0.157308847,0.652424276,0.040463891,12713.20117,1.127057433,1.304790735,0.309150577,0.173467591,0.569560707,0.524052918,0.129515395,0.07989978,0.310960799,0.392923027,0.085781686,0.07,0.23,0.16,0.37,0.13,0.40000001,0.01,0.090000004,20.9,17,4742670.5,5.0826674,3312.4338,118.29182
Rural,Arunachal Pradesh,15.68233073,5.368685722,1.079676393,17.4727574,6.062326953,16.6283235,7.430014759,54.6408236,16.00898057,0.641738296,0.980033696,0.133490309,0.190475166,0.176282957,0.578016639,0.012063119,0.193791538,0.123426519,0.023586914,0.067321114,0.014952799,10897.40332,1.009446979,1.140969753,0.435199499,0.335791886,0.746586323,0.707815111,0.227106631,0.051931296,0.149760023,0.695746005,0.046565998,0.15000001,0.34,0.30000001,0.51999998,0.38999999,0.61000001,0.12,0.28999999,,,144090.41,0.15442008,2735.0879,97.67395
Urban,Arunachal Pradesh,5.781912804,4.419096187,1.255870052,15.8773303,0.510969711,20.14976442,1.904067956,11.53619811,4.688035324,0.408069581,0.987059832,0.061154861,0.098446101,0.088707395,0.373352587,0.0024895,0.100776009,0.028603744,0.003289626,0.012023154,0.00382757,20569.85156,1.718633413,1.799607396,0.208399579,0.148887336,0.599802256,0.522999227,0.075570248,0.128047273,0.263769209,0.45626843,0.182771817,0.039999999,0.17,0.07,0.20999999,0.23,0.41,0.01,0.11,,,144090.41,0.15442008,3841.3687,137.18085
All,Arunachal Pradesh,14.20065165,5.226571858,1.106045209,17.23398864,5.231520906,17.15533584,6.603011489,48.18986356,14.31470811,0.604825079,0.981143653,0.122517541,0.175747722,0.162998363,0.539994657,0.010284556,0.176511347,0.105810575,0.019816134,0.057047993,0.012885982,12331.94434,1.094183803,1.219666839,0.408100396,0.313459665,0.722114205,0.677002251,0.207589298,0.062472019,0.170142278,0.654197812,0.063047394,0.13,0.31999999,0.23999999,0.44999999,0.36000001,0.56999999,0.1,0.25999999,,,144090.41,0.15442008,2893.4348,103.32875
Rural,Assam,13.29647303,4.658860341,1.884962618,33.35475922,8.513425291,31.71972334,15.91256708,66.98818207,16.05406553,0.539497375,0.182003871,0.329746276,0.401210725,0.327004164,0.063703366,0.043741057,0.770801246,0.11809165,0.013900712,0.253161579,0.007043381,10361.36426,0.930929244,1.160731673,0.363147259,0.224458575,0.650843263,0.618754506,0.113649972,0.049303375,0.283624858,0.467557341,0.064436831,0.23999999,0.46000001,0.40000001,0.61000001,0.38999999,0.75,0.090000004,0.38999999,,,1831232.5,1.9625115,2366.9346,84.526665
