,Source, ,Country,,VariableName,VariableCode,,Year,,Calculation,,Period average,,1990.0,,Suggested peers,,,,,,Suggested peers
,\\Wbgmsstat002\PFR\TOOLS\Excel tool\Subnational\India, ,Gujarat,,TOTAL REVENUE,REV_TOTAL,,1990,,Period average,,Last available figure,,1991.0,,Customized groups,,Difference,,Difference,,Customised peers 1
,, ,,,TAX REVENUE (A+B),REV_TAX_I,,1991,,Last available figure,,,,1992.0,,,,Growth,,Growth,,Customised peers 2
,,,,,State's Own Tax Revenue (1 to 3),REV_TAX_I_A,,1992,,,,,,1993.0,,,,,,Percent,,
,,,,,Taxes on Income (i+ii),REV_TAX_I_A_1,,1993,,,,,,1994.0,,,,,,Difference of percents,,
,,,,,Agricultural Income Tax,REV_TAX_I_A_1_AI,,1994,,,,,,1995.0,,,,,,Incidence,,
,,,,,"Taxes on Professions, Trades, Callings and Employment",REV_TAX_I_A_1_PT,,1995,,,,,,1996.0,,,,,,,,
,,,,,Taxes on Property and Capital Transactions (i to iii),REV_TAX_I_A_2,,1996,,,,,,1997.0,,,,,,,,
,,,,,Land Revenue,REV_TAX_I_A_2_LR,,1997,,,,,,1998.0,,,,,,,,
,,,,,Stamps and Registration Fees,REV_TAX_I_A_2_SR,,1998,,,,,,1999.0,,,,,,,,
,,,,,Urban Immovable Property Tax,REV_TAX_I_A_2_UI,,1999,,,,,,2000.0,,,,,,,,
,,,,,Taxes on Commodities and Services (i to vii),REV_TAX_I_A_3,,2000,,,,,,2001.0,,,,,,,,
,,,,,Sales Tax (a to e),REV_TAX_I_A_3_ST,,2001,,,,,,2002.0,,,,,,,,
,,,,,Central Sales Tax,REV_TAX_I_A_3_CST,,2002,,,,,,2003.0,,,,,,,,
,,,,,State Sales Tax/VAT,REV_TAX_I_A_3_SST,,2003,,,,,,2004.0,,,,,,,,
,,,,,Sales Tax on Motor Spirit and Lubricants,REV_TAX_I_A_3_STM,,2004,,,,,,2005.0,,,,,,,,
,,,,,Surcharge on Sales Tax,REV_TAX_I_A_3_SS,,2005,,,,,,2006.0,,,,,,,,
,,,,,Receipts of Turnover Tax,REV_TAX_I_A_3_RT,,2006,,,,,,2007.0,,,,,,,,
,,,,,Other Receipts,REV_TAX_I_A_3_OR,,2007,,,,,,2008.0,,,,,,,,
,,,,,State Excise,REV_TAX_I_A_3_SE,,2008,,,,,,2009.0,,,,,,,,
,,,,,Taxes on Vehicles,REV_TAX_I_A_3_TV,,2009,,,,,,2010.0,,,,,,,,
,,,,,Taxes on Goods and Passengers,REV_TAX_I_A_3_TG,,2010,,,,,,2011.0,,,,,,,,
,,,,,Taxes and Duties on Electricity,REV_TAX_I_A_3_TE,,2011,,,,,,2012.0,,,,,,,,
,,,,,Entertainment Tax,REV_TAX_I_A_3_ET,,2012,,,,,,2013.0,,,,,,,,
,,,,,State Goods and Services Tax,REV_TAX_I_A_3_GS,,2013,,,,,,2014.0,,,,,,,,
,,,,,Other Taxes and Duties,REV_TAX_I_A_3_OT,,2014,,,,,,2015.0,,,,,,,,
,,,,,Share in Central Taxes (i to ix),REV_TAX_I_B,,2015,,,,,,2016.0,,,,,,,,
,,,,,Central Goods and Services Tax (CGST),REV_TAX_I_B_CG,,2016,,,,,,2017.0,,,,,,,,
,,,,,Corporation Tax,REV_TAX_I_B_CT,,2017,,,,,,2018.0,,,,,,,,
,,,,,Income Tax,REV_TAX_I_B_IT,,2018,,,,,,2019.0,,,,,,,,
