State,Variable,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
All States/UT,REV_TOTAL,66466.57,80535.7,91091.13,104996.78,120303.26,134506.87,150040.39,166820.06,172787.61,202926.81,237952.93,255675.17,280339.61,316535.49,372074.72,431021.12,530555.8,623747.54,694657.38,768136.26,935347.2,1098531.33,1252024.01,1369187.04,1591583.413,1832884.963,2046400.745,2321241.327,2620353.146,2670137.666,2586621.866,3225164.965,3654407.509,4210410.102,4673808.595
All States/UT,REV_TAX_I,44586.09,52603.91,60448.42,68268.69,78831.8,90801.78,103604.26,118699.05,125327.71,143272.61,168714.66,180311.93,198798.32,226999.34,267683.04,306331.54,372841.39,437948.17,482982.77,528074.58,680198.26,812987.24,946080.59,1030692.01,1117112.85,1353336.102,1520772.993,1735645.598,1961739.099,1874679.474,1767104.89,2355620.276,2711257.823,3132995.736,3558777.052
All States/UT,REV_TAX_I_A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All States/UT,REV_TAX_I_A_1,633.75,644.8,602.29,649.69,717.18,835.29,1010.51,1085.82,1420.92,1769.78,1970.56,3057.95,2162.45,2255.53,2348.57,2563.18,2861.63,3317.75,3554.1,3872.92,4176.14,4514.63,4848.05,5203.65,5335.981,5448.687566,5703.203507,5709.048844,6329.232049,6464.619518,6415.935697,6959.359864,7771.120117,9233.1176,9210.8
All States/UT,REV_TAX_I_A_1_AI,198.07,202.21,111.18,106.83,97.91,154.27,103.24,182.01,241.16,150.73,106.77,60.52,46.81,42.49,14.84,16.56,14.8,25.89,43.13,123.65,173.36,151.7,135.82,148.86,90.418919,54.1840655,33.542682,38.334644,9.9108844,9.7678547,-36.9939893,0.9124632,1.6319174,2.8793,3.3403
All States/UT,REV_TAX_I_A_1_PT,435.68,442.59,491.11,542.86,619.27,681.02,907.27,903.81,1179.76,1619.05,1863.79,2997.43,2115.64,2213.04,2333.73,2546.62,2846.83,3291.85,3510.98,3749.27,4002.78,4362.93,4712.24,5054.79,5245.5621,5394.5035,5669.660825,5670.7142,6319.321165,6454.851663,6452.929687,6958.447401,7769.4882,9230.2383,9207.4597
All States/UT,REV_TAX_I_A_2,2741.58,3313.73,3625.75,4303.36,6175.87,7147.27,7304.86,8196.33,8378.22,9512.89,11186.86,12984.32,15424.38,18221.75,22306.79,27667.14,35972.67,41459.96,41382.68,45121.25,60760.83,73100.01,85412.57,87499.84,94585.135,104659.5892,101028.8399,123825.0455,137935.5225,143229.234,140342.0326,188534.9179,227026.1375,259590.9315,298433.7077
All States/UT,REV_TAX_I_A_2_LR,607.3,635.9,616.69,732.35,1141.06,1325.69,1073.71,1090.56,1031.27,1069.07,1414.86,1717.52,1751.34,2188.14,2530.07,2716.25,3298.32,3968.75,4834.35,5149.41,7508.97,7076.79,8718.96,9014.79,8740.9347,10780.30648,11238.75069,12260.90065,11542.77272,11808.05113,12183.61148,15141.91586,17432.01489,22877.6953,21272.3349
All States/UT,REV_TAX_I_A_2_SR,2112.31,2653.93,2978.1,3535.05,4978.61,5770.08,6152.59,7025.58,7281.08,8368.19,9674.7,11182.78,13595.61,15963.33,19713.27,24867.75,32452.29,37162.12,36066.35,39576.17,52658.94,64379.48,75588.73,77317.2,84726.309,92538.32742,88455.59244,110198.3316,124949.203,129835.8845,126679.2622,171625.8538,207720.0525,234406.4439,274914.7599
All States/UT,REV_TAX_I_A_2_UI,21.97,23.9,30.96,35.96,56.2,51.5,78.56,80.19,65.87,75.63,97.3,84.02,77.43,70.28,63.46,83.14,222.06,329.08,481.98,395.67,592.93,1643.73,1104.88,1167.85,1117.8916,1340.955304,1334.496795,1365.81325,1443.546715,1585.298382,1479.158919,1767.148237,1874.070137,2306.7923,2246.6129
All States/UT,REV_TAX_I_A_3,26969.29,31797.52,35640.24,40920.82,47054.02,53771.58,60251.28,69005.7,76107.33,87868.81,104823.58,112054.39,124556.16,139443.45,164478.07,182077.01,213714.15,241767.98,276993.62,314066.88,395771.92,479780.87,564289.92,619715.06,679356.43,737036.5269,806179.5402,1000925.479,1070580.094,1074298.901,1025119.996,1277026.197,1527478.964,1761170.439,2027244.664
All States/UT,REV_TAX_I_A_3_ST,17667.03,21064.13,23348.99,27227.11,31883.05,33938.12,42112.09,46812.78,51003.04,59954.72,73363.91,76885.18,86037.79,97590.48,116753.76,128769.23,153572.9,173421.64,198326.83,220644.04,278838.42,345062.88,403848.93,453938.17,494265.45,528241.2018,587447.8348,401561.6572,288683.3378,289609.5144,284901.7489,352858.1187,402713.1376,429060.6365,475993.2267
