StateName,,StateName,GroupName,PeerName,,Gujarat,Haryana,Andhra Pradesh,Gujarat,,All States/UT,,Gujarat,Gujarat,Gujarat,,,All States/UT,All States/UT
All States/UT,,Andhra Pradesh,Peers,Arunachal Pradesh,,,Telangana,Bihar,Haryana,,Andhra Pradesh,,Large states,Andhra Pradesh,AP,,,Andhra Pradesh,AP
Andhra Pradesh,,Andhra Pradesh,Peers,Himachal Pradesh,,,,Chhattisgarh,Karnataka,,Arunachal Pradesh,,Large states,Bihar,Bihar,,,Arunachal Pradesh,Arunachal Pradesh
Arunachal Pradesh,,Andhra Pradesh,Peers,Maharashtra,,,,Gujarat,Tamil Nadu,,Assam,,Large states,Chhattisgarh,Chhattisgarh,,,Assam,Assam
Assam,,Andhra Pradesh,Peers,Mizoram,,,,Haryana,Telangana,,Bihar,,Large states,Gujarat,Gujarat,,,Bihar,Bihar
Bihar,,Andhra Pradesh,Peers,Uttarakhand,,,,Jharkhand,,,Chhattisgarh,,Large states,Haryana,Haryana,,,Chhattisgarh,Chhattisgarh
Chhattisgarh,,Arunachal Pradesh,Peers,Andhra Pradesh,,,,Karnataka,,,Goa,,Large states,Jharkhand,Jharkhand,,,Goa,Goa
Goa,,Arunachal Pradesh,Peers,Himachal Pradesh,,,,Kerala,,,Gujarat,,Large states,Karnataka,Karnataka,,,Gujarat,Gujarat
Gujarat,,Arunachal Pradesh,Peers,Maharashtra,,,,Madhya Pradesh,,,Haryana,,Large states,Kerala,Kerala,,,Haryana,Haryana
Haryana,,Arunachal Pradesh,Peers,Mizoram,,,,Odisha,,,Himachal Pradesh,,Large states,Madhya Pradesh,MP,,,Himachal Pradesh,HP
Himachal Pradesh,,Arunachal Pradesh,Peers,Uttarakhand,,,,Punjab,,,Jammu and Kashmir,,Large states,Odisha,Odisha,,,Jammu and Kashmir,J&K
Jammu and Kashmir,,Assam,Peers,Chhattisgarh,,,,Rajasthan,,,Jharkhand,,Large states,Punjab,Punjab,,,Jharkhand,Jharkhand
Jharkhand,,Assam,Peers,Jammu and Kashmir,,,,Tamil Nadu,,,Karnataka,,Large states,Rajasthan,Rajasthan,,,Karnataka,Karnataka
Karnataka,,Assam,Peers,Madhya Pradesh,,,,Telangana,,,Kerala,,Large states,Tamil Nadu,Tamil Nadu,,,Kerala,Kerala
Kerala,,Assam,Peers,Nagaland,,,,Uttar Pradesh,,,Madhya Pradesh,,Large states,Telangana,Telangana,,,Madhya Pradesh,MP
Madhya Pradesh,,Assam,Peers,Odisha,,,,West Bengal,,,Maharashtra,,Large states,Uttar Pradesh,UP,,,Maharashtra,Maharashtra
Maharashtra,,Assam,Peers,Punjab,,,,,,,Manipur,,Large states,West Bengal,West Bengal,,,Manipur,Manipur
Manipur,,Assam,Peers,Rajasthan,,,,,,,Meghalaya,,Peers,Gujarat,Gujarat,,,Meghalaya,Meghalaya
Meghalaya,,Assam,Peers,Tripura,,,,,,,Mizoram,,Peers,Haryana,Haryana,,,Mizoram,Mizoram
Mizoram,,Assam,Peers,West Bengal,,,,,,,Nagaland,,Peers,Karnataka,Karnataka,,,Nagaland,Nagaland
Nagaland,,Bihar,Peers,Jharkhand,,,,,,,NCT Delhi,,Peers,Tamil Nadu,Tamil Nadu,,,NCT Delhi,Delhi
NCT Delhi,,Bihar,Peers,Manipur,,,,,,,Odisha,,Peers,Telangana,Telangana,,,Odisha,Odisha
Odisha,,Bihar,Peers,Meghalaya,,,,,,,Puducherry,,,,,,,Puducherry,Puducherry
Puducherry,,Bihar,Peers,Uttar Pradesh,,,,,,,Punjab,,,,,,,Punjab,Punjab
Punjab,,Chhattisgarh,Peers,Assam,,,,,,,Rajasthan,,,,,,,Rajasthan,Rajasthan
Rajasthan,,Chhattisgarh,Peers,Jammu and Kashmir,,,,,,,Sikkim,,,,,,,Sikkim,Sikkim
Sikkim,,Chhattisgarh,Peers,Madhya Pradesh,,,,,,,Tamil Nadu,,,,,,,Tamil Nadu,Tamil Nadu
Tamil Nadu,,Chhattisgarh,Peers,Nagaland,,,,,,,Telangana,,,,,,,Telangana,Telangana
Telangana,,Chhattisgarh,Peers,Odisha,,,,,,,Tripura,,,,,,,Tripura,Tripura
Tripura,,Chhattisgarh,Peers,Punjab,,,,,,,Uttar Pradesh,,,,,,,Uttar Pradesh,UP
Uttar Pradesh,,Chhattisgarh,Peers,Rajasthan,,,,,,,Uttarakhand,,,,,,,Uttarakhand,Uttarakhand
Uttarakhand,,Chhattisgarh,Peers,Tripura,,,,,,,West Bengal,,,,,,,West Bengal,West Bengal
West Bengal,,Chhattisgarh,Peers,West Bengal,,,,,,,,,,,,,,,
,,Goa,Peers,Sikkim,,,,,,,,,,,,,,,
,,Gujarat,Peers,Haryana,,,,,,,,,,,,,,,
,,Gujarat,Peers,Karnataka,,,,,,,,,,,,,,,
,,Gujarat,Peers,Kerala,,,,,,,,,,,,,,,
,,Gujarat,Peers,Puducherry,,,,,,,,,,,,,,,
,,Gujarat,Peers,Tamil Nadu,,,,,,,,,,,,,,,
,,Gujarat,Peers,Telangana,,,,,,,,,,,,,,,
,,Haryana,Peers,Gujarat,,,,,,,,,,,,,,,
