Poor,Urban,State,Education,Attendence,Child Mortality,Nutrition,Electricity,Toilet,Water,House,Fuel,Asset,year
0,0,Andaman and Nicobar Islands,0.05,0,0,0.15,0.01,0.28,0.08,0.45,0.32,0.08,4
0,0,Andhra Pradesh,0.16,0.01,0.01,0.16,0,0.48,0.31,0.16,0.39,0.09,4
0,0,Arunachal Pradesh,0.08,0.02,0.01,0.08,0.08,0.3,0.12,0.79,0.59,0.18,4
0,0,Assam,0.02,0.01,0.01,0.16,0.12,0.39,0.14,0.72,0.75,0.1,4
0,0,Bihar,0.03,0.01,0.01,0.16,0.29,0.6,0.01,0.63,0.77,0.16,4
0,0,Chandigarh,0.07,0,0,0.36,0,0.57,0,0.07,0,0,4
0,0,Chhattisgarh,0.02,0.01,0.01,0.18,0.02,0.63,0.15,0.62,0.86,0.1,4
0,0,Dadra & Nagar Haveli,0.01,0.01,0.01,0.14,0.02,0.78,0.22,0.58,0.49,0.22,4
0,0,Daman & Diu,0.13,0.02,0.01,0.17,0,0.27,0.13,0.07,0.22,0.13,4
0,0,Delhi,0.05,0,0,0.21,0,0.09,0.32,0.05,0.22,0.05,4
0,0,Goa,0.04,0.01,0,0.21,0,0.14,0.06,0.22,0.22,0.03,4
0,0,Gujarat,0.07,0.01,0.01,0.27,0.02,0.36,0.11,0.22,0.6,0.1,4
0,0,Himachal Pradesh,0.04,0,0.01,0.18,0,0.25,0.06,0.26,0.67,0.06,4
0,0,Haryana,0.04,0.01,0.01,0.24,0.01,0.16,0.09,0.27,0.68,0.03,4
0,0,Jammu and Kashmir,0.03,0.01,0.01,0.16,0.02,0.46,0.14,0.28,0.5,0.14,4
0,0,Jharkhand,0.02,0.01,0,0.14,0.14,0.77,0.28,0.59,0.87,0.15,4
0,0,Karnataka,0.06,0.01,0,0.2,0.01,0.46,0.14,0.41,0.57,0.1,4
0,0,Kerala,0.04,0,0,0.12,0.01,0.02,0.07,0.12,0.48,0.04,4
0,0,Lakshadweep,0.05,0.01,0.01,0.24,0,0.01,0.06,0.04,0.69,0.04,4
0,0,Madhya Pradesh,0.03,0.01,0,0.16,0.06,0.64,0.27,0.65,0.8,0.15,4
0,0,Maharashtra,0.04,0.01,0,0.23,0.04,0.44,0.16,0.34,0.54,0.13,4
0,0,Manipur,0.01,0,0.01,0.07,0.06,0.43,0.6,0.86,0.65,0.13,4
0,0,Meghalaya,0.06,0.01,0.01,0.17,0.03,0.3,0.33,0.45,0.84,0.19,4
0,0,Mizoram,0.07,0.01,0.01,0.15,0.03,0.17,0.09,0.29,0.58,0.17,4
0,0,Nagaland,0.05,0.01,0.01,0.09,0.02,0.15,0.18,0.75,0.8,0.31,4
0,0,Odisha,0.04,0,0.01,0.13,0.08,0.65,0.17,0.45,0.82,0.11,4
0,0,Pondicherry,0.04,0.01,0.01,0.16,0.01,0.5,0.02,0.29,0.23,0.03,4
0,0,Punjab,0.06,0.01,0.01,0.17,0,0.17,0.02,0.23,0.47,0.01,4
0,0,Rajasthan,0.07,0.01,0.01,0.22,0.03,0.48,0.22,0.28,0.76,0.13,4
