,state_n,State,sector,head_age_cat,edu_group,head_gender,hhsize_cat,own_house,round,m_poor_1_33,m_poor_1_50,wi_cat1,wi_cat2,wi_cat3,wi_cat4,wi_cat5,SourceSheet
3807,NA,NA,NA,NA,NA,NA,NA,NA,4,0.266854614,0.075443424,0.202781901,0.196917877,0.198383003,0.200876668,0.201040551,allindia
3810,NA,NA,NA,NA,NA,NA,NA,0,4,0.234747067,0.069243804,0.175768673,0.175463364,0.210067853,0.247857243,0.190842867,allindia
3811,NA,NA,NA,NA,NA,NA,NA,1,4,0.274814278,0.076980352,0.209591091,0.202325866,0.195437625,0.189034358,0.203611061,allindia
3833,NA,NA,NA,NA,NA,NA,1,NA,4,0.453329563,0.037748527,0.355270892,0.206483424,0.182287663,0.158424392,0.097533636,allindia
3834,NA,NA,NA,NA,NA,NA,2 to 3,NA,4,0.238842204,0.048690047,0.201317579,0.18716383,0.194486111,0.204063714,0.212968767,allindia
3835,NA,NA,NA,NA,NA,NA,4 to 6,NA,4,0.239204958,0.077858388,0.186404869,0.195678517,0.200411513,0.207081109,0.210424006,allindia
3845,NA,NA,NA,NA,NA,1,NA,NA,4,0.253748,0.071809016,0.191692516,0.195796743,0.199498534,0.203543633,0.209468573,allindia
3846,NA,NA,NA,NA,NA,2,NA,NA,4,0.342167884,0.095777616,0.267468125,0.203457594,0.19187592,0.185319841,0.151878536,allindia
3847,NA,NA,NA,NA,NA,NA,NA,NA,4,0.334745765,0.138437927,NA,NA,NA,NA,NA,allindia
3862,NA,NA,NA,65+,NA,NA,NA,NA,4,0.28398633,0.044479553,0.214108378,0.188347757,0.182160705,0.191652045,0.223731115,allindia
3863,NA,NA,NA,NA,NA,NA,NA,NA,4,0.459077865,0.120226383,0.606603384,0.049779449,0.314440221,0.02917693,0,allindia
3895,NA,NA,NA,15 to 29,NA,NA,NA,NA,4,0.42297861,0.164974481,0.281614125,0.242110744,0.213267371,0.167355135,0.095652618,allindia
3896,NA,NA,NA,30 to 45,NA,NA,NA,NA,4,0.275740415,0.097447544,0.213717073,0.205879211,0.207354695,0.204362303,0.168686718,allindia
3897,NA,NA,NA,46 to 64,NA,NA,NA,NA,4,0.219155475,0.047832496,0.171298847,0.18215926,0.192879885,0.208076939,0.245585084,allindia
3927,NA,NA,NA,NA,NA,NA,NA,NA,4,0.27064845,0.086463593,0.222265586,0.217518181,0.203386426,0.206445664,0.150384158,allindia
3932,NA,NA,NA,NA,NA,NA,7+,NA,4,0.354437232,0.118132196,0.223195374,0.214154646,0.201642379,0.185402349,0.175605252,allindia
3943,NA,NA,NA,NA,Secondary,NA,NA,NA,4,0.12988919,0.013505114,0.105117828,0.165167749,0.212912202,0.263519615,0.253282636,allindia
3944,NA,NA,NA,NA,Higher,NA,NA,NA,4,0.0338443,0.002007693,0.01810736,0.046765208,0.093818784,0.211103171,0.630205452,allindia
3945,NA,NA,NA,NA,No education / Preschool,NA,NA,NA,4,0.481133819,0.164141208,0.380254298,0.256708831,0.193992332,0.119593523,0.049451001,allindia
3950,NA,NA,NA,NA,Primary,NA,NA,NA,4,0.33566606,0.10288129,0.226227254,0.251061082,0.231756389,0.19159022,0.09936507,allindia
3808,NA,NA,0,NA,NA,NA,NA,NA,4,0.361959398,0.104371801,0.293807477,0.264053792,0.2201695,0.147468075,0.074501149,indiasector
3809,NA,NA,1,NA,NA,NA,NA,NA,4,0.082861185,0.019477462,0.032901026,0.071622178,0.157722905,0.300553054,0.437200844,indiasector
3812,NA,NA,0,NA,NA,NA,NA,0,4,0.380299091,0.117790304,0.315792352,0.267895311,0.22200264,0.144235671,0.050074,indiasector
