state,poor_365,sector2,inc_selfemp,inc_selfemp_nonagri,inc_salaried,inc_salaried_nonagri,inc_casual,inc_casual_nonagri,year
Andaman and Nicobar Islands,1,0,0.63,0.14,0,0.15,0,0,2022
Andaman and Nicobar Islands,1,1,0,0,0,0,0,0,2022
Andaman and Nicobar Islands,1,99,0.42,0.09,0,0.1,0,0,2022
Andaman and Nicobar Islands,0,0,0.22,0.13,0.04,0.4,0.03,0.09,2022
Andaman and Nicobar Islands,0,1,0,0,0,0,0,0,2022
Andaman and Nicobar Islands,0,99,0.12,0.07,0.02,0.22,0.02,0.05,2022
Andhra Pradesh,1,0,0.28,0.11,0.01,0.09,0.25,0.13,2022
Andhra Pradesh,1,1,0,0,0,0,0,0,2022
Andhra Pradesh,1,99,0.21,0.08,0,0.07,0.19,0.1,2022
Andhra Pradesh,0,0,0.25,0.14,0.01,0.11,0.22,0.11,2022
Andhra Pradesh,0,1,0,0,0,0,0,0,2022
Andhra Pradesh,0,99,0.17,0.1,0.01,0.08,0.15,0.08,2022
Arunachal Pradesh,1,0,0.77,0.04,0.01,0.09,0.04,0.04,2022
Arunachal Pradesh,1,1,0,0,0,0,0,0,2022
Arunachal Pradesh,1,99,0.7,0.04,0.01,0.08,0.04,0.04,2022
Arunachal Pradesh,0,0,0.53,0.13,0.02,0.26,0,0.03,2022
Arunachal Pradesh,0,1,0,0,0,0,0,0,2022
Arunachal Pradesh,0,99,0.38,0.09,0.01,0.19,0,0.02,2022
Assam,1,0,0.24,0.15,0.04,0.09,0.2,0.25,2022
Assam,1,1,0,0,0,0,0,0,2022
Assam,1,99,0.22,0.14,0.04,0.08,0.19,0.24,2022
Assam,0,0,0.22,0.21,0.02,0.16,0.1,0.23,2022
Assam,0,1,0,0,0,0,0,0,2022
Assam,0,99,0.19,0.17,0.01,0.13,0.08,0.19,2022
Bihar,1,0,0.21,0.13,0.03,0.21,0.16,0.24,2022
Bihar,1,1,0,0,0,0,0,0,2022
Bihar,1,99,0.2,0.12,0.02,0.19,0.15,0.23,2022
Bihar,0,0,0.25,0.14,0.02,0.18,0.14,0.21,2022
Bihar,0,1,0,0,0,0,0,0,2022
Bihar,0,99,0.22,0.13,0.02,0.17,0.13,0.19,2022
Chandigarh,1,0,0,0,0,1,0,0,2022
Chandigarh,1,99,0,0,0,1,0,0,2022
Chandigarh,0,0,0.03,0.27,0.01,0.48,0.01,0.17,2022
Chandigarh,0,1,0,0,0,0,0,0,2022
Chandigarh,0,99,0,0.01,0,0.01,0,0.01,2022
Chattisgarh,1,0,0.49,0.06,0.04,0.07,0.15,0.16,2022
Chattisgarh,1,1,0,0,0,0,0,0,2022
Chattisgarh,1,99,0.44,0.05,0.03,0.06,0.13,0.14,2022
Chattisgarh,0,0,0.47,0.07,0.06,0.13,0.1,0.09,2022
Chattisgarh,0,1,0,0,0,0,0,0,2022
Chattisgarh,0,99,0.33,0.05,0.05,0.09,0.07,0.06,2022
Dadra Nagar Haveli & Diu Daman,1,0,0.48,0,0.04,0.36,0.05,0.04,2022
Dadra Nagar Haveli & Diu Daman,1,1,0,0,0,0,0,0,2022
Dadra Nagar Haveli & Diu Daman,1,99,0.33,0,0.03,0.25,0.03,0.02,2022
Dadra Nagar Haveli & Diu Daman,0,0,0.11,0.07,0.01,0.71,0.02,0.04,2022
Dadra Nagar Haveli & Diu Daman,0,1,0,0,0,0,0,0,2022
Dadra Nagar Haveli & Diu Daman,0,99,0.03,0.02,0,0.2,0.01,0.01,2022
Delhi,1,0,0,0.3,0,0.38,0.03,0.16,2022
Delhi,1,1,0,0,0,0,0,0,2022
Delhi,1,99,0,0,0,0,0,0,2022
Delhi,0,0,0.08,0.25,0,0.52,0.01,0.09,2022
Delhi,0,1,0,0,0,0,0,0,2022
Delhi,0,99,0,0,0,0.01,0,0,2022
Goa,1,0,0.03,0,0,0.4,0.16,0.41,2022
Goa,1,1,0,0,0,0,0,0,2022
Goa,1,99,0.02,0,0,0.25,0.1,0.26,2022
Goa,0,0,0.03,0.19,0,0.55,0.02,0.08,2022
Goa,0,1,0,0,0,0,0,0,2022
Goa,0,99,0.01,0.08,0,0.22,0.01,0.03,2022
Gujarat,1,0,0.42,0.08,0.01,0.09,0.27,0.11,2022
Gujarat,1,1,0,0,0,0,0,0,2022
Gujarat,1,99,0.32,0.06,0.01,0.07,0.21,0.09,2022
Gujarat,0,0,0.42,0.12,0.01,0.16,0.16,0.09,2022
Gujarat,0,1,0,0,0,0,0,0,2022
Gujarat,0,99,0.21,0.06,0,0.08,0.08,0.04,2022
Haryana,1,0,0.17,0.1,0.01,0.1,0.22,0.35,2022
Haryana,1,1,0,0,0,0,0,0,2022
