,poor_215,poor_365,poor_685,perc_poor_215,perc_poor_365,perc_poor_685,welfareagg_cat1,welfareagg_cat2,welfareagg_cat3,welfareagg_cat4,welfareagg_cat5,year,SourceSheet,sector2,state,age_cat1,age_cat2,age_cat3,age_cat4,educ_cat1,educ_cat2,educ_cat3,educ_cat4,educ_cat5,educ_cat6,gender_cat1,gender_cat2,hhsize_cat,hhsize_cat1,hhsize_cat2,hhsize_cat3,hhsize_cat4,owns_land
1,0.162156022,0.617501943,0.924317419,16.2156022,61.7501943,96.0324831,0.290126741,0.254241794,0.198883116,0.153260455,0.103487879,2011,allindia,99,All India,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,0.184267718,0.690477449,0.960324831,18.4267718,69.0477449,83.4270539,0.33152476,0.283447802,0.197136328,0.128609985,0.059281129,2011,sectorallindia,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,0.106859374,0.435005718,0.834270539,10.6859374,43.5005718,88.8079079,0.18659915,0.181203783,0.203251451,0.214906037,0.214039579,2011,sectorallindia,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,0.0313262,0.356498031,0.888079079,3.13262,35.6498031,85.7131412,0.076003283,0.195506588,0.295094669,0.263400793,0.169994667,2011,state,NA,Jammu & Kashmir,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,0.026069305,0.316177382,0.857131412,2.6069305,31.6177382,85.4319078,0.054586738,0.192989022,0.259157091,0.28864044,0.204626709,2011,state,NA,Himachal Pradesh,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,0.049949273,0.382391088,0.854319078,4.9949273,38.2391088,81.0484777,0.110579975,0.199688688,0.238508359,0.244097188,0.207125783,2011,state,NA,Punjab,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,0.0824944,0.383019596,0.810484777,8.24944,38.3019596,90.6820387,0.156296492,0.188646361,0.164550483,0.197104886,0.293401778,2011,state,NA,Chandigarh,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,0.044329668,0.473874553,0.906820387,4.4329668,47.3874553,84.2128717,0.092014499,0.291047662,0.262991369,0.227879763,0.126066729,2011,state,NA,Uttaranchal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,0.06166813,0.377637416,0.842128717,6.166813,37.7637416,77.2300498,0.123295315,0.17599082,0.235494301,0.247562334,0.217657223,2011,state,NA,Haryana,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,0.04347252,0.331348336,0.772300498,4.347252,33.1348336,93.608691,0.117189154,0.138711229,0.248986572,0.205391109,0.289721936,2011,state,NA,Delhi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,0.105916931,0.582184676,0.93608691,10.5916931,58.2184676,95.9514313,0.218514591,0.272729546,0.253036737,0.169414639,0.086304449,2011,state,NA,Rajasthan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,0.274566374,0.767129148,0.959514313,27.4566374,76.7129148,98.9025969,0.445285052,0.262736112,0.141727328,0.096133932,0.054117575,2011,state,NA,Uttar Pradesh,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,0.23914445,0.818501829,0.989025969,23.914445,81.8501829,97.0826315,0.432526797,0.322221458,0.146111101,0.08051829,0.018622344,2011,state,NA,Bihar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,0.027472354,0.638160379,0.970826315,2.7472354,63.8160379,85.9415122,0.118901558,0.409017652,0.249823466,0.156408161,0.06584917,2011,state,NA,Sikkim,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,0.266152519,0.58952411,0.859415122,26.6152519,58.952411,94.9024582,0.371726662,0.182708934,0.142023772,0.130950436,0.172590196,2011,state,NA,Arunachal Pradesh,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
