sector,state_numeric,m_poor_1_33,bpl,aadhar,health_insu_govt,household_has_preg_benefits,household_has_preg_fin,household_health_met,household_angan_benefits,household_angan_immun,household_angan_ecc,Year
0,Delhi,1,0,1,0,0.61,0,0.61,0.61,0.61,0.61,2019
1,Karnataka,1,0.87,0.98,0.08,0.64,0.05,0.64,0.61,0.56,0.34,2019
1,Dadra & Nagar Haveli,1,0.22,0.94,0.01,0.41,0.06,0.41,0.58,0.54,0.43,2019
99,Dadra & Nagar Haveli,1,0.59,0.98,0.01,0.55,0.13,0.54,0.58,0.51,0.41,2019
1,A & N Island,1,0,1,0,0.54,0,0.34,0.34,0.23,0.23,2015
99,A & N Island,1,0.19,0.37,0,0.36,0.01,0.24,0.4,0.12,0.28,2015
0,A & N Island,1,0.2,0.33,0.01,0.35,0.01,0.24,0.4,0.11,0.28,2015
0,Dadra & Nagar Haveli,1,0.68,1,0.01,0.59,0.15,0.57,0.58,0.5,0.4,2019
0,A & N Island,0,0.17,0.47,0.01,0.19,0.02,0.16,0.17,0.05,0.1,2015
1,Goa,1,0.27,1,0,0.49,0,0.38,0.49,0.49,0.21,2019
1,MP,1,0.6,0.98,0.12,0.6,0.34,0.4,0.55,0.49,0.27,2019
0,Odisha,1,0.62,0.99,0.44,0.59,0.39,0.61,0.56,0.49,0.35,2019
1,Uttarakhand,1,0.25,0.97,0.01,0.66,0.29,0.47,0.59,0.49,0.11,2019
0,Uttar Pradesh,1,0.4,0.99,0.02,0.57,0.32,0.51,0.55,0.49,0.18,2019
99,Odisha,1,0.61,0.99,0.43,0.58,0.39,0.61,0.56,0.49,0.35,2019
99,Karnataka,1,0.9,0.98,0.09,0.55,0.08,0.59,0.53,0.49,0.29,2019
99,A & N Island,0,0.13,0.68,0.01,0.18,0.01,0.12,0.15,0.05,0.09,2015
99,Uttar Pradesh,1,0.39,0.98,0.02,0.55,0.31,0.49,0.54,0.48,0.17,2019
1,A & N Island,0,0.08,0.93,0.02,0.17,0.01,0.09,0.12,0.05,0.09,2015
0,Karnataka,1,0.91,0.99,0.09,0.53,0.09,0.58,0.51,0.47,0.28,2019
1,Chhattisgarh,1,0.86,0.99,0.59,0.57,0.23,0.47,0.53,0.47,0.19,2019
1,Gujarat,1,0.39,0.94,0.27,0.56,0.06,0.46,0.54,0.46,0.35,2019
99,Chhattisgarh,1,0.92,0.99,0.57,0.55,0.26,0.5,0.52,0.46,0.2,2019
0,Chhattisgarh,1,0.92,0.99,0.57,0.55,0.26,0.5,0.52,0.46,0.2,2019
99,MP,1,0.65,0.99,0.09,0.54,0.33,0.42,0.51,0.46,0.24,2019
0,MP,1,0.66,0.99,0.09,0.54,0.33,0.42,0.51,0.45,0.24,2019
1,Andhra Pradesh,1,0.94,1,0.6,0.47,0.09,0.25,0.48,0.45,0.25,2019
1,Haryana,1,0.33,0.97,0.04,0.55,0.09,0.46,0.54,0.45,0.18,2019
99,Gujarat,1,0.58,0.96,0.33,0.52,0.12,0.54,0.5,0.45,0.35,2019
1,Andhra Pradesh,1,0.86,0.91,0.66,0.38,0.12,0.22,0.46,0.38,0.2,2015
0,Gujarat,1,0.6,0.97,0.34,0.51,0.13,0.55,0.49,0.45,0.35,2019
99,Haryana,1,0.38,0.99,0.07,0.55,0.08,0.45,0.53,0.43,0.18,2019
0,Jharkhand,1,0.67,0.99,0.03,0.56,0.18,0.33,0.5,0.43,0.24,2019
99,Uttarakhand,1,0.48,0.99,0.05,0.61,0.22,0.38,0.53,0.43,0.15,2019
0,Haryana,1,0.39,0.99,0.08,0.55,0.07,0.45,0.53,0.43,0.18,2019
99,Andhra Pradesh,1,0.94,0.99,0.78,0.53,0.2,0.34,0.5,0.43,0.34,2019
99,Jharkhand,1,0.66,0.99,0.02,0.55,0.17,0.33,0.49,0.43,0.24,2019
0,Andhra Pradesh,1,0.94,0.99,0.81,0.53,0.21,0.35,0.5,0.43,0.35,2019
99,Goa,1,0.42,1,0.56,0.44,0,0.37,0.45,0.42,0.24,2019
99,Andhra Pradesh,1,0.93,0.98,0.79,0.41,0.13,0.25,0.44,0.37,0.24,2015
0,Andhra Pradesh,1,0.94,0.99,0.8,0.41,0.13,0.25,0.44,0.36,0.25,2015
0,India,1,0.59,0.95,0.21,0.51,0.26,0.44,0.5,0.42,0.23,2019
0,Uttarakhand,1,0.53,0.99,0.06,0.6,0.2,0.36,0.52,0.42,0.17,2019
0,Bihar,1,0.66,0.99,0.05,0.45,0.27,0.39,0.47,0.41,0.22,2019
99,Bihar,1,0.65,0.98,0.05,0.45,0.27,0.38,0.47,0.41,0.22,2019
99,India,1,0.58,0.95,0.2,0.5,0.25,0.44,0.5,0.41,0.23,2019
1,Bihar,1,0.57,0.97,0.03,0.42,0.24,0.35,0.48,0.4,0.21,2019
0,Andhra Pradesh,0,0.93,0.99,0.8,0.2,0.06,0.17,0.24,0.2,0.11,2015
0,Goa,1,0.46,1,0.7,0.43,0,0.37,0.43,0.4,0.25,2019
0,Rajasthan,1,0.38,0.99,0.88,0.49,0.33,0.39,0.46,0.4,0.14,2019
99,Rajasthan,1,0.37,0.99,0.88,0.49,0.33,0.38,0.46,0.4,0.14,2019
99,Andhra Pradesh,0,0.86,0.99,0.72,0.18,0.05,0.14,0.22,0.18,0.09,2015
1,Odisha,1,0.53,0.97,0.27,0.48,0.34,0.55,0.47,0.39,0.33,2019
1,Andhra Pradesh,0,0.74,0.99,0.55,0.15,0.03,0.1,0.17,0.12,0.06,2015
0,Punjab,1,0.29,0.98,0.11,0.5,0.15,0.28,0.51,0.39,0.14,2019
1,Uttar Pradesh,1,0.29,0.97,0.01,0.44,0.2,0.39,0.44,0.39,0.14,2019
1,Telangana,1,0.84,0.98,0.53,0.51,0.18,0.34,0.45,0.39,0.23,2019
0,Arunachal Pradesh,1,0.51,0.84,0.49,0.14,0.05,0.1,0.19,0.05,0.03,2015
1,Tamil Nadu,1,0.23,0.97,0.58,0.49,0.37,0.37,0.48,0.38,0.2,2019
99,Arunachal Pradesh,1,0.5,0.83,0.48,0.14,0.05,0.1,0.18,0.05,0.03,2015
0,Arunachal Pradesh,0,0.53,0.93,0.63,0.09,0.07,0.1,0.1,0.03,0.01,2015
0,Maharashtra,1,0.56,0.99,0.1,0.42,0.09,0.32,0.45,0.38,0.26,2019
99,Arunachal Pradesh,0,0.45,0.92,0.6,0.08,0.07,0.09,0.08,0.03,0.01,2015
1,India,1,0.44,0.96,0.16,0.45,0.19,0.38,0.46,0.38,0.2,2019
99,Delhi,1,0.13,0.98,0.02,0.48,0.11,0.46,0.52,0.38,0.19,2019
1,Arunachal Pradesh,1,0.34,0.75,0.38,0.12,0.11,0.14,0.07,0.02,0.02,2015
1,Arunachal Pradesh,0,0.29,0.9,0.54,0.04,0.06,0.07,0.04,0.02,0.01,2015
0,Assam,1,0.49,0.02,0.07,0.36,0.28,0.22,0.38,0.21,0.11,2015
99,Assam,1,0.48,0.02,0.07,0.35,0.28,0.22,0.38,0.21,0.1,2015
0,Assam,0,0.45,0.02,0.09,0.24,0.21,0.18,0.26,0.14,0.06,2015
99,Assam,0,0.4,0.03,0.08,0.22,0.19,0.17,0.24,0.13,0.06,2015
1,Assam,1,0.35,0.1,0.02,0.27,0.28,0.17,0.23,0.11,0.07,2015
1,Assam,0,0.21,0.08,0.06,0.15,0.13,0.13,0.14,0.07,0.03,2015
1,Delhi,1,0.13,0.98,0.02,0.48,0.11,0.46,0.52,0.37,0.18,2019
99,Telangana,1,0.92,0.99,0.67,0.48,0.14,0.38,0.43,0.37,0.25,2019
0,Bihar,1,0.67,0.45,0.13,0.25,0.29,0.18,0.44,0.38,0.19,2015
99,Bihar,1,0.66,0.46,0.13,0.25,0.29,0.18,0.44,0.38,0.19,2015
1,Bihar,1,0.57,0.57,0.12,0.21,0.28,0.17,0.44,0.37,0.2,2015
0,Telangana,1,0.93,0.99,0.69,0.47,0.14,0.38,0.43,0.36,0.26,2019
0,Bihar,0,0.49,0.52,0.11,0.11,0.13,0.13,0.2,0.17,0.09,2015
99,Bihar,0,0.45,0.55,0.1,0.1,0.13,0.12,0.19,0.16,0.08,2015
99,Maharashtra,1,0.53,0.98,0.09,0.39,0.09,0.31,0.43,0.36,0.24,2019
