level,year,State,sector,area,poor_300,poor_420,poor_830,welfare_agg21_sp,india_welfare,india_welfare_filled,welfare_pct_india,round,m_poor_1_33,m_poor_1_50
National,2022,India,0,urban/rural,0.18,0.4538,0.9162,2615.002611,2800.22,2800.22,93.39,5,0.2124,0.0565
National,2022,India,1,urban/rural,0.0985,0.2647,0.7549,3408.69649,2800.22,2800.22,121.73,5,0.0552,0.011
National,2022,India,99,All,0.1568,0.4,0.8703,2800.222373,2800.22,2800.22,100,5,0.1639,0.0425
State,2022,Andaman & Nicobar Islands,0,urban/rural,0.0025,0.027,0.5707,4482.738963,2800.22,2800.22,160.09,5,0.0507,0.0073
State,2022,Andaman & Nicobar Islands,1,urban/rural,0.0005,0.0078,0.3419,5680.745946,2800.22,2800.22,202.87,5,0.0128,0
State,2022,Andaman & Nicobar Islands,99,All,0.0017,0.0198,0.4847,4979.810879,2800.22,2800.22,177.84,5,0.0367,0.0046
State,2022,Andhra Pradesh,0,urban/rural,0.0745,0.2674,0.8403,3164.430283,2800.22,2800.22,113.01,5,0.094,0.0133
State,2022,Andhra Pradesh,1,urban/rural,0.0579,0.1957,0.7068,3766.915488,2800.22,2800.22,134.52,5,0.0247,0.0012
State,2022,Andhra Pradesh,99,All,0.0697,0.2466,0.8016,3312.43388,2800.22,2800.22,118.29,5,0.0732,0.0097
State,2022,Arunachal Pradesh,0,urban/rural,0.2486,0.4462,0.8395,2735.087942,2800.22,2800.22,97.67,5,0.1474,0.0306
State,2022,Arunachal Pradesh,1,urban/rural,0.118,0.2525,0.6763,3841.368719,2800.22,2800.22,137.18,5,0.0448,0.0098
State,2022,Arunachal Pradesh,99,All,0.2241,0.41,0.809,2893.434815,2800.22,2800.22,103.33,5,0.1321,0.0274
State,2022,Assam,0,urban/rural,0.228,0.5529,0.9677,2366.934611,2800.22,2800.22,84.53,5,0.2365,0.0611
State,2022,Assam,1,urban/rural,0.1295,0.3035,0.7929,3210.73797,2800.22,2800.22,114.66,5,0.0784,0.0132
State,2022,Assam,99,All,0.2173,0.5258,0.9488,2427.418183,2800.22,2800.22,86.69,5,0.2141,0.0543
State,2022,Bihar,0,urban/rural,0.2226,0.5459,0.9619,2375.939511,2800.22,2800.22,84.85,5,0.3807,0.1469
State,2022,Bihar,1,urban/rural,0.2093,0.4475,0.881,2671.935076,2800.22,2800.22,95.42,5,0.1642,0.0516
State,2022,Bihar,99,All,0.2214,0.5373,0.9548,2394.819954,2800.22,2800.22,85.52,5,0.3466,0.1319
State,2022,Chandigarh,0,urban/rural,0.0462,0.2667,0.7182,3402.727047,2800.22,2800.22,121.52,5,0.0388,0
State,2022,Chandigarh,1,urban/rural,0.0854,0.2001,0.5049,4882.289743,2800.22,2800.22,174.35,5,0.0394,0.012
State,2022,Chandigarh,99,All,0.083,0.2042,0.5179,4771.019779,2800.22,2800.22,170.38,5,0.0394,0.0118
State,2022,Chhattisgarh,0,urban/rural,0.2994,0.6452,0.9706,2110.28367,2800.22,2800.22,75.36,5,0.2152,0.0458
State,2022,Chhattisgarh,1,urban/rural,0.1938,0.4134,0.8377,2860.68367,2800.22,2800.22,102.16,5,0.0508,0.0075
State,2022,Chhattisgarh,99,All,0.2773,0.5967,0.9428,2215.10286,2800.22,2800.22,79.1,5,0.1788,0.0373
State,2022,Dadra & Nagar Haveli and Daman & Diu,0,urban/rural,0.3021,0.5693,0.9204,2257.742264,2800.22,2800.22,80.63,5,0.222,0.0334
State,2022,Dadra & Nagar Haveli and Daman & Diu,1,urban/rural,0.045,0.1857,0.8089,3318.708187,2800.22,2800.22,118.52,5,0.0511,0.0133
State,2022,Dadra & Nagar Haveli and Daman & Diu,99,All,0.1727,0.3763,0.8643,2888.8733,2800.22,2800.22,103.17,5,0.1427,0.0241
