staten,state,unemp_cws,lf_cws,emp_cws,neet,unpaid_emp,salaried,casual,self_emp,agri_cws,ind_cws,services_cws,lfpr_female,unemp_female,type,urban,level,area,year,dem,yr
1,Jammu & Kashmir,0.064852953,0.614374578,0.574530602,0.064356349,0.067567773,0.201121092,0.123316616,0.675562322,0.44843328,0.26675722,0.2848095,0.492899418,0.079630278,State+Urban+All,0,state,urban/rural,2023,All,2023
1,Jammu & Kashmir,0.116034329,0.529683232,0.468221784,0.061601967,0.025129128,0.435841054,0.085832931,0.478326023,0.092596136,0.294155002,0.613248885,0.302673995,0.288680702,State+Urban+All,1,state,urban/rural,2023,All,2023
1,Jammu & Kashmir,0.052962273,0.588168681,0.557017922,0.067822061,0.092353076,0.177751407,0.141043544,0.681205034,0.460249603,0.271568924,0.268181473,0.431710243,0.066337526,State+Urban+All,0,state,urban/rural,2022,All,2022
1,Jammu & Kashmir,0.073827058,0.597620249,0.553499699,0.063898399,0.059172209,0.240438133,0.11703787,0.642524004,0.388884336,0.271342218,0.339773446,0.455375254,0.107039638,State+AllSectors+All,99,state,All,2023,All,2023
1,Jammu & Kashmir,0.110550888,0.488559961,0.434549212,0.067581959,0.020739846,0.456411958,0.081797779,0.461790264,0.075352475,0.27032724,0.6543203,0.247221336,0.262698442,State+Urban+All,1,state,urban/rural,2022,All,2022
1,Jammu & Kashmir,0.061842833,0.570240319,0.534975052,0.067787394,0.079463549,0.218498051,0.132380441,0.649121523,0.403977424,0.271387398,0.324635208,0.399225205,0.08774849,State+AllSectors+All,99,state,All,2022,All,2022
2,Himachal Pradesh,0.066100933,0.707511187,0.660744011,0.064817056,0.141975701,0.221601382,0.082997561,0.695401073,0.555665195,0.180699483,0.263635308,0.627967119,0.065608129,State+AllSectors+All,99,state,All,2022,All,2022
2,Himachal Pradesh,0.088912174,0.623321176,0.56790036,0.059699036,0.03760232,0.624428332,0.06521976,0.310351908,0.043527316,0.455407053,0.501065671,0.431527555,0.179796845,State+Urban+All,1,state,urban/rural,2023,All,2023
2,Himachal Pradesh,0.077833548,0.691942632,0.638086259,0.089370824,0.116528399,0.250224113,0.108575888,0.641200006,0.513097703,0.227454528,0.259447783,0.60332793,0.097195052,State+AllSectors+All,99,state,All,2023,All,2023
2,Himachal Pradesh,0.076440521,0.701655388,0.648020506,0.093941152,0.127699733,0.203807145,0.113953859,0.682238996,0.571344078,0.199178889,0.229477063,0.623646796,0.090435237,State+Urban+All,0,state,urban/rural,2023,All,2023
2,Himachal Pradesh,0.136848599,0.555663049,0.479621351,0.071472079,0.023378083,0.611461997,0.054097299,0.334440738,0.037443358,0.343643993,0.618912637,0.365862191,0.250705361,State+Urban+All,1,state,urban/rural,2022,All,2022
2,Himachal Pradesh,0.060106348,0.724281907,0.680747986,0.063963994,0.155074134,0.191264957,0.085246399,0.723488629,0.595989883,0.168020204,0.235989928,0.65736264,0.054054506,State+Urban+All,0,state,urban/rural,2022,All,2022
3,Punjab,0.068888672,0.522943974,0.486919075,0.113683768,0.031222416,0.498615026,0.0913518,0.410033196,0.035001904,0.354891568,0.610106528,0.237712264,0.100919455,State+Urban+All,1,state,urban/rural,2023,All,2023
3,Punjab,0.088080063,0.524414718,0.478224248,0.109070525,0.041077465,0.342526376,0.18863678,0.468836844,0.25083077,0.327839404,0.421329826,0.264154345,0.135973588,State+AllSectors+All,99,state,All,2022,All,2022
3,Punjab,0.076924071,0.560910702,0.517763197,0.117961846,0.054480482,0.262800246,0.220903188,0.516296566,0.412560761,0.285040289,0.30239898,0.32634443,0.087203696,State+Urban+All,0,state,urban/rural,2023,All,2023
3,Punjab,0.08124809,0.518205225,0.476102054,0.102609791,0.032650735,0.507224023,0.100009054,0.392766953,0.042049445,0.321426809,0.636523724,0.251726598,0.117699966,State+Urban+All,1,state,urban/rural,2022,All,2022
3,Punjab,0.074001968,0.546482503,0.506041706,0.116259299,0.045641888,0.349101186,0.173491374,0.477407455,0.274501711,0.31058225,0.414916009,0.293397814,0.091334499,State+AllSectors+All,99,state,All,2023,All,2023
3,Punjab,0.091848768,0.527904153,0.479416817,0.112565413,0.04581289,0.250476271,0.23817113,0.511352599,0.367344797,0.331418037,0.301237166,0.270956755,0.145265937,State+Urban+All,0,state,urban/rural,2022,All,2022
4,Chandigarh,0.060928997,0.464092046,0.435815394,0.046873625,0.009641916,0.73376286,0.075175092,0.191062078,0.001763357,0.150413886,0.847822785,0.196933463,0.082694598,State+AllSectors+All,99,state,All,2022,All,2022
4,Chandigarh,0.061034139,0.458412349,0.430433542,0.042601388,0.010083663,0.734847248,0.072123669,0.193029091,0,0.133960441,0.866039574,0.192234382,0.072970927,State+Urban+All,1,state,urban/rural,2022,All,2022
4,Chandigarh,0.09824805,0.545748353,0.492129654,0.070232518,0.009046751,0.734163284,0.042876266,0.222960442,0.00180829,0.22156173,0.776629984,0.312313855,0.19604066,State+Urban+All,1,state,urban/rural,2023,All,2023
4,Chandigarh,0.059195828,0.583207905,0.548684418,0.102623254,0.000377509,0.71592176,0.125377998,0.158700243,0.030774647,0.421111077,0.5481143,0.292676926,0.212822378,State+Urban+All,0,state,urban/rural,2022,All,2022
4,Chandigarh,0.09824805,0.545748353,0.492129654,0.070232518,0.009046751,0.734163284,0.042876266,0.222960442,0.00180829,0.22156173,0.776629984,0.312313855,0.19604066,State+AllSectors+All,99,state,All,2023,All,2023
5,Uttrakhand,0.06319084,0.571903944,0.535764813,0.081712388,0.088677354,0.238652006,0.147504747,0.613843262,0.445252597,0.276477724,0.278269678,0.412683249,0.051738318,State+Urban+All,0,state,urban/rural,2023,All,2023
5,Uttrakhand,0.058695056,0.519487202,0.48899588,0.092659265,0.099539228,0.26047352,0.102307357,0.637219131,0.436494589,0.225143284,0.338362157,0.32559827,0.063533917,State+AllSectors+All,99,state,All,2022,All,2022
5,Uttrakhand,0.071522161,0.48518759,0.450485915,0.087704711,0.031899627,0.490710109,0.073210821,0.436079085,0.056651358,0.275630504,0.667718112,0.226071358,0.147251442,State+Urban+All,1,state,urban/rural,2023,All,2023
5,Uttrakhand,0.065044902,0.550027013,0.514250576,0.083303295,0.074353389,0.294315934,0.131097853,0.574586213,0.359371841,0.276290506,0.364337653,0.366269946,0.066400908,State+AllSectors+All,99,state,All,2023,All,2023
5,Uttrakhand,0.07636226,0.457165599,0.422255397,0.094697163,0.036360133,0.455400139,0.07204026,0.472559601,0.072523601,0.341231912,0.586244464,0.161442891,0.109666951,State+Urban+All,1,state,urban/rural,2022,All,2022
5,Uttrakhand,0.053524591,0.54107374,0.512112975,0.091931619,0.12142279,0.204828203,0.110947654,0.684224129,0.540443659,0.191988677,0.267567635,0.378260851,0.057217274,State+Urban+All,0,state,urban/rural,2022,All,2022
6,Haryana,0.047989491,0.481071353,0.457984984,0.088685207,0.047474664,0.402656704,0.120106377,0.477236897,0.273648709,0.289006203,0.437345088,0.220854133,0.032422613,State+AllSectors+All,99,state,All,2023,All,2023
6,Haryana,0.099151619,0.459575146,0.414007545,0.117267698,0.046543557,0.277854294,0.161423445,0.560722232,0.439911544,0.242501885,0.317586571,0.184651524,0.073649146,State+Urban+All,0,state,urban/rural,2022,All,2022
6,Haryana,0.046656437,0.479349971,0.456985205,0.08773987,0.027072584,0.544791579,0.094297759,0.360910654,0.048966426,0.338310778,0.612722754,0.201947495,0.038813084,State+Urban+All,1,state,urban/rural,2023,All,2023
6,Haryana,0.077488348,0.478402913,0.441332251,0.095415518,0.019455759,0.576681793,0.096669495,0.326648712,0.035626657,0.371263623,0.593109727,0.189887255,0.092530772,State+Urban+All,1,state,urban/rural,2022,All,2022
6,Haryana,0.048846453,0.4821845,0.458631486,0.089249775,0.060667824,0.311045527,0.136740983,0.55221349,0.418419689,0.257237464,0.324342847,0.233013928,0.028860545,State+Urban+All,0,state,urban/rural,2023,All,2023
6,Haryana,0.091404051,0.466135979,0.423529267,0.110340454,0.037104387,0.386496067,0.137881488,0.475622445,0.293110251,0.28925702,0.417632729,0.18639949,0.080070794,State+AllSectors+All,99,state,All,2022,All,2022
7,Delhi,0.03374321,0.461057574,0.445500016,0.067443848,0.02158761,0.561564684,0.059073117,0.379362226,0.001487348,0.284469903,0.714042783,0.182487026,0.025560724,State+Urban+All,1,state,urban/rural,2023,All,2023
7,Delhi,0.05971561,0.525102913,0.493746042,0.084790364,0.014107334,0.414532244,0.170168221,0.415299535,0.05150272,0.544151604,0.404345661,0.17943272,0.19462274,State+Urban+All,0,state,urban/rural,2023,All,2023
7,Delhi,0.029604668,0.468157679,0.454298019,0.085055843,0.017139953,0.59305048,0.058478992,0.348470539,0.002864772,0.328600049,0.668535173,0.150209695,0.04940594,State+AllSectors+All,99,state,All,2022,All,2022
7,Delhi,0.02790975,0.470114201,0.456993431,0.084943436,0.017607007,0.594428301,0.057130173,0.348441541,0.001006327,0.328758895,0.670234799,0.153417766,0.049768478,State+Urban+All,1,state,urban/rural,2022,All,2022
