State,Code,Indicator,Year,Value
Andhra Pradesh,capex_pct_gdp,Capital Outlay,1990,1.81
Andhra Pradesh,cur_exp_pct_gdp,Total current expenditure,1990,21.55
Andhra Pradesh,fiscal_balance,Fiscal balance,1990,-4.02
Andhra Pradesh,gdp_percapita,"GDP per capita, thousand INR",1990,108.68
Andhra Pradesh,interest_pct_gdp,Interest payments,1990,2.31
Andhra Pradesh,loans_pct_gdp,Loans and Advances,1990,1.59
Andhra Pradesh,primary_balance,Primary balance,1990,-1.71
Andhra Pradesh,rev_pct_gdp,"Fiscal revenues, pct of GDP",1990,20.93
Andhra Pradesh,total_exp_pct_gdp,Total expenditures,1990,24.95
Andhra Pradesh,capex_pct_gdp,Capital Outlay,1991,1.36
Andhra Pradesh,cur_exp_pct_gdp,Total current expenditure,1991,20.94
Andhra Pradesh,fiscal_balance,Fiscal balance,1991,-4.02
Andhra Pradesh,gdp_growth,"GDP growth, percent",1991,3.12
Andhra Pradesh,gdp_percapita,"GDP per capita, thousand INR",1991,112.08
Andhra Pradesh,growth_pcgdp,Growth of real per capita income,1991,3.59
Andhra Pradesh,interest_pct_gdp,Interest payments,1991,2.26
Andhra Pradesh,loans_pct_gdp,Loans and Advances,1991,2.11
Andhra Pradesh,primary_balance,Primary balance,1991,-1.76
Andhra Pradesh,rev_pct_gdp,"Fiscal revenues, pct of GDP",1991,20.39
Andhra Pradesh,sector_other,Other,1991,3.12
Andhra Pradesh,total_exp_pct_gdp,Total expenditures,1991,24.41
Andhra Pradesh,capex_pct_gdp,Capital Outlay,1992,2.46
Andhra Pradesh,cur_exp_pct_gdp,Total current expenditure,1992,22.05
Andhra Pradesh,fiscal_balance,Fiscal balance,1992,-5.09
Andhra Pradesh,gdp_growth,"GDP growth, percent",1992,0.14
Andhra Pradesh,gdp_percapita,"GDP per capita, thousand INR",1992,112.23
Andhra Pradesh,growth_pcgdp,Growth of real per capita income,1992,-4.45
Andhra Pradesh,interest_pct_gdp,Interest payments,1992,2.55
Andhra Pradesh,loans_pct_gdp,Loans and Advances,1992,2.25
Andhra Pradesh,primary_balance,Primary balance,1992,-2.55
Andhra Pradesh,rev_pct_gdp,"Fiscal revenues, pct of GDP",1992,21.67
Andhra Pradesh,sector_other,Other,1992,0.14
Andhra Pradesh,total_exp_pct_gdp,Total expenditures,1992,26.77
Andhra Pradesh,capex_pct_gdp,Capital Outlay,1993,3.44
Andhra Pradesh,cur_exp_pct_gdp,Total current expenditure,1993,20.22
Andhra Pradesh,fiscal_balance,Fiscal balance,1993,-4.95
Andhra Pradesh,gdp_growth,"GDP growth, percent",1993,9.28
Andhra Pradesh,gdp_percapita,"GDP per capita, thousand INR",1993,122.65
Andhra Pradesh,growth_pcgdp,Growth of real per capita income,1993,9.47
Andhra Pradesh,interest_pct_gdp,Interest payments,1993,2.58
Andhra Pradesh,loans_pct_gdp,Loans and Advances,1993,2.09
Andhra Pradesh,primary_balance,Primary balance,1993,-2.36
Andhra Pradesh,rev_pct_gdp,"Fiscal revenues, pct of GDP",1993,20.8
Andhra Pradesh,sector_other,Other,1993,9.28
Andhra Pradesh,total_exp_pct_gdp,Total expenditures,1993,25.75
Andhra Pradesh,capex_pct_gdp,Capital Outlay,1994,4.07
Andhra Pradesh,cur_exp_pct_gdp,Total current expenditure,1994,20.14
Andhra Pradesh,fiscal_balance,Fiscal balance,1994,-7.17
Andhra Pradesh,gdp_growth,"GDP growth, percent",1994,5.61
Andhra Pradesh,gdp_percapita,"GDP per capita, thousand INR",1994,129.54
Andhra Pradesh,growth_pcgdp,Growth of real per capita income,1994,3.98
Andhra Pradesh,interest_pct_gdp,Interest payments,1994,2.66
Andhra Pradesh,loans_pct_gdp,Loans and Advances,1994,1.56
Andhra Pradesh,primary_balance,Primary balance,1994,-4.51
Andhra Pradesh,rev_pct_gdp,"Fiscal revenues, pct of GDP",1994,18.6
Andhra Pradesh,sector_other,Other,1994,5.61
Andhra Pradesh,total_exp_pct_gdp,Total expenditures,1994,25.77
Andhra Pradesh,capex_pct_gdp,Capital Outlay,1995,4.43
Andhra Pradesh,cur_exp_pct_gdp,Total current expenditure,1995,19.39
Andhra Pradesh,fiscal_balance,Fiscal balance,1995,-7.35
Andhra Pradesh,gdp_growth,"GDP growth, percent",1995,5.92
Andhra Pradesh,gdp_percapita,"GDP per capita, thousand INR",1995,137.2
Andhra Pradesh,growth_pcgdp,Growth of real per capita income,1995,4.67
