State,fhiscore,rank202223,qualityofexpenditure,revenuemobilization,fiscalprudence,debtindex,debtsustainability,A,Year,Persons,Male,Female,Slno,StateCC,Rural,Urban,Total,Population_Percentage,Statey,Agriculture,Mining,Manufacturing,Construction,Electricity,Trade,Services,totalgva,argiperc,miningperc,manugva,consgva,elecgva,tradegva,servicesgva,india_gva,state_share_india,_merge
Andhra Pradesh,20.9,17,31.4,22.1,13.3,37.799999,0,431,2022,52972,26489,26482,420,AP,33972,19000,52972,3.850867921,Andhra Pradesh,2068553.25,184451.41,816029.31,497925.19,240878.09,515389.91,419443.69,4742670.5,0.43615791,0.038891889,0.17206115,0.10498836,0.050789546,0.10867082,0.088440403,93310664,5.0826674,Matched (3)
Bihar,27.799999,13,56.099998,5.3000002,11.5,47.200001,18.799999,434,2022,124919,64939,59981,423,BR,109679,15240,124919,9.081147962,Bihar,810623.06,4448.28,373267.59,364956,78927.91,591641.19,529719.88,2753584,0.29438835,0.001615451,0.135557,0.13253854,0.028663702,0.21486223,0.19237469,93310664,2.9509854,Matched (3)
Chhattisgarh,55.200001,2,55.099998,56.5,56,79.599998,29,436,2022,29836,14966,14871,424,CG,21840,7996,29836,2.168966535,Chhattisgarh,435252.41,264632.5,484731.91,245529.91,266701.69,155793.59,171577.91,2024219.9,0.2150223,0.13073309,0.23946604,0.12129607,0.13175529,0.076964758,0.084762484,93310664,2.1693339,Matched (3)
Goa,53.599998,3,45.5,87.099998,59.400002,51,25.200001,441,2022,1567,790,777,429,GA,396,1171,1567,0.113915088,Goa,28751.6,774.11,216527.81,16999.03,49902.14,35267.48,26006.13,374228.25,0.076829046,0.00206855,0.57859826,0.04542423,0.1333468,0.094240561,0.069492698,93310664,0.40105626,Matched (3)
Gujarat,50.5,5,40,48.700001,52.700001,69,42,442,2022,70648,37066,33581,430,GUJ,36571,34077,70648,5.135847559,Gujarat,1560070.13,349779.94,4372249,812638.31,425364.16,1385757.63,401048.69,9306908,0.16762497,0.03758283,0.46978533,0.087315604,0.045704134,0.14889559,0.043091506,93310664,9.9741096,Matched (3)
Haryana,27.4,14,24.799999,47.799999,26.1,24.1,14.3,443,2022,29846,15804,14042,432,HR,17458,12388,29846,2.169693498,Haryana,881998.88,11631.81,1230693.38,380165.53,47315.32,710392.81,272534.56,3534732,0.24952355,0.003290719,0.34817162,0.10755144,0.01338583,0.20097502,0.077101901,93310664,3.7881329,Matched (3)
Jharkhand,51.599998,4,47.299999,45.700001,62.400002,66.900002,35.700001,447,2022,38969,19948,19021,434,JH,28836,10133,38969,2.83290176,Jharkhand,285226.19,185555.8,532797.31,198769.2,48132.1,267450.19,139348,1657278.9,0.17210513,0.11196414,0.32148924,0.11993708,0.029042849,0.16137911,0.08408241,93310664,1.7760873,Matched (3)
Karnataka,40.799999,10,47.400002,43.900002,43.900002,62.200001,6.6999998,448,2022,67268,34126,33142,437,KRN,37718,29550,67268,4.890134096,Karnataka,1296899.5,110979.3,1831322.38,618780.88,179325.45,1031223,672772.06,5741303,0.2258894,0.019329986,0.3189733,0.10777708,0.031234277,0.1796148,0.11718108,93310664,6.1528907,Matched (3)
Kerala,25.4,15,4.1999998,54.200001,34,23.1,11.3,449,2022,35633,17113,18520,436,KER,9554,26079,35633,2.590386933,Kerala,450076.19,20283.44,581933.69,692857.5,76451.71,834715,607750.13,3264067.8,0.13788813,0.00621416,0.17828481,0.21226811,0.023422219,0.25572845,0.18619409,93310664,3.498065,Matched (3)
Madhya Pradesh,42.200001,9,59.700001,27.6,35.599998,61,27.200001,452,2022,85548,44119,41429,443,MP,60839,24709,85548,6.219022293,Madhya Pradesh,1896995.88,145417,699964.13,483995.59,240357.41,536983.5,358497.09,4362210.5,0.43487033,0.033335622,0.16046087,0.11095191,0.055099912,0.12309894,0.082182437,93310664,4.6749325,Matched (3)
Maharashtra,50.299999,6,37.099998,59.099998,41.799999,76.400002,36.799999,453,2022,125411,65220,60191,440,MAH,64891,60520,125411,9.116914537,Maharashtra,2310105.75,680592.69,3411553.5,979469.25,396012.75,1525559.63,1279153.63,10582448,0.21829598,0.064313352,0.32237849,0.092556015,0.037421659,0.14415942,0.12087502,93310664,11.341092,Matched (3)
