,m_poor_1_33,m_poor_1_50,Year,round,level,area,dem,SourceSheet,sector,state,head_age_cat,edu_group,head_gender,hhsize_cat,own_house,agri_land
1,0.163928062,0.042453505,2019,5,National,All,All Households,allindia,99,India,NA,NA,NA,NA,NA,NA
2,0.212376669,0.056454737,2019,5,National,urban/rural,All Households,indiasector,0,India,NA,NA,NA,NA,NA,NA
3,0.055155069,0.01101905,2019,5,National,urban/rural,All Households,indiasector,1,India,NA,NA,NA,NA,NA,NA
4,0.036707666,0.004575248,2019,5,State,All,All Households,state,99,Andaman & Nicobar Islands,NA,NA,NA,NA,NA,NA
5,0.073215201,0.009681554,2019,5,State,All,All Households,state,99,Andhra Pradesh,NA,NA,NA,NA,NA,NA
6,0.132061303,0.027448211,2019,5,State,All,All Households,state,99,Arunachal Pradesh,NA,NA,NA,NA,NA,NA
7,0.214104578,0.054333124,2019,5,State,All,All Households,state,99,Assam,NA,NA,NA,NA,NA,NA
8,0.346608639,0.131912246,2019,5,State,All,All Households,state,99,Bihar,NA,NA,NA,NA,NA,NA
9,0.039426312,0.01182982,2019,5,State,All,All Households,state,99,Chandigarh,NA,NA,NA,NA,NA,NA
10,0.178847924,0.037307687,2019,5,State,All,All Households,state,99,Chhattisgarh,NA,NA,NA,NA,NA,NA
11,0.142684564,0.024120146,2019,5,State,All,All Households,state,99,Dadra & Nagar Haveli and Daman & Diu,NA,NA,NA,NA,NA,NA
12,0.033542812,0.00488985,2019,5,State,All,All Households,state,99,Delhi,NA,NA,NA,NA,NA,NA
13,0.013937999,0.001360812,2019,5,State,All,All Households,state,99,Goa,NA,NA,NA,NA,NA,NA
14,0.144021735,0.030164538,2019,5,State,All,All Households,state,99,Gujarat,NA,NA,NA,NA,NA,NA
15,0.071746014,0.015932536,2019,5,State,All,All Households,state,99,Haryana,NA,NA,NA,NA,NA,NA
16,0.053102639,0.0063453,2019,5,State,All,All Households,state,99,Himachal Pradesh,NA,NA,NA,NA,NA,NA
17,0.062550865,0.010086101,2019,5,State,All,All Households,state,99,Jammu & Kashmir,NA,NA,NA,NA,NA,NA
18,0.306030452,0.091472834,2019,5,State,All,All Households,state,99,Jharkhand,NA,NA,NA,NA,NA,NA
19,0.08497858,0.012818584,2019,5,State,All,All Households,state,99,Karnataka,NA,NA,NA,NA,NA,NA
20,0.008574503,0.000303183,2019,5,State,All,All Households,state,99,Kerala,NA,NA,NA,NA,NA,NA
21,0.065117896,0.008007739,2019,5,State,All,All Households,state,99,Ladakh,NA,NA,NA,NA,NA,NA
22,0.00882642,0,2019,5,State,All,All Households,state,99,Lakshadweep,NA,NA,NA,NA,NA,NA
23,0.239624575,0.054665353,2019,5,State,All,All Households,state,99,Madhya Pradesh,NA,NA,NA,NA,NA,NA
24,0.089880563,0.013984932,2019,5,State,All,All Households,state,99,Maharashtra,NA,NA,NA,NA,NA,NA
25,0.09671443,0.013775649,2019,5,State,All,All Households,state,99,Manipur,NA,NA,NA,NA,NA,NA
