State,sector,bpl,aadhar,household_has_preg_benefits,household_health_met,household_angan_benefits,round,Year,level,area,dem,food_pds_subs,kerosene_pds_subs,food_pds_free,lpg_subs,elec_free,pmjay_ben,pmjay_ben_avail,real_wage_23,yr,JQdim365,JQdim215,POV_365,POV_215,lf_cws,emp_cws,unpaid_emp,unemp_cws,neet,lfpr_female,unemp_female,fhiscore,rank202223,totalgva,india_gva,state_share_india,poor_300,poor_420,poor_830,welfare_agg21_sp,india_welfare,welfare_pct_india,m_poor_1_33,m_poor_1_50
Andaman and Nicobar Islands,0,0.154091269,0.99747932,0.146831959,0.151558414,0.156682521,5,2019,State,urban/rural,All Households,0.804455876,0,0.003743825,0.107463002,0,0.003598354,0,17514.29,2022,1.438520789,1.513373494,0.254701346,0.22395356,0.673965335,0.60092181,0.240437016,0.108378798,0.117332406,0.50933063,0.153264791,,,37363.211,93310664,0.040041737,0.000277103,0.006295634,0.43005496,4482.738963,,160.0851,0.05071228,0.007259742
Andaman and Nicobar Islands,1,0.086228877,0.99810034,0.165482417,0.103530556,0.15369302,5,2019,State,urban/rural,All Households,0.524605811,0,0,0.154530481,0.009650447,0.005129694,0.005129694,19940.39,2022,1.894384742,1.945632935,0.106430307,0.061935619,0.569713116,0.496369481,0.024036385,0.128737837,0.103307299,0.313720435,0.24515748,,,37363.211,93310664,0.040041737,0.000807779,0.007518909,0.24629046,5680.745946,,202.86768,0.012839258,0
Andaman and Nicobar Islands,99,0.129988015,0.997699916,0.154191837,0.132506743,0.155502796,5,2019,State,All,All Households,0.69432503,0,0.002270499,0.125985712,0.00379779,0.00420099,0.002018715,18512.87,2022,1.624403238,1.689631104,0.194242552,0.157889336,0.627781034,0.55460459,0.154636651,0.116563715,0.110567681,0.422013938,0.183757976,,,37363.211,93310664,0.040041737,0.000485943,0.006777036,0.35773718,4979.810879,,177.83626,0.036707666,0.004575248
Andhra Pradesh,0,0.945261121,0.99473089,0.280996561,0.242983192,0.262054533,5,2019,State,urban/rural,All Households,0.870297194,0,0.551217794,0.423243433,0.210621268,0.690468729,0.040010612,12014.64453,2022,1.009328365,1.177202225,0.327214837,0.19079347,0.59960866,0.5516451,0.150324896,0.079991445,0.109913759,0.439673722,0.08647006,20.9,17,4742670.5,93310664,5.0826674,0.009290282,0.10105235,0.72684258,3164.430283,,113.00639,0.09402813,0.013321431
Andhra Pradesh,1,0.790307105,0.996125758,0.221015498,0.135113984,0.196956515,5,2019,State,urban/rural,All Households,0.685347736,3.43E-05,0.440947324,0.545005262,0.039691027,0.568490565,0.041463912,15199.27148,2022,1.453413844,1.658478022,0.259074748,0.125438556,0.500762522,0.460877568,0.072486185,0.07964848,0.107708223,0.286530137,0.083377823,20.9,17,4742670.5,93310664,5.0826674,0.015801989,0.077188797,0.61710441,3766.915488,,134.522,0.024677888,0.001193086
Andhra Pradesh,99,0.897868395,0.99515748,0.262593567,0.209581509,0.242081597,5,2019,State,All,All Households,0.812612236,1.07E-05,0.516824901,0.461220443,0.157308847,0.652424276,0.040463891,12713.20117,2022,1.127057433,1.304790735,0.309150577,0.173467591,0.569560707,0.524052918,0.129515395,0.07989978,0.109262884,0.392923027,0.085781686,20.9,17,4742670.5,93310664,5.0826674,0.011321256,0.093609408,0.69261569,3312.43388,,118.29182,0.073215201,0.009681554
Arunachal Pradesh,0,0.641738296,0.980033696,0.133490309,0.190475166,0.176282957,5,2019,State,urban/rural,All Households,0.578016639,0.012063119,0.193791538,0.123426519,0.023586914,0.067321114,0.014952799,10897.40332,2022,1.009446979,1.140969753,0.435199499,0.335791886,0.746586323,0.707815111,0.227106631,0.051931296,0.05034871,0.695746005,0.046565998,,,144090.41,93310664,0.15442008,0.11772633,0.29322305,0.80465615,2735.087942,,97.67395,0.14741497,0.030559966
Arunachal Pradesh,1,0.408069581,0.987059832,0.061154861,0.098446101,0.088707395,5,2019,State,urban/rural,All Households,0.373352587,0.0024895,0.100776009,0.028603744,0.003289626,0.012023154,0.00382757,20569.85156,2022,1.718633413,1.799607396,0.208399579,0.148887336,0.599802256,0.522999227,0.075570248,0.128047273,0.079558767,0.45626843,0.182771817,,,144090.41,93310664,0.15442008,0.011155266,0.10708218,0.57310581,3841.368719,,137.18085,0.044823367,0.009767555
Arunachal Pradesh,99,0.604825079,0.981143653,0.122517541,0.175747722,0.162998363,5,2019,State,All,All Households,0.539994657,0.010284556,0.176511347,0.105810575,0.019816134,0.057047993,0.012885982,12331.94434,2022,1.094183803,1.219666839,0.408100396,0.313459665,0.722114205,0.677002251,0.207589298,0.062472019,0.055394135,0.654197812,0.063047394,,,144090.41,93310664,0.15442008,0.097927824,0.25864226,0.7616393,2893.434815,,103.32875,0.1320613,0.027448211
Assam,0,0.539497375,0.182003871,0.329746276,0.401210725,0.327004164,5,2019,State,urban/rural,All Households,0.063703366,0.043741057,0.770801246,0.11809165,0.013900712,0.253161579,0.007043381,10361.36426,2022,0.930929244,1.160731673,0.363147259,0.224458575,0.650843263,0.618754506,0.113649972,0.049303375,0.085280977,0.467557341,0.064436831,,,1831232.5,93310664,1.9625115,0.094715394,0.38775709,0.95392805,2366.934611,,84.526665,0.23651862,0.06111826
